device_name;session_uid;url_publisher;read_permission;write_permission;endpoint
RM-PTZ-020;RM-PTZ-020;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.20.4.2'
RM-PTZ-021;RM-PTZ-021;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.20.4.3'
RM-PTZ-022;RM-PTZ-022;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.20.4.4'
RM-PTZ-023;RM-PTZ-023;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.20.4.5'
RM-PTZ-024;RM-PTZ-024;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.20.5.1'
RM-PTZ-025;RM-PTZ-025;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.20.5.2'
RM-PTZ-026;RM-PTZ-026;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.20.5.3'
RM-PTZ-027;RM-PTZ-027;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.20.5.4'
RM-PTZ-028;RM-PTZ-028;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.20.5.5'
RM-PTZ-029;RM-PTZ-029;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.20.5.6'
RM-PTZ-030;RM-PTZ-030;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.20.6.1'
RM-PTZ-031;RM-PTZ-031;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.20.6.2'
RM-PTZ-032;RM-PTZ-032;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.20.6.3'
RM-PTZ-033;RM-PTZ-033;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.20.6.4'
RM-PTZ-034;RM-PTZ-034;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.20.6.5'
RM-PTZ-035;RM-PTZ-035;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.20.6.6'
