item;road_type;alias;description
1;MOTORWAY;A-1 / A-10;A-1 / A-10
2;MOTORWAY;A-1 / NA-1001;A-1 / NA-1001
3;MOTORWAY;A-10;A-10
4;MOTORWAY;A-12 / A-15;A-12 / A-15
5;MOTORWAY;A-15 / A-10;A-15 / A-10
6;MOTORWAY;A-15;A-15
7;MOTORWAY;PA-30 / NA-2300;PA-30 / NA-2300
8;MOTORWAY;PA-30 / N-240-A;PA-30 / N-240-A
9;MOTORWAY;PA-30 / A-15;PA-30 / A-15
10;MOTORWAY;PA-32 / PA-31;PA-32 / PA-31
11;MOTORWAY;NA-137;NA-137
12;MOTORWAY;A-68 / N-121-C;A-68 / N-121-C
13;MOTORWAY;N-121-A / NA-4251;N-121-A / NA-4251
14;MOTORWAY;PA-35 / PA-30;PA-35 / PA-30
15;MOTORWAY;N-121-A;N-121-A
16;MOTORWAY;A-21;A-21
17;MOTORWAY;A-12;A-12
18;MOTORWAY;N-113;N-113
19;MOTORWAY;A-1;A-1
