synoptic_alias;alias;parent_alias;id_element_type;id_element_subtype;module_action_id
TREE_EC;ARMARIOS_ELEC;;25;;
TREE_EC;INCIDENT;;23;;
TREE_EC_SCN;SCN;;34;;
TREE_EC_SCN;INCIDENT;;23;;
TREE_EC_ATC;ATC;;41;;
TREE_EC_ATC;INCIDENT;;23;;
TREE_EC_NRL;NRL;;42;;
TREE_EC_NRL;INCIDENT;;23;;
TREE_EC_NRS;NRS;;43;;
TREE_EC_NRS;INCIDENT;;23;;
TREE_EC_TFA3D;TFA_3D;;44;;
TREE_EC_TFA3D;INCIDENT;;23;;
TREE_EC_TFALOOPS;TFA_Loops;;45;;
TREE_EC_TFALOOPS;INCIDENT;;23;;
TREE_EC_TOLL;TOLL;;46;;
TREE_EC_TOLL;INCIDENT;;23;;
TREE_EC_TU;TU;;47;;
TREE_EC_TU;INCIDENT;;23;;
TREE_EC_DAI;DAI;;2;;
TREE_EC_DAI;INCIDENT;;23;;
TREE_CAM;SYNOPTIC_CAMERAS;;2;;
TREE_CAM;INCIDENT;;23;;
TREE_WS;METEOS;;1;;
TREE_WS;INCIDENT;;23;;
TREE_ATCS;ATCs;;54;;
TREE_ATCS;INCIDENT;;23;;
TREE_TFAS;TFAs;;51;;
TREE_TFAS;INCIDENT;;23;;
TREE_TFAS_3D;TFAs3D;;68;;
TREE_TFAS_3D;INCIDENT;;23;;
TREE_SECTIONS;SECTION;;4;;
TREE_SECTIONS;INCIDENT;;23;;
TREE_S1F2_0-6_L;S1F2_0-6_L;;71;;
TREE_S1F2_0-6_L;INCIDENT;;23;;
TREE_S1F2_0-6_P;S1F2_0-6_P;;71;;
TREE_S1F2_0-6_P;INCIDENT;;23;;
TREE_S1F2_6-11_L;S1F2_6-11_L;;71;;
TREE_S1F2_6-11_L;INCIDENT;;23;;
TREE_S1F2_6-11_P;S1F2_6-11_P;;71;;
TREE_S1F2_6-11_P;INCIDENT;;23;;
TREE_S1F2_11-24_L;S1F2_11-24_L;;71;;
TREE_S1F2_11-24_L;INCIDENT;;23;;
TREE_S1F2_11-24_P;S1F2_11-24_P;;71;;
TREE_S1F2_11-24_P;INCIDENT;;23;;
TREE_S2_L;S2_L;;71;;
TREE_S2_L;INCIDENT;;23;;
TREE_S2_P;S2_P;;71;;
TREE_S2_P;INCIDENT;;23;;
TREE_S3_L;S3_L;;71;;
TREE_S3_L;INCIDENT;;23;;
TREE_S3_P;S3_P;;71;;
TREE_S3_P;INCIDENT;;23;;
TREE_S4-S5_L;S4-S5_L;;71;;
TREE_S4-S5_L;INCIDENT;;23;;
TREE_S4-S5_P;S4-S5_P;;71;;
TREE_S4-S5_P;INCIDENT;;23;;
TREE_RTMS;RTMS;;97;;
TREE_RTMS;INCIDENT;;23;;
TREE_BRIGE;HORIZONTAL_ACCESS;;39;;
TREE_BRIGE;INCIDENT;;23;;
TREE_BRIGE;PRESENCE_DETECTION;;40;;
TREE_BRIGE;GATE;;89;;
TREE_AS;NRL;;42;;
TREE_AS;INCIDENT;;23;;
TREE_AS;VMS;;71;24;
TREE_AS;VMS;;71;25;
TREE_D4-R7;VMS;;71;1;
TREE_D4-R7;VMS;;71;2;
TREE_D4-R7;VMS;;71;3;
TREE_D4-R7;INCIDENT;;23;;
