item;element_subtype;alias;description;sessionuid;road;stretchs;secc;pk;sentido;param2_entrance_tunnel_distance;dm
1;2;S1TS-ANE-001;S1TS-ANE-001;S1TS-ANE-001;AVO;S1TS-ZON-006;Secc.01-10-01;37+50;;1200;1200
2;2;S1TS-ANE-002;S1TS-ANE-002;S1TS-ANE-002;AVO;S1TS-ZON-011;Secc.01-10-01;38+03;;1725;1725
3;2;SCNO-ANE-001;SCNO-ANE-001;SCNO-ANE-001;AVO;SCNO-ZON-002;Secc.01-25-01;0+28;;275;275
4;2;SCNO-ANE-002;SCNO-ANE-002;SCNO-ANE-002;AVO;SCNO-ZON-005;Secc.01-25-01;0+65;;650;650
5;2;S1TS-ANE-003;S1TS-ANE-003;S1TS-ANE-003;AVO;S1TS-ZON-017;Secc.01-10-02;38+60;;2300;2300
6;2;S1TS-ANE-004;S1TS-ANE-004;S1TS-ANE-004;AVO;S1TS-ZON-020;Secc.01-10-02;38+90;;2600;2600
7;2;S1TS-ANE-005;S1TS-ANE-005;S1TS-ANE-005;AVO;S1TS-ZON-027;Secc.01-10-03;39+60;;3300;3300
8;2;S2TN-ANE-001;S2TN-ANE-001;S2TN-ANE-001;AVO;S2TN-ZON-049;Secc.01-11-12;39+75;;3450;3450
9;2;S2TN-ANE-002;S2TN-ANE-002;S2TN-ANE-002;AVO;S2TN-ZON-043;Secc.03-11-11;40+35;;4050;4050
10;2;S2TS-ANE-001;S2TS-ANE-001;S2TS-ANE-001;AVO;S2TS-ZON-008;Secc.02-10-04;40+42;;4120;4120
11;2;S2TS-ANE-002;S2TS-ANE-002;S2TS-ANE-002;AVO;S2TS-ZON-012;Secc.02-10-04;40+75;;4450;4450
12;2;S2TN-ANE-003;S2TN-ANE-003;S2TN-ANE-003;AVO;S2TN-ZON-038;Secc.03-11-11;40+775;;4475;4475
13;2;S2TS-ANE-004;S2TS-ANE-004;S2TS-ANE-004;AVO;S2TS-ZON-017;Secc.02-10-04;41+35;;5050;5050
14;2;S2TN-ANE-005;S2TN-ANE-005;S2TN-ANE-005;AVO;S2TN-ZON-032;Secc.03-11-11;41+365;;5065;5065
15;2;S2TN-ANE-006;S2TN-ANE-006;S2TN-ANE-006;AVO;S2TN-ZON-028;Secc.03-11-10;41+85;;5550;5550
16;2;S2TS-ANE-005;S2TS-ANE-005;S2TS-ANE-005;AVO;S2TS-ZON-023;Secc.02-10-05;41+89;;5590;5590
17;2;S2TN-ANE-007;S2TN-ANE-007;S2TN-ANE-007;AVO;S2TN-ZON-023;Secc.03-11-10;42+4;;6100;6100
18;2;S2TS-ANE-006;S2TS-ANE-006;S2TS-ANE-006;AVO;S2TS-ZON-028;Secc.02-10-05;42+43;;6130;6130
19;2;S2TS-ANE-007;S2TS-ANE-007;S2TS-ANE-007;AVO;S2TS-ZON-032;Secc.02-10-06;42+85;;6550;6550
20;2;S2TN-ANE-008;S2TN-ANE-008;S2TN-ANE-008;AVO;S2TN-ZON-014;Secc.03-11-09;43+25;;6950;6950
21;2;S2TS-ANE-008;S2TS-ANE-008;S2TS-ANE-008;AVO;S2TS-ZON-042;Secc.02-10-07;43+8;;7500;7500
22;2;S2TN-ANE-009;S2TN-ANE-009;S2TN-ANE-009;AVO;S2TN-ZON-009;Secc.03-11-08;43+89;;7590;7590
23;2;S2TS-ANE-009;S2TS-ANE-009;S2TS-ANE-009;AVO;S2TS-ZON-044;Secc.02-10-07;44+05;;7750;7750
24;2;S2TN-ANE-010;S2TN-ANE-010;S2TN-ANE-010;AVO;S2TN-ZON-003;Secc.03-11-08;44+35;;8050;8050
25;2;S2TS-ANE-010;S2TS-ANE-010;S2TS-ANE-010;AVO;S2TS-ZON-047;Secc.02-10-07;44+35;;8050;8050
