item;alias;description;sessionuid;road;stretchs;secc;dm;pk;sentido
1;SENTINA_1;SENTINA_1;SENTINA_1;AVO;S1TS-ZON-018;Secc.01-10-02;2425;38+730;
2;SENTINA_2;SENTINA_2;SENTINA_2;AVO;S2TS-ZON-014;Secc.02-10-04;4740;41+050;
3;SENTINA_3;SENTINA_3;SENTINA_3;AVO;S2TS-ZON-026;Secc.02-10-05;5940;42+300;
4;SENTINA_4;SENTINA_4;SENTINA_4;AVO;S2TS-ZON-049;Secc.02-10-07;8279;44+550;
