item;alias;description;sessionuid;road;stretchs;secc;pk;sentido;param1_brand;param2_model
1;RNRKD05L;RNRKD05L;RNRKD05L;R7;R7_2:Ketelec-Dunajská Lužná;;7+776;L;SIEMENS;LOGO! 12/24 RCEo 
2;RNRKD07L;RNRKD07L;RNRKD07L;R7;R7_2:Ketelec-Dunajská Lužná;;8+517;L;SIEMENS;LOGO! 12/24 RCEo 
3;RPDZDH02L;RPDZDH02L;RPDZDH02L;R7;R7_4:Šamorín-Holice;;21+121;L;SIEMENS;LOGO! 12/24 RCEo 
4;RPDZDH03L;RPDZDH03L;RPDZDH03L;R7;R7_4:Šamorín-Holice;;27+632;L;SIEMENS;LOGO! 12/24 RCEo 
5;RPDZDH04L;RPDZDH04L;RPDZDH04L;R7;R7_4:Šamorín-Holice;;28+410;L;SIEMENS;LOGO! 12/24 RCEo 
6;RPDZDH06P;RPDZDH06P;RPDZDH06P;R7;R7_4:Šamorín-Holice;;28+757;P;SIEMENS;LOGO! 12/24 RCEo 
7;RPDZDH08L;RPDZDH08L;RPDZDH08L;R7;R7_4:Šamorín-Holice;;29+142;L;SIEMENS;LOGO! 12/24 RCEo 
8;RPDZDH09L;RPDZDH09L;RPDZDH09L;R7;R7_4:Šamorín-Holice;;29+544;L;SIEMENS;LOGO! 12/24 RCEo 
9;RPDZDH10L;RPDZDH10L;RPDZDH10L;R7;R7_4:Šamorín-Holice;;30+044;L;SIEMENS;LOGO! 12/24 RCEo 
10;RNRJS21P;RNRJS21P;RNRJS21P;D4;D4_3:Ketelec-Rovinca;;9+771;P;SIEMENS;LOGO! 12/24 RCEo 
11;RPDZJS01P;RPDZJS01P;RPDZJS01P;D4;D4_3:Ketelec-Rovinca;;10+481;P;SIEMENS;LOGO! 12/24 RCEo 
12;RPDZJS02P;RPDZJS02P;RPDZJS02P;D4;D4_3:Ketelec-Rovinca;;10+638;P;SIEMENS;LOGO! 12/24 RCEo 
13;RPDZJS03P;RPDZJS03P;RPDZJS03P;D4;D4_3:Ketelec-Rovinca;;10+888;P;SIEMENS;LOGO! 12/24 RCEo 
14;RNRSPSJS489L;RNRSPSJS489L;RNRSPSJS489L;D4;D4_3:Ketelec-Rovinca;;10+878;L;SIEMENS;LOGO! 12/24 RCEo 
15;RPDZJS05L;RPDZJS05L;RPDZJS05L;D4;D4_3:Ketelec-Rovinca;;11+368;L;SIEMENS;LOGO! 12/24 RCEo 
16;RPDZJS06L;RPDZJS06L;RPDZJS06L;D4;D4_3:Ketelec-Rovinca;;11+534;L;SIEMENS;LOGO! 12/24 RCEo 
17;RNRJS400;RNRJS400;RNRJS400;D4;D4_1:Jarovce-Rusovce;; 0+810-ST-HR;-;SIEMENS;LOGO! 12/24 RCEo 
