Parent_type;Child_type;Parent;Child;child_inheritable_state_id
4;3;1;1;
4;3;1;2;
4;3;2;3;
4;3;2;4;
4;3;3;5;
4;3;3;6;
4;3;4;7;
4;3;4;8;
4;3;5;9;
4;3;5;10;
4;3;6;11;
4;3;6;12;
4;3;7;13;
4;3;7;14;
4;3;8;15;
4;3;8;16;
4;3;9;17;
4;3;9;18;
4;3;10;19;
4;3;10;20;
4;3;11;21;
4;3;11;22;
4;3;12;23;
4;3;12;24;
4;3;13;25;
4;3;13;26;
4;3;14;27;
4;3;14;28;
4;3;15;29;
4;3;15;30;
4;3;15;31;
4;3;16;32;
4;3;16;33;
4;3;17;34;
4;3;17;35;
4;3;18;36;
4;3;18;37;
4;3;19;38;
4;3;19;39;
4;3;19;40;
4;3;19;41;
4;3;20;42;
4;3;20;43;
4;3;21;44;
4;3;21;45;
4;3;21;46;
4;3;22;47;
4;3;22;48;
4;3;23;49;
4;3;23;50;
4;3;24;51;
4;3;24;52;
4;3;25;53;
4;3;25;54;
4;3;26;55;
4;3;26;56;
4;3;26;57;
4;3;26;58;
4;3;27;59;
4;3;27;60;
4;3;27;61;
4;3;27;62;
4;3;28;63;
4;3;28;64;
4;3;29;65;
4;3;29;66;
4;3;30;67;
4;3;30;68;
4;3;30;69;
4;3;30;70;
4;3;31;71;
4;3;31;72;
4;3;32;73;
4;3;32;74;
4;3;33;75;
4;3;33;76;
4;3;34;77;
4;3;34;78;
4;3;35;79;
4;3;35;80;
4;3;35;81;
4;3;35;82;
4;3;36;83;
4;3;36;84;
4;3;36;85;
4;3;36;86;
4;3;37;87;
4;3;37;88;
4;3;37;89;
4;3;37;90;
4;3;38;91;
4;3;38;92;
4;3;38;93;
4;3;38;94;
4;3;39;95;
4;3;39;96;
4;3;40;97;
4;3;40;98;
4;3;41;99;
4;3;41;100;
4;3;42;101;
4;3;42;102;
4;3;43;103;
4;3;43;104;
4;3;44;105;
4;3;44;106;
4;3;45;107;
4;3;45;108;
4;3;46;109;
4;3;46;110;
4;3;47;111;
4;3;47;112;
4;3;47;113;
4;3;48;114;
4;3;48;115;
4;3;49;116;
4;3;49;117;
4;3;49;118;
4;3;49;119;
4;3;50;120;
4;3;50;121;
4;3;50;122;
4;3;50;123;
4;3;51;124;
4;3;51;125;
4;3;51;126;
4;3;51;127;
4;3;51;128;
4;3;52;129;
4;3;52;130;
4;3;52;131;
4;3;53;132;
4;3;53;133;
4;3;53;134;
4;3;53;135;
4;3;54;136;
4;3;54;137;
4;3;54;138;
4;3;55;139;
4;3;55;140;
4;3;55;141;
4;3;55;142;
4;3;56;143;
4;3;56;144;
4;3;57;145;
4;3;57;146;
4;3;57;147;
4;3;58;148;
4;3;58;149;
4;3;58;150;
4;3;59;151;
4;3;59;152;
4;3;59;153;
4;3;60;154;
4;3;60;155;
4;3;61;156;
4;3;61;157;
4;3;62;158;
4;3;62;159;
4;3;63;160;
4;3;63;161;
4;3;64;162;
4;3;64;163;
4;3;64;164;
7;4;2;1;
7;4;2;2;
7;4;2;3;
7;4;2;4;
7;4;2;5;
7;4;2;6;
7;4;2;7;
7;4;2;8;
7;4;2;9;
7;4;2;10;
7;4;2;11;
7;4;2;12;
7;4;2;13;
7;4;2;14;
7;4;2;15;
7;4;2;16;
