item;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_state
1;RV-CT-ITS-PULS-1;RV-CT-ITS-PULS-1;RV-CT-ITS-PULS-1;AP7 - AUSOL I;RV-TUNEL;177+317;CA;
2;RV-CT-CGBT-PULS-1;RV-CT-CGBT-PULS-1;RV-CT-CGBT-PULS-1;AP7 - AUSOL I;RV-TUNEL;177+317;CA;
3;RV-CT-PCI-PULS-1;RV-CT-PCI-PULS-1;RV-CT-PCI-PULS-1;AP7 - AUSOL I;RV-TUNEL;177+317;CA;
4;MM-CT-ITS-PULS-1;MM-CT-ITS-PULS-1;MM-CT-ITS-PULS-1;AP7 - AUSOL I;MM-TUNEL;177+307;CA;
5;MM-CT-CGBT-PULS-1;MM-CT-CGBT-PULS-1;MM-CT-CGBT-PULS-1;AP7 - AUSOL I;MM-TUNEL;177+307;CA;
6;MM-CT-PCI-PULS-1;MM-CT-PCI-PULS-1;MM-CT-PCI-PULS-1;AP7 - AUSOL I;MM-TUNEL;177+307;CA;
7;STMI-CT-ITS-PULS-1;STMI-CT-ITS-PULS-1;STMI-CT-ITS-PULS-1;AP7 - AUSOL I;STMI-TUNEL;195+719;CA;
8;STMI-CT-CGBT-PULS-1;STMI-CT-CGBT-PULS-1;STMI-CT-CGBT-PULS-1;AP7 - AUSOL I;STMI-TUNEL;195+719;CA;
9;CAS-CT-PCI-PULS-1;CAS-CT-PCI-PULS-1;CAS-CT-PCI-PULS-1;AP7 - AUSOL II;CAS-TUNEL;173+900;CA;
10;CAS-CT-CGBT-BC-PULS-1;CAS-CT-CGBT-BC-PULS-1;CAS-CT-CGBT-BC-PULS-1;AP7 - AUSOL II;CAS-TUNEL;173+900;CA;
11;CAS-CT-ITS-BC-PULS-1;CAS-CT-ITS-BC-PULS-1;CAS-CT-ITS-BC-PULS-1;AP7 - AUSOL II;CAS-TUNEL;173+900;CA;
12;CAS-CT-CGBT-BM-PULS-1;CAS-CT-CGBT-BM-PULS-1;CAS-CT-CGBT-BM-PULS-1;AP7 - AUSOL II;CAS-TUNEL;173+900;CA;
13;CAS-CT-ITS-BM-PULS-1;CAS-CT-ITS-BM-PULS-1;CAS-CT-ITS-BM-PULS-1;AP7 - AUSOL II;CAS-TUNEL;173+900;CA;
14;CH-CT-CGBT-PULS-1;CH-CT-CGBT-PULS-1;CH-CT-CGBT-PULS-1;AP7 - AUSOL I;CH-TUNEL;177+317;CA;
15;CH-CT-ITS-PULS-1;CH-CT-ITS-PULS-1;CH-CT-ITS-PULS-1;AP7 - AUSOL I;CH-TUNEL;177+317;CA;
16;CH-CT-PCI-PULS-1;CH-CT-PCI-PULS-1;CH-CT-PCI-PULS-1;AP7 - AUSOL I;CH-TUNEL;177+317;CA;
17;EST-CT-CGBT-PULS-1;EST-CT-CGBT-PULS-1;EST-CT-CGBT-PULS-1;AP7 - AUSOL II;EST-TUNEL;177+317;CA;
18;EST-CT-ITS-PULS-1;EST-CT-ITS-PULS-1;EST-CT-ITS-PULS-1;AP7 - AUSOL II;EST-TUNEL;177+317;CA;
19;STM2-CT-CGBT-PULS-1;STM2-CT-CGBT-PULS-1;STM2-CT-CGBT-PULS-1;AP7 - AUSOL II;STMII-TUNEL;177+317;CA;
20;STM2-CT-ITS-PULS-1;STM2-CT-ITS-PULS-1;STM2-CT-ITS-PULS-1;AP7 - AUSOL II;STMII-TUNEL;177+317;CA;
21;LQ-CT-CGBT-PULS-1;LQ-CT-CGBT-PULS-1;LQ-CT-CGBT-PULS-1;AP7 - AUSOL I;LQ-TUNEL;173+900;CA;
22;LQ-CT-ITS-PULS-1;LQ-CT-ITS-PULS-1;LQ-CT-ITS-PULS-1;AP7 - AUSOL I;LQ-TUNEL;173+900;CA;
23;LQ-CT-PCI-PULS-1;LQ-CT-PCI-PULS-1;LQ-CT-PCI-PULS-1;AP7 - AUSOL I;LQ-TUNEL;173+900;CA;
24;NG-CT-CGBT-PULS-1;NG-CT-CGBT-PULS-1;NG-CT-CGBT-PULS-1;AP7 - AUSOL I;NG-TUNEL;173+900;MA;
25;NG-CT-ITS-PULS-1;NG-CT-ITS-PULS-1;NG-CT-ITS-PULS-1;AP7 - AUSOL I;NG-TUNEL;173+900;MA;
26;NG-CT-PCI-PULS-1;NG-CT-PCI-PULS-1;NG-CT-PCI-PULS-1;AP7 - AUSOL I;NG-TUNEL;173+900;MA;
27;COR-CT-CGBT-BM-PULS-1;COR-CT-CGBT-BM-PULS-1;COR-CT-CGBT-BM-PULS-1;AP7 - AUSOL I;COR-TUNEL;173+900;MA;
28;COR-CT-CGBT-BC-PULS-1;COR-CT-CGBT-BC-PULS-1;COR-CT-CGBT-BC-PULS-1;AP7 - AUSOL I;COR-TUNEL;173+900;CA;
29;COR-CT-ITS-BM-PULS-1;COR-CT-ITS-BM-PULS-1;COR-CT-ITS-BM-PULS-1;AP7 - AUSOL I;COR-TUNEL;173+900;MA;
30;COR-CT-ITS-BC-PULS-1;COR-CT-ITS-BC-PULS-1;COR-CT-ITS-BC-PULS-1;AP7 - AUSOL I;COR-TUNEL;173+900;MC;
31;COR-CT-PCI-PULS-1;COR-CT-PCI-PULS-1;COR-CT-PCI-PULS-1;AP7 - AUSOL I;COR-TUNEL;173+900;CA;
