name;device;channel;description;controller;xAddress;xStatusAddress;log;daliGroup
STMI-DALI-DER-1CA-G0;SOS_C1;M1AO0;STMI-DALI-DER-1CA-G0 Dimming GRUPO 0 PERMANENTE;WAGO;18500;300;false;0
STMI-DALI-DER-1CA-G1;SOS_C1;M1AO1;STMI-DALI-DER-1CA-G1 Dimming GRUPO 1 REFUERZO;WAGO;18501;301;false;1
STMI-DALI-IZQ-1CA-G0;SOS_C1;M1AO2;STMI-DALI-IZQ-1CA-G0 Dimming GRUPO 0 PERMANENTE;WAGO;18502;302;false;0
STMI-DALI-IZQ-1CA-G1;SOS_C1;M1AO3;STMI-DALI-IZQ-1CA-G1 Dimming GRUPO 1 REFUERZO;WAGO;18503;303;false;1
STMI-DALI-DER-1MA-G0;SOS_M1;M1AO0;STMI-DALI-DER-1MA-G0 Dimming GRUPO 0 PERMANENTE;WAGO;18504;304;false;0
STMI-DALI-DER-1MA-G1;SOS_M1;M1AO1;STMI-DALI-DER-1MA-G1 Dimming GRUPO 1 REFUERZO;WAGO;18505;305;false;1
STMI-DALI-IZQ-1MA-G0;SOS_M1;M1AO2;STMI-DALI-IZQ-1MA-G0 Dimming GRUPO 0 PERMANENTE;WAGO;18506;306;false;0
STMI-DALI-IZQ-1MA-G1;SOS_M1;M1AO3;STMI-DALI-IZQ-1MA-G1 Dimming GRUPO 1 REFUERZO;WAGO;18507;307;false;1
