item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_measure
1;12;AF-1-01-CE;AF-1-01-CE;AF-1-01-CE;Autovía A-44;La Cerradura;;Granada;
2;12;AF-1-02-CE;AF-1-02-CE;AF-1-02-CE;Autovía A-44;La Cerradura;;Granada;
3;12;AF-2-01-CE;AF-2-01-CE;AF-2-01-CE;Autovía A-44;La Cerradura;;Jaén;
4;12;AF-2-02-CE;AF-2-02-CE;AF-2-02-CE;Autovía A-44;La Cerradura;;Jaén;
