item;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_measure;param1_brand;param2_model
1;ETD-1;Revenga ETD;ETD-1;Autovía;MEXICO;;;EtdParamsAdapterTFA.groovy;Revenga;Revenga ETD
2;ETD-2;Revenga ETD;ETD-2;Autovía;MEXICO;;;EtdParamsAdapterTFA.groovy;Revenga;Revenga ETD
3;ETD-3;Revenga ETD;ETD-3;Autovía;MEXICO;;;EtdParamsAdapterTFA.groovy;Revenga;Revenga ETD
4;ETD-4;Revenga ETD;ETD-4;Autovía;MEXICO;;;EtdParamsAdapterTFA.groovy;Revenga;Revenga ETD
