item;alias;description;sessionuid;road;stretchs;pk;param1_brand;param2_model
1;Est,Meteo 1;Est,Meteo 1;Est,Meteo 1;UF 1;UF 1;0+010;Revenga;Revenga
2;Est,Meteo 2;Est,Meteo 2;Est,Meteo 2;UF 1;UF 1;0+020;Revenga;Revenga
3;Est,Meteo 3;Est,Meteo 3;Est,Meteo 3;UF 1;UF 1;0+030;Revenga;Revenga
4;Est,Meteo 4;Est,Meteo 4;Est,Meteo 4;UF 1;UF 1;0+040;Revenga;Revenga
5;Est,Meteo 7;Est,Meteo 7;Est,Meteo 7;UF 1;UF 1;0+050;Revenga;Revenga
