device_name;session_uid;det_name;line;url_panels;url_alarms;url_traffic_data;url_publisher
3DDH02P;3DDH02P;DET02-P-3DDH02L;1;http:\/\/10.191.4.6:8250\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.4.6:8250\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=20;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
3DDH02P;3DDH02P;DET03-P-3DDH02L;2;http:\/\/10.191.4.6:8250\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.4.6:8250\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=20;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
3DDH03L;3DDH03L;DET02-L-3DDH03L;1;http:\/\/10.191.7.10:8250\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.7.10:8250\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=1;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
3DDH03L;3DDH03L;DET03-L-3DDH03L;2;http:\/\/10.191.7.10:8250\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.7.10:8250\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=1;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
3DDH01P;3DDH01P;DET02-P-3DDH01L;1;http:\/\/10.191.3.8:8250\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.3.8:8250\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=30;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
3DDH01P;3DDH01P;DET03-P-3DDH01L;2;http:\/\/10.191.3.8:8250\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.3.8:8250\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=30;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
3DDH01L;3DDH01L;DET02-L-3DDH01L;1;http:\/\/10.191.3.8:8260\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.3.8:8260\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=31;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
3DDH01L;3DDH01L;DET03-L-3DDH01L;2;http:\/\/10.191.3.8:8260\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.3.8:8260\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=31;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
3DKD01P;3DKD01P;DET02-P-3DKD01L;1;http:\/\/10.191.2.9:8250\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.2.9:8250\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=40;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
3DKD01P;3DKD01P;DET03-P-3DKD01L;2;http:\/\/10.191.2.9:8250\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.2.9:8250\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=40;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
3DKD01L;3DKD01L;DET02-L-3DKD01L;1;http:\/\/10.191.2.9:8260\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.2.9:8260\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=41;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
3DKD01L;3DKD01L;DET03-L-3DKD01L;2;http:\/\/10.191.2.9:8260\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.2.9:8260\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=41;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
3DJS03P;3DJS03P;DET02-P-3DJS03P;1;http:\/\/10.191.11.13:8250\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.11.13:8250\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=50;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
3DJS03P;3DJS03P;DET03-P-3DJS03P;2;http:\/\/10.191.11.13:8250\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.11.13:8250\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=50;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
3DJS04L;3DJS04L;DET02-L-3DJS04L;1;http:\/\/10.191.12.14:8250\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.12.14:8250\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=60;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
3DJS04L;3DJS04L;DET03-L-3DJS04L;2;http:\/\/10.191.12.14:8250\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.12.14:8250\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=60;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
3DJS04PP;3DJS04PP;DET02-P-3DJS04P;1;http:\/\/10.191.14.3:8250\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.14.3:8250\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=70;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
3DJS04PP;3DJS04PP;DET03-P-3DJS04P;2;http:\/\/10.191.14.3:8250\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.14.3:8250\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=70;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
3DJS04PL;3DJS04PL;DET02-L-3DJS04P;1;http:\/\/10.191.14.3:8260\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.14.3:8260\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=71;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
3DJS04PL;3DJS04PL;DET03-L-3DJS04P;2;http:\/\/10.191.14.3:8260\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.14.3:8260\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=71;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
3DJS05P;3DJS05P;DET02-P-3DJS05P;1;http:\/\/10.191.15.3:8250\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.15.3:8250\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=80;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
3DJS05P;3DJS05P;DET03-P-3DJS05P;2;http:\/\/10.191.15.3:8250\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.15.3:8250\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=80;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
3DJS05L;3DJS05L;DET02-L-3DJS05P;1;http:\/\/10.191.15.3:8260\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.15.3:8260\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=81;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
3DJS05L;3DJS05L;DET03-L-3DJS05P;2;http:\/\/10.191.15.3:8260\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.15.3:8260\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=81;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
3DJS01P;3DJS01P;DET02-P-3DJS01L;1;http:\/\/10.191.8.4:8250\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.8.4:8250\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=90;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
3DJS01P;3DJS01P;DET03-P-3DJS01L;2;http:\/\/10.191.8.4:8250\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.8.4:8250\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=90;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
3DJS01P;3DJS01P;DET04-P-3DJS01L;3;http:\/\/10.191.8.4:8250\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.8.4:8250\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=90;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
3DJS01L;3DJS01L;DET02-L-3DJS01L;1;http:\/\/10.191.8.4:8260\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.8.4:8260\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=91;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
3DJS01L;3DJS01L;DET03-L-3DJS01L;2;http:\/\/10.191.8.4:8260\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.8.4:8260\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=91;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/
