device_name;session_uid;url_publisher;PLC_ip;PLC_name;port(i);read_permission;write_permission;door_open_offset(i);power_supply_offset(i);ups_batery_low_offset(i);ups_on_batery_offset(i);ups_any_alarm_offset(i);ups_on_bypass_offset(i);airconditioning_on_offset(i);airconditioning_alarm_offset(i)
SCNJS.1;SCNJS.1;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCSCNJS.1;502;monitor;;0;1;2;3;4;5;6;7
SCNJS.2;SCNJS.2;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCSCNJS.2;502;monitor;;0;1;2;3;4;5;6;7
SCNKD.1;SCNKD.1;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCSCNKD.1;502;monitor;;0;1;2;3;4;5;6;7
SCNJS.3;SCNJS.3;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCSCNJS.3;502;monitor;;0;1;2;3;4;5;6;7
SCNKD.2;SCNKD.2;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCSCNKD.2;502;monitor;;0;1;2;3;4;5;6;7
SCNKD.3;SCNKD.3;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCSCNKD.3;502;monitor;;0;1;2;3;4;5;6;7
SCNJS.4;SCNJS.4;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCSCNJS.4;502;monitor;;0;1;2;3;4;5;6;7
SCNJS.5;SCNJS.5;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCSCNJS.5;502;monitor;;0;1;2;3;4;5;6;7
SCNJS.6;SCNJS.6;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCSCNJS.6;502;monitor;;0;1;2;3;4;5;6;7
SCNJS.7;SCNJS.7;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCSCNJS.7;502;monitor;;0;1;2;3;4;5;6;7
SCNSR.1;SCNSR.1;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCSCNSR.1;502;monitor;;0;1;2;3;4;5;6;7
SCNSR.2;SCNSR.2;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCSCNSR.2;502;monitor;;0;1;2;3;4;5;6;7
SCNSR.3;SCNSR.3;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCSCNSR.3;502;monitor;;0;1;2;3;4;5;6;7
SCNMP.1;SCNMP.1;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCSCNMP.1;502;monitor;;0;1;2;3;4;5;6;7
SCNPK.1;SCNPK.1;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCSCNPK.1;502;monitor;;0;1;2;3;4;5;6;7
SCNPK.2;SCNPK.2;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;PLCSCNPK.2;502;monitor;;0;1;2;3;4;5;6;7
