device_name;session_uid;url_publisher;PLC_name;PLC_ip;port(i);read_permission;write_permission;door_open_offset(i);surge_protection_offset(i);trafostation_door_open_offset(i);low_potencial_offset(i);insulation_losses_1_offset(i);insulation_losses_2_offset(i)
RISRKD.1;RISRKD.1;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRISRKD.1;192.168.88.189;502;monitor;;100;101;5;2;3;4
RISRKD.2;RISRKD.2;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRISRKD.2;192.168.88.189;502;monitor;;100;101;5;2;3;4
RISRKD.3;RISRKD.3;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRISRKD.3;192.168.88.189;502;monitor;;100;101;5;2;3;4
RISRDH.0;RISRDH.0;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRISRDH.0;192.168.88.189;502;monitor;;100;101;5;2;3;4
RISRDH.1;RISRDH.1;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRISRDH.1;192.168.88.189;502;monitor;;100;101;5;2;3;4
RISRDH.2;RISRDH.2;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRISRDH.2;192.168.88.189;502;monitor;;100;101;5;2;3;4
RISRDH.3;RISRDH.3;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRISRDH.3;192.168.88.189;502;monitor;;100;101;5;2;3;4
RISRDH.4;RISRDH.4;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRISRDH.4;192.168.88.189;502;monitor;;100;101;5;2;3;4
RISDJS.3;RISDJS.3;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRISDJS.3;192.168.88.189;502;monitor;;100;101;5;2;3;4
RISDJS.4;RISDJS.4;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRISDJS.4;192.168.88.189;502;monitor;;100;101;5;2;3;4
RISDJS.5;RISDJS.5;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRISDJS.5;192.168.88.189;502;monitor;;100;101;5;2;3;4
RISDJS.6;RISDJS.6;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRISDJS.6;192.168.88.189;502;monitor;;100;101;5;2;3;4
RISDJS.7;RISDJS.7;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRISDJS.7;192.168.88.189;502;monitor;;100;101;5;2;3;4
RISDJS.1;RISDJS.1;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRISDJS.1;192.168.88.189;502;monitor;;100;101;5;2;3;4
RISDJS.2;RISDJS.2;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRISDJS.2;192.168.88.189;502;monitor;;100;101;5;2;3;4
RISDSR.1;RISDSR.1;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRISDSR.1;192.168.88.189;502;monitor;;100;101;5;2;3;4
RISDSR.2;RISDSR.2;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRISDSR.2;192.168.88.189;502;monitor;;100;101;5;2;3;4
RISDSR.3;RISDSR.3;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRISDSR.3;192.168.88.189;502;monitor;;100;101;5;2;3;4
RISRMP.1;RISRMP.1;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRISRMP.1;192.168.88.189;502;monitor;;100;101;5;2;3;4
RISRPK.1;RISRPK.1;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRISRPK.1;192.168.88.189;502;monitor;;100;101;5;2;3;4
RISRPK.2;RISRPK.2;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRISRPK.2;192.168.88.189;502;monitor;;100;101;5;2;3;4
