device_name;session_uid;host;port(i);url_publisher;PLC_name;PLC_ip;PLC_port(i);time_polling_plc_ms;time_polling_meteo_ms;num_polling_out_comm;door_open_offset(i);power_fail_offset(i);battery_low_offset(i);overload_ups_offset(i);read_permission;write_permission
MZJS496L;MZJS496L;10.191.12.26;161;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMZJS496L;10.191.12.27;502;10000;600000;2;0;1;2;3;monitor;
MZKD02L;MZKD02L;10.191.1.6;161;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMZKD02L;10.191.1.7;502;10000;600000;2;0;1;2;6;monitor;
MZDH01L;MZDH01L;10.191.3.17;161;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMZDH01L;10.191.3.16;502;10000;600000;2;0;1;2;6;monitor;
MZDH02L;MZDH02L;10.191.3.19;161;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMZDH02L;10.191.3.20;502;10000;600000;2;0;1;2;6;monitor;
MZDH03L;MZDH03L;10.191.7.2;161;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMZDH03L;10.191.7.3;502;10000;600000;2;0;1;2;6;monitor;
MZJS402P;MZJS402P;10.191.15.20;161;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMZJS402P;10.191.15.21;502;10000;600000;2;0;1;2;6;monitor;
MZJS496P;MZJS496P;10.191.16.21;161;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMZJS496P;10.191.16.20;502;10000;600000;2;0;1;2;6;monitor;
MZJS499L;MZJS499L;10.191.8.27;161;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMZJS499L;10.191.8.26;502;10000;600000;2;0;1;2;6;monitor;
MZJS498;MZJS498;10.191.9.9;161;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMZJS498;10.191.9.8;502;10000;600000;2;0;1;2;6;monitor;
MZJS497;MZJS497;10.191.9.11;161;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMZJS497;10.191.9.10;502;10000;600000;2;0;1;2;6;monitor;
MZSR403P;MZSR403P;10.191.17.45;161;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMZSR403P;10.191.17.44;502;10000;600000;2;0;1;2;6;monitor;
MZPK01L;MZPK01L;10.191.19.21;161;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMZPK01L;10.191.19.20;502;10000;600000;2;0;1;2;6;monitor;
