device_name;session_uid;host;port(i);url_publisher;PLC_name;PLC_ip;PLC_port(i);time_polling_plc_ms;time_polling_meteo_ms;num_polling_out_comm;door_open_offset(i);power_fail_offset(i);battery_low_offset(i);overload_ups_offset(i);read_permission;write_permission
MDJS404L;MDJS404L;10.191.11.31;161;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMDJS404L;10.191.11.32;502;10000;600000;2;0;1;2;3;monitor;
MDKD01L;MDKD01L;10.191.7.25;161;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMDKD01L;10.191.7.26;502;10000;600000;2;0;1;2;3;monitor;
MDKD03L;MDKD03L;10.191.2.15;161;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMDKD03L;10.191.2.16;502;10000;600000;2;0;1;2;3;monitor;
MDJS405P;MDJS405P;10.191.13.8;161;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMDJS405P;10.191.13.7;502;10000;600000;2;0;1;2;3;monitor;
MDJS406P;MDJS406P;10.191.14.24;161;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMDJS406P;10.191.14.23;502;10000;600000;2;0;1;2;3;monitor;
MDJS407P;MDJS407P;10.191.15.27;161;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMDJS407P;10.191.15.26;502;10000;600000;2;0;1;2;3;monitor;
MDJS408P;MDJS408P;10.191.16.24;161;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMDJS408P;10.191.16.23;502;10000;600000;2;0;1;2;3;monitor;
MD247;MD247;10.191.21.18;161;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRNR251/TS-286;10.191.21.19;502;10000;600000;2;0;1;2;3;monitor;
MDJS401L;MDJS401L;10.191.8.16;161;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMDJS401L;10.191.8.15;502;10000;600000;2;0;1;2;3;monitor;
MDJS402;MDJS402;10.191.9.3;161;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMDJS402;10.191.9.2;502;10000;600000;2;0;1;2;3;monitor;
MDJS403;MDJS403;10.191.10.10;161;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMDJS403;10.191.10.9;502;10000;600000;2;0;1;2;3;monitor;
MDSR409L;MDSR409L;10.191.17.19;161;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMDSR409L;10.191.17.18;502;10000;600000;2;0;1;2;3;monitor;
MDMP01;MDMP01;10.191.20.42;161;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMDMP01;10.191.20.41;502;10000;600000;2;0;1;2;3;monitor;
MDPK02L;MDPK02L;10.191.20.32;161;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCMDPK02L;10.191.20.31;502;10000;600000;2;0;1;2;3;monitor;
