device_name;session_uid;endpoint;url_publisher;time_polling_ms;num_polling_out_comm;PLC_name;PLC_ip;PLC_port(i);door_open_offset(i);power_fail_offset(i);battery_low_offset(i);read_permission;write_permission
KDJS38P;KDJS38P;'http:\/\/172.17.113.1/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS38PM;172.17.213.1;502;0;1;2;monitor;
KDJS39L;KDJS39L;'http:\/\/172.17.113.2/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS39LI;172.17.213.2;502;0;1;2;monitor;
KDJS40P;KDJS40P;'http:\/\/172.17.113.3/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS40PI;172.17.213.3;502;0;1;2;monitor;
KDJS41L;KDJS41L;'http:\/\/172.17.113.4/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS41LI;172.17.213.4;502;0;1;2;monitor;
KDJS42P;KDJS42P;'http:\/\/172.17.113.5/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS42PI;172.17.213.5;502;0;1;2;monitor;
KDKD01L;KDKD01L;'http:\/\/172.17.107.5/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDKD01LI;172.17.207.5;502;0;1;2;monitor;
KDKD02P;KDKD02P;'http:\/\/172.17.107.6/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDKD02PI;172.17.207.6;502;0;1;2;monitor;
KDKD03L;KDKD03L;'http:\/\/172.17.107.7/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDKD03LM;172.17.207.7;502;0;1;2;monitor;
KDKD04L;KDKD04L;'http:\/\/172.17.107.8/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDKD04LM;172.17.207.8;502;0;1;2;monitor;
KDKD05L;KDKD05L;'http:\/\/172.17.107.9/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDKD05LM;172.17.207.9;502;0;1;2;monitor;
KDKD06L;KDKD06L;'http:\/\/172.17.107.10/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDKD06LM;172.17.207.10;502;0;1;2;monitor;
KDKD16L;KDKD16L;'http:\/\/172.17.107.11/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDKD16L;172.17.207.11;502;0;1;2;monitor;
KDKD07L;KDKD07L;'http:\/\/172.17.107.12/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDKD07LM;172.17.207.12;502;0;1;2;monitor;
KDKD08L;KDKD08L;'http:\/\/172.17.101.1/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDKD08LM;172.17.201.1;502;0;1;2;monitor;
KDKD09L;KDKD09L;'http:\/\/172.17.101.2/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDKD09LM;172.17.201.2;502;0;1;2;monitor;
KDKD10L;KDKD10L;'http:\/\/172.17.101.3/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDKD10LM;172.17.201.3;502;0;1;2;monitor;
KDKD11L;KDKD11L;'http:\/\/172.17.101.4/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDKD11LM;172.17.201.4;502;0;1;2;monitor;
KDKD12L;KDKD12L;'http:\/\/172.17.102.1/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDKD12LM;172.17.202.1;502;0;1;2;monitor;
KDKD17L;KDKD17L;'http:\/\/172.17.102.2/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDKD17LM;172.17.202.2;502;0;1;2;monitor;
KDKD13P;KDKD13P;'http:\/\/172.17.102.3/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDKD13PI;172.17.202.3;502;0;1;2;monitor;
KDKD14L;KDKD14L;'http:\/\/172.17.102.4/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDKD14LM;172.17.202.4;502;0;1;2;monitor;
KDKD15L;KDKD15L;'http:\/\/172.17.102.5/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDKD15LI;172.17.202.5;502;0;1;2;monitor;
KDDH01L;KDDH01L;'http:\/\/172.17.102.6/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH01LM;172.17.202.6;502;0;1;2;monitor;
KDDH02L;KDDH02L;'http:\/\/172.17.102.7/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH02LM;172.17.202.7;502;0;1;2;monitor;
KDDH03L;KDDH03L;'http:\/\/172.17.103.1/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH03LM;172.17.203.1;502;0;1;2;monitor;
KDDH04L;KDDH04L;'http:\/\/172.17.103.2/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH04LM;172.17.203.2;502;0;1;2;monitor;
KDDH27L;KDDH27L;'http:\/\/172.17.103.3/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH027LM;172.17.203.3;502;0;1;2;monitor;
KDDH05L;KDDH05L;'http:\/\/172.17.103.4/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH05LM;172.17.203.4;502;0;1;2;monitor;
KDDH06L;KDDH06L;'http:\/\/172.17.103.5/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH06LM;172.17.203.5;502;0;1;2;monitor;
KDDH07L;KDDH07L;'http:\/\/172.17.103.6/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH07PI;172.17.203.6;502;0;1;2;monitor;
KDDH08L;KDDH08L;'http:\/\/172.17.103.7/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH08LM;172.17.203.7;502;0;1;2;monitor;
KDDH09L;KDDH09L;'http:\/\/172.17.103.8/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH09LI;172.17.203.8;502;0;1;2;monitor;
