device_name;PLC_name;url_publisher;ip;port(i)
NRSPK22Pa;PLCRNRSPK22;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;502
NRSPK22Pb;PLCRNRSPK22B;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;502
NRSPK07Pa;PLCNRSPK07Pa;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;502
NRSPK07Pb;PLCNRSPK07Pb;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;502
NRSKD01cL;PLCRNRKD01cL;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;502
NRSKD01dL;PLCRNRKD01dL;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;502
PSJS406aP;PLCPSJS406aP;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;502
PSJS406bP;PLCPSJS406bP;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;502
PSJS486La;PLC2RNR19P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;502
PSJS486Lb;PLC3RN319P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.189;502
