device_name;session_uid;url_publisher;PLC_ip;PLC_name;port(i);read_permission;write_permission;door_open_offset(i);power_supply_offset(i);batery_low_offset(i);overload_ups_offset(i)
RNRKD01L;RNRKD01L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.7.17;PLCRNRKD01L;502;monitor;;0;1;2;3
RNRKD03L;RNRKD03L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.7.20;PLCRNRKD03L;502;monitor;;0;1;2;3
RNRKD08L;RNRKD08L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.7.32;PLCRNRKD08L;502;monitor;;0;1;2;3
RNRKD09L;RNRKD09L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.1.2;PLCRNRKD09L;502;monitor;;0;1;2;3
RNRKD10L;RNRKD10L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.1.8;PLCRNRKD10L;502;monitor;;0;1;2;3
RNRKD11L;RNRKD11L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.2.17;PLCRNRKD11L;502;monitor;;0;1;2;3
RNRJS19P;RNRJS19P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.11.3;PLCRNRJS19P;502;monitor;;0;1;2;3
SCJS04P;SCJS04P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.11.4;PLCSCJS04P;502;monitor;;0;1;2;3
RNRJS22P;RNRJS22P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.11.8;PLCRNRJS22P;502;monitor;;0;1;2;3
RNRJS23P;RNRJS23P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.11.20;PLCRNRJS23P;502;monitor;;0;1;2;3
RNRJS24P;RNRJS24P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.11.37;PLCRNRJS24P;502;monitor;;0;1;2;3
RNRJS25P;RNRJS25P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.12.2;PLCRNRJS25P;502;monitor;;0;1;2;3
RNRJS26P;RNRJS26P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.12.21;PLCRNRJS26P;502;monitor;;0;1;2;3
RNRJS27L;RNRJS27L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.12.24;PLCRNRJS27L;502;monitor;;0;1;2;3
RNRJS28P;RNRJS28P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.13.2;PLCRNRJS28P;502;monitor;;0;1;2;3
RNRJS29P;RNRJS29P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.13.5;PLCRNRJS29P;502;monitor;;0;1;2;3
RNRJS30P;RNRJS30P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.13.9;PLCRNRJS30P;502;monitor;;0;1;2;3
RNRJS31P;RNRJS31P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.14.14;PLCRNRJS31P;502;monitor;;0;1;2;3
RNRJS32P;RNRJS32P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.14.17;PLCRNRJS32P;502;monitor;;0;1;2;3
RNRJS33P;RNRJS33P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.14.19;PLCRNRJS33P;502;monitor;;0;1;2;3
RNRJS34P;RNRJS34P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.14.21;PLCRNRJS34P;502;monitor;;0;1;2;3
RNRJS35P;RNRJS35P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.14.25;PLCRNRJS35P;502;monitor;;0;1;2;3
RNRJS36P;RNRJS36P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.14.27;PLCRNRJS36P;502;monitor;;0;1;2;3
RNRJS37P;RNRJS37P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.15.14;PLCRNRJS37P;502;monitor;;0;1;2;3
RNRJS38P;RNRJS38P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.15.22;PLCRNRJS38P;502;monitor;;0;1;2;3
RNRJS39P;RNRJS39P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.15.24;PLCRNRJS39P;502;monitor;;0;1;2;3
RNRJS40P;RNRJS40P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.15.28;PLCRNRJS40P;502;monitor;;0;1;2;3
RNRJS41P;RNRJS41P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.16.2;PLCRNRJS41P;502;monitor;;0;1;2;3
RNRJS42P;RNRJS42P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.16.4;PLCRNRJS42P;502;monitor;;0;1;2;3
RNRJS43P;RNRJS43P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.16.6;PLCRNRJS43P;502;monitor;;0;1;2;3
RNRJS44P;RNRJS44P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.16.8;PLCRNRJS44P;502;monitor;;0;1;2;3
RNRJS45P;RNRJS45P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.16.12;PLCRNRJS45P;502;monitor;;0;1;2;3
RNRJS46P;RNRJS46P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.16.14;PLCRNRJS46P;502;monitor;;0;1;2;3
RNRJS47P;RNRJS47P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.16.16;PLCRNRJS47P;502;monitor;;0;1;2;3
RNRJS48P;RNRJS48P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.16.25;PLCRNRJS48P;502;monitor;;0;1;2;3
RNRJS49P;RNRJS49P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.16.27;PLCRNRJS49P;502;monitor;;0;1;2;3
SCJS05P;SCJS05P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.16.22;PLCSCJS05P;502;monitor;;0;1;2;3
RNRSR01P;RNRSR01P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.16.34;PLCRNRSR01P;502;monitor;;0;1;2;3
RNRSR03P;RNRSR03P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.17.6;PLCRNRSR03P;502;monitor;;0;1;2;3
RNRSR05P;RNRSR05P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.17.15;PLCRNRSR05P;502;monitor;;0;1;2;3
SCSR01P;SCSR01P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.17.17;PLCSCSR01P;502;monitor;;0;1;2;3
RNRSR06P;RNRSR06P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.17.20;PLCRNRSR06P;502;monitor;;0;1;2;3
RNRSR07L;RNRSR07L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.17.22;PLCRNRSR07L;502;monitor;;0;1;2;3
RNRSR08P;RNRSR08P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.17.28;PLCRNRSR08P;502;monitor;;0;1;2;3
SCSR02P;SCSR02P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.18.2;PLCSCSR02P;502;monitor;;0;1;2;3
SCSR03P;SCSR03P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.18.3;PLCSCSR03P;502;monitor;;0;1;2;3
SCJS02P;SCJS02P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.10.38;PLCSCJS02P;502;monitor;;0;1;2;3
RNRJS02L;RNRJS02L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.10.39;PLCRNRJS02L;502;monitor;;0;1;2;3
RNRJS03P;RNRJS03P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.10.67;PLCRNRJS03P;502;monitor;;0;1;2;3
SCJS03L;SCJS03L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.8.2;PLCSCJS03L;502;monitor;;0;1;2;3
RNRJS04L;RNRJS04L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.8.17;PLCRNRJS04L;502;monitor;;0;1;2;3
RNRJS05L;RNRJS05L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.8.19;PLCRNRJS05L;502;monitor;;0;1;2;3
RNRJS07L;RNRJS07L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.8.28;PLCRNRJS07L;502;monitor;;0;1;2;3
RNRJS08L;RNRJS08L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.8.31;PLCRNRJS08L;502;monitor;;0;1;2;3
RNRJS09L;RNRJS09L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.8.33;PLCRNRJS09L;502;monitor;;0;1;2;3
RNRJS14P;RNRJS14P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.10.16;PLCRNRJS14P;502;monitor;;0;1;2;3
RNRJS17P;RNRJS17P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.10.100;PLCRNRJS17P;502;monitor;;0;1;2;3
RADPJS20P;RADPJS20P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.10.103;PLCRADPJS20P;502;monitor;;0;1;2;3
RNRMP01;RNRMP01;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.20.43;PLCRNRMP01;502;monitor;;0;1;2;3
RNRPK01L;RNRPK01L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.19.2;PLCRNRPK01L;502;monitor;;0;1;2;3
RNRPK04L;RNRPK04L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.19.14;PLCRNRPK04L;502;monitor;;0;1;2;3
