device_name;session_uid;PLC_name;det_name;det_order;host;url_publisher;port(i);read_permission;write_permission;num_polling_out_comm;time_polling_ms
_RNRPK07L;_RNRPK07L;PLCRNRPK07L;DET02-ADPPK06P;2;10.191.19.24;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRPK07L;_RNRPK07L;PLCRNRPK07L;DET03-ADPPK06P;3;10.191.19.24;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRPK08L;_RNRPK08L;PLCRNRPK08L;DET01-ADPPK07L;1;10.191.19.26;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRPK08L;_RNRPK08L;PLCRNRPK08L;DET02-ADPPK07L;2;10.191.19.26;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRPK08L;_RNRPK08L;PLCRNRPK08L;DET03-ADPPK07L;3;10.191.19.26;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRPK09L;_RNRPK09L;PLCRNRPK09L;DET01-ADPPK08L;1;10.191.20.21;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRPK09L;_RNRPK09L;PLCRNRPK09L;DET02-ADPPK08L;2;10.191.20.21;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRPK09L;_RNRPK09L;PLCRNRPK09L;DET03-ADPPK08L;3;10.191.20.21;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRPK11L;_RNRPK11L;PLCRNRPK11L;DET01-ADPPK09P;1;10.191.20.25;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRPK11L;_RNRPK11L;PLCRNRPK11L;DET02-ADPPK09P;2;10.191.20.25;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRPK11L;_RNRPK11L;PLCRNRPK11L;DET03-ADPPK09P;3;10.191.20.25;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
