device_name;session_uid;url_publisher;PLC_IP;PLC_name;port(i)
Poklop_1;Poklop_1;192.168.88.52;192.168.88.198;PLCRAIDJSKD01;502
Poklop_2;Poklop_2;192.168.88.52;192.168.88.198;PLCRAIDJSKD09;502
Poklop_3;Poklop_3;192.168.88.52;192.168.88.198;PLCRAIDJSKD10;502
Poklop_4;Poklop_4;192.168.88.52;192.168.88.198;PLCRAIDJSKD11;502
Poklop_5;Poklop_5;192.168.88.52;192.168.88.198;PLCRAIDJSKD12;502
Poklop_6;Poklop_6;192.168.88.52;192.168.88.198;PLCRAIDJSKD13;502
Poklop_7;Poklop_7;192.168.88.52;192.168.88.198;PLCRAIDJSKD15;502
Poklop_8;Poklop_8;192.168.88.52;192.168.88.198;PLCRAIDJSKD17;502
Poklop_9;Poklop_9;192.168.88.52;192.168.88.198;PLCRAIDJSKD18;502
Poklop_10;Poklop_10;192.168.88.52;192.168.88.198;PLCRAIDJSKD23;502
Poklop_11;Poklop_11;192.168.88.52;192.168.88.198;PLCRAIDJSKD30;502
