device_name;session_uid;url_publisher;PLC_ip;PLC_name;port(i);door_open_offset(i);power_supply_offset(i);batery_low_offset(i);overload_ups_offset(i)
MBNKD01;MBNKD01;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.198;PLCMBNKD01;502;4;5;6;7
MBOKD01L;MBOKD01L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.198;PLCMBOKD01L;502;4;5;6;7
MBODH01L;MBODH01L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.198;PLCMBODH01L;502;4;5;6;7
MBODH02L;MBODH02L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.198;PLCRMBODH02L;502;4;5;6;7
MBOJS03P;MBOJS03P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.198;PLCMBOJS03P;502;4;5;6;7
MBOJS04P;MBOJS04P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.198;PLCMBOJS04P;502;4;5;6;7
MBNJS01P;MBNJS01P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.198;PLCMBNJS01P;502;4;5;6;7
MBOJS05P;MBOJS05P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.198;PLCMBOJS05P;502;4;5;6;7
MBOJS01L;MBOJS01L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.198;PLCMBOJS01L;502;4;5;6;7
MBOJS02P;MBOJS02P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.198;PLCMBOJS02P;502;4;5;6;7
MBOSR01P;MBOSR01P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.198;PLCMBOSR01P;502;4;5;6;7
MBOSR02P;MBOSR02P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.198;PLCMBOSR02P;502;4;5;6;7
MBOPK01L;MBOPK01L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;192.168.88.198;PLCMBOPK01L;502;4;5;6;7
