device_name;PLC_name;PLC_ip;PLC_port(i);door_open(i);time_polling_plc_ms(i);time_polling_meteo_ms(i);num_polling_out_comm(i);read_permission;write_permission
KDJS24P;PLCRKDJS24PI;172.17.211.1;502;0;10000;600000;2;monitor;
KDJS25P;PLCRKDJS25PI;172.17.211.2;502;0;10000;600000;2;monitor;
KDJS26P;PLCRKDJS26PM;172.17.211.3;502;0;10000;600000;2;monitor;
KDJS27P;PLCRKDJS27PM;172.17.211.4;502;0;10000;600000;2;monitor;
KDJS30P;PLCRKDJS30PI;172.17.211.8;502;0;10000;600000;2;monitor;
KDJS32P;PLCRKDJS32PI;172.17.212.1;502;0;10000;600000;2;monitor;
KDJS38P;PLCRKDJS38PM;172.17.213.1;502;0;10000;600000;2;monitor;
KDJS40P;PLCRKDJS40PI;172.17.213.3;502;0;10000;600000;2;monitor;
KDJS42P;PLCRKDJS42PI;172.17.213.5;502;0;10000;600000;2;monitor;
KDKD02P;PLCRKDKD02PI;172.17.207.6;502;0;10000;600000;2;monitor;
KDKD13P;PLCRKDKD13PI;172.17.202.3;502;0;10000;600000;2;monitor;
KDDH30P;PLCRKDDH30PI;172.17.205.4;502;0;10000;600000;2;monitor;
KDDH31P;PLCRKDDH31PI;172.17.205.5;502;0;10000;600000;2;monitor;
KDDH32P;PLCRKDDH32PI;172.17.205.6;502;0;10000;600000;2;monitor;
KDDH33P;PLCRKDDH33PI;172.17.205.7;502;0;10000;600000;2;monitor;
KDDH25P;PLCRKDDH25PI;172.17.207.3;502;0;10000;600000;2;monitor;
KDJS43P;PLCRKDJS43PM;172.17.213.6;502;0;10000;600000;2;monitor;
KDJS44P;PLCRKDJS44PM;172.17.214.1;502;0;10000;600000;2;monitor;
KDJS45P;PLCRKDJS45PM;172.17.214.2;502;0;10000;600000;2;monitor;
KDJS46P;PLCRKDJS46PM;172.17.214.3;502;0;10000;600000;2;monitor;
KDJS47P;PLCRKDJS47PM;172.17.214.4;502;0;10000;600000;2;monitor;
KDJS48P;PLCRKDJS48PI;172.17.214.5;502;0;10000;600000;2;monitor;
KDJS49P;PLCRKDJS49PI;172.17.214.6;502;0;10000;600000;2;monitor;
KDJS50P;PLCRKDJS50PM;172.17.214.7;502;0;10000;600000;2;monitor;
KDJS50.1P;PLCRKDJS50.1PM;172.17.215.5;502;0;10000;600000;2;monitor;
KDJS51P;PLCRKDJS51PM;172.17.215.1;502;0;10000;600000;2;monitor;
KDJS52P;PLCRKDJS52PM;172.17.215.2;502;0;10000;600000;2;monitor;
KDJS53P;PLCRKDJS53PM;172.17.215.3;502;0;10000;600000;2;monitor;
KDJS54P;PLCRKDJS54PM;172.17.215.4;502;0;10000;600000;2;monitor;
KDJS55P;PLCRKDJS55PM;172.17.216.1;502;0;10000;600000;2;monitor;
KDJS56P;PLCRKDJS56PM;172.17.216.2;502;0;10000;600000;2;monitor;
KDJS56.1P;PLCRKDJS56.1PM;172.17.216.13;502;0;10000;600000;2;monitor;
KDJS57P;PLCRKDJS57PM;172.17.216.3;502;0;10000;600000;2;monitor;
KDJS58P;PLCRKDJS58PM;172.17.216.4;502;0;10000;600000;2;monitor;
KDJS59P;PLCRKDJS59PI;172.17.216.5;502;0;10000;600000;2;monitor;
KDJS60P;PLCRKDJS60PI;172.17.216.6;502;0;10000;600000;2;monitor;
KDJS62P;PLCRKDJS62PI;172.17.216.8;502;0;10000;600000;2;monitor;
KDJS63P;PLCRKDJS63PI;172.17.216.9;502;0;10000;600000;2;monitor;
KDJS64P;PLCRKDJS64PI;172.17.216.10;502;0;10000;600000;2;monitor;
KDJS66P;PLCRKDJS66PI;172.17.216.12;502;0;10000;600000;2;monitor;
KDJS01P;PLCRKDJS01PI;172.17.210.21;502;0;10000;600000;2;monitor;
KDJS03P;PLCRKDJS03PI;172.17.210.23;502;0;10000;600000;2;monitor;
KDJS04P;PLCRKDJS04PI;172.17.208.1;502;0;10000;600000;2;monitor;
KDJS08P;PLCRKDJS08PM;172.17.208.5;502;0;10000;600000;2;monitor;
KDJS10P;PLCRKDJS10PI;172.17.209.2;502;0;10000;600000;2;monitor;
KDJS11;PLCRKDJS11M;172.17.209.3;502;0;10000;600000;2;monitor;
KDJS12;PLCRKDJS12M;172.17.209.4;502;0;10000;600000;2;monitor;
KDJS13;PLCRKDJS13M;172.17.209.14;502;0;10000;600000;2;monitor;
KDJS14;PLCRKDJS14M;172.17.209.15;502;0;10000;600000;2;monitor;
KDJS15;PLCRKDJS15M;172.17.209.21;502;0;10000;600000;2;monitor;
KDJS16;PLCRKDJS16M;172.17.209.22;502;0;10000;600000;2;monitor;
KDJS17;PLCRKDJS17M;172.17.210.3;502;0;10000;600000;2;monitor;
KDJS18;PLCRKDJS18M;172.17.210.4;502;0;10000;600000;2;monitor;
KDJS19;PLCRKDJS19M;172.17.210.11;502;0;10000;600000;2;monitor;
KDJS20;PLCRKDJS20M;172.17.210.18;502;0;10000;600000;2;monitor;
KDJS21;PLCRKDJS21M;172.17.210.19;502;0;10000;600000;2;monitor;
KDJS22P;PLCRKDJS22PI;172.17.210.20;502;0;10000;600000;2;monitor;
KDSR01P;PLCKDSR01P;172.17.216.14;502;0;10000;600000;2;monitor;
KDSR03P;PLCRKDSR03PM;172.17.217.1;502;0;10000;600000;2;monitor;
KDSR04P;PLCRKDSR04PM;172.17.217.2;502;0;10000;600000;2;monitor;
KDSR04.1P;PLCRKDSR04.1PM;172.17.217.8;502;0;10000;600000;2;monitor;
KDSR05P;PLCRKDSR05PI;172.17.217.3;502;0;10000;600000;2;monitor;
KDSR06P;PLCRKDSR06PI;172.17.217.4;502;0;10000;600000;2;monitor;
KDSR07P;PLCRKDSR07PM;172.17.217.5;502;0;10000;600000;2;monitor;
KDSR08P;PLCRKDSR08PM;172.17.217.6;502;0;10000;600000;2;monitor;
KDSR09P;PLCRKDSR09PM;172.17.217.7;502;0;10000;600000;2;monitor;
KDMP01;PLCRKDMP01M;172.17.220.5;502;0;10000;600000;2;monitor;
KDMP02;PLCRKDMP02M;172.17.220.6;502;0;10000;600000;2;monitor;
KDMP03;PLCRKDMP03M;172.17.220.7;502;0;10000;600000;2;monitor;
KDPK14P;PLCRKDPK14PI;172.17.219.5;502;0;10000;600000;2;monitor;
KDJS34P;PLCRKDJS34PI;172.17.212.3;502;0;10000;600000;2;monitor;
KDJS35P;PLCRKDJS35PI;172.17.212.4;502;0;10000;600000;2;monitor;
