device_name;session_uid;url_publisher;PLC_name;PLC_ip;port(i);read_permission;write_permission;door_open_offset(i);surge_protection_offset(i)
RNDH.2F;RNDH.2F;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDDH19LM;192.168.88.189;502;monitor;;5;4
RNDH.4F;RNDH.4F;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDDH21L;192.168.88.189;502;monitor;;5;4
RNDH.2K;RNDH.2K;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDDH23LM;192.168.88.189;502;monitor;;5;4
RNDH.5K;RNDH.5K;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDDH24LM;192.168.88.189;502;monitor;;5;4
RNDH.6K;RNDH.6K;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDDH25PI;192.168.88.189;502;monitor;;5;4
RNDH.7K;RNDH.7K;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDDH26LI;192.168.88.189;502;monitor;;5;4
RNJS.3F;RNJS.3F;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDJS26PM;192.168.88.189;502;monitor;;5;4
RNJS.2H;RNJS.2H;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDJS36LM;192.168.88.189;502;monitor;;5;4
RNJS.4H;RNJS.4H;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDJS37LM;192.168.88.189;502;monitor;;5;4
RNJS.3J;RNJS.3J;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDJS38PM;192.168.88.189;502;monitor;;5;4
RNJS.5K;RNJS.5K;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDJS44PM;192.168.88.189;502;monitor;;5;4
RNJS.2L;RNJS.2L;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDJS47PM;192.168.88.189;502;monitor;;5;4
RNJS.5M;RNJS.5M;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDJS52PM;192.168.88.189;502;monitor;;5;4
