device_name;session_uid;ip;url_publisher;port(i);time_polling_ms;num_polling_out_comm;readCommunity;writeCommunity;read_permission;write_permission
NRLJS491L;NRLJS491L;10.191.10.99;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLJS408P;NRLJS408P;10.191.10.13;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLJS490L;NRLJS490L;10.191.10.17;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRSR431P;NRSR431P;10.191.16.35;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRSR432P;NRSR432P;10.191.17.7;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRSR467L;NRSR467L;10.191.17.9;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRSR466L;NRSR466L;10.191.17.16;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRSR434P;NRSR434P;10.191.17.21;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRSR464L;NRSR464L;10.191.17.23;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRSR463L;NRSR463L;10.191.17.29;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;publiNRSPK09LBc;private;monitor;
NRLMP01P;NRLMP01P;10.191.20.44;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLPK05L;NRLPK05L;10.191.19.9;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLPK08P;NRLPK08P;10.191.19.15;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLPK10L;NRLPK10L;10.191.19.23;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLPK11P;NRLPK11P;10.191.19.25;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLPK12L;NRLPK12L;10.191.19.27;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLPK13L;NRLPK13L;10.191.20.22;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLPK15P;NRLPK15P;10.191.20.26;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLPK17P;NRLPK17P;10.191.20.36;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLPK18L;NRLPK18L;10.191.20.38;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLPK19P;NRLPK19P;10.191.20.40;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLJS410P;NRLJS410P;10.191.10.101;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRSKD05LB;NRSKD05LB;10.191.7.24;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRSKD07LB;NRSKD07LB;10.191.7.31;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PSJS488LB;PSJS488LB;10.191.11.7;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PSJS489LB;PSJS489LB;10.191.11.35;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PSJS418PB;PSJS418PB;10.191.16.30;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PSJS419PB;PSJS419PB;10.191.16.31;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PSJS400B;PSJS400B;10.191.21.30;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PSJS402PB;PSJS402PB;10.191.10.8;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PSJS403PB;PSJS403PB;10.191.10.34;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PSSR480LB;PSSR480LB;10.191.17.46;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PSSR479LB;PSSR479LB;10.191.17.47;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRSMP02PB;NRSMP02PB;10.191.20.52;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRSPK03LB;NRSPK03LB;10.191.19.30;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRSPK09LB;NRSPK09LB;10.191.19.36;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRSPK14PB;NRSPK14PB;10.191.20.51;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRSPK16PB;NRSPK16PB;10.191.20.50;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PSJS496LB;PSJS496LB;10.191.8.22;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PSJS495LB;PSJS495LB;10.191.8.34;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRSKD05LM;NRSKD05LM;10.191.7.37;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRSKD07LM;NRSKD07LM;10.191.7.38;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PSJS488LM;PSJS488LM;10.191.11.43;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PSJS489LM;PSJS489LM;10.191.11.36;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PSJS418PM;PSJS418PM;10.191.16.5;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PSJS419PM;PSJS419PM;10.191.16.13;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PSJS400M;PSJS400M;10.191.21.31;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PSJS496LM;PSJS496LM;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PSJS495LM;PSJS495LM;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PSJS402PM;PSJS402PM;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PSJS403PM;PSJS403PM;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PSSR480LM;PSSR480LM;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PSSR479LM;PSSR479LM;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRSMP02PM;NRSMP02PM;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRSPK03LM;NRSPK03LM;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRSPK09LM;NRSPK09LM;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRSPK14PM;NRSPK14PM;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRSPK16PM;NRSPK16PM;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRSPK16PB;NRSPK16PB;192.168.88.189;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRSPS400BPS;NRSPS400BPS;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRSPK03LS;NRSPK03LS;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRSPK09LS;NRSPK09LS;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PDZTKD01P;PDZTKD01P;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PDZTDH02P;PDZTDH02P;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PDZTDH01L;PDZTDH01L;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PDZTDH03P;PDZTDH03P;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PDZTDH14L;PDZTDH14L;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLPK02PA;NRLPK02PA;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
NRLPK02PB;NRLPK02PB;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PDZDH04bP;PDZDH04bP;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PDZDH13L;PDZDH13L;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PDZJS01Pb;PDZJS01Pb;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PDZJS02Pb;PDZJS02Pb;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PDZJS09Lb;PDZJS09Lb;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PDZJS10Lb;PDZJS10Lb;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PDZDH07P;PDZDH07P;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PDZDH10L;PDZDH10L;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PDZJS05P;PDZJS05P;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PDZJS06L;PDZJS06L;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PDZDH04aP;PDZDH04aP;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
