device_name;session_uid;endpoint;url_publisher;time_polling_ms;num_polling_out_comm;analizador;ip;port(i);offset_live(i);read_permission;write_permission
KDDH16.1;KDDH16.1;'http:\/\/172.17.104.13/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL3;10.140.20.78;502;351;monitor;
KDDH20.1;KDDH20.1;'http:\/\/172.17.105.8/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL3;10.140.20.78;502;371;monitor;
KDDH21.1;KDDH21.1;'http:\/\/172.17.105.9/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL3;10.140.20.78;502;381;monitor;
KDDH23.1;KDDH23.1;'http:\/\/172.17.106.7/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL3;10.140.20.78;502;391;monitor;
KDDH29.1;KDDH29.1;'http:\/\/172.17.104.14/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL3;10.140.20.78;502;361;monitor;
KDDH30.1;KDDH30.1;'http:\/\/172.17.105.11/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL2;10.140.20.77;502;301;monitor;
KDDH31.1;KDDH31.1;'http:\/\/172.17.105.12/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL2;10.140.20.77;502;311;monitor;
KDDH34.1;KDDH34.1;'http:\/\/172.17.106.11/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL2;10.140.20.77;502;321;monitor;
KDJS01.1;KDJS01.1;'http:\/\/172.17.110.26/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL1;10.140.20.76;502;201;monitor;
KDJS02.1;KDJS02.1;'http:\/\/172.17.110.27/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL1;10.140.20.76;502;211;monitor;
KDJS03.1;KDJS03.1;'http:\/\/172.17.110.28/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL1;10.140.20.76;502;221;monitor;
KDJS04.1;KDJS04.1;'http:\/\/172.17.108.8/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL1;10.140.20.76;502;231;monitor;
KDJS05.1;KDJS05.1;'http:\/\/172.17.108.9/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL1;10.140.20.76;502;241;monitor;
KDJS06.1;KDJS06.1;'http:\/\/172.17.108.10/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL1;10.140.20.76;502;251;monitor;
