device_name;PLC_name;PLC_ip;PLC_port(i);door_open(i);time_polling_plc_ms(i);time_polling_meteo_ms(i);num_polling_out_comm(i);read_permission;write_permission
MZJS496L;PLCMZJS496L;10.191.12.27;502;0;10000;600000;2;monitor;
MZKD02L;PLCMZKD02L;10.191.1.7;502;0;10000;600000;2;monitor;
MZDH01L;PLCMZDH01L;10.191.3.16;502;0;10000;600000;2;monitor;
MZDH02L;PLCMZDH02L;10.191.3.20;502;0;10000;600000;2;monitor;
MZDH03L;PLCMZDH03L;10.191.7.3;502;0;10000;600000;2;monitor;
MZJS402P;PLCMZJS402P;10.191.15.21;502;0;10000;600000;2;monitor;
MZJS496P;PLCMZJS496P;10.191.16.20;502;0;10000;600000;2;monitor;
MZJS499L;PLCMZJS499L;10.191.8.26;502;0;10000;600000;2;monitor;
MZJS498;PLCMZJS498;10.191.9.8;502;0;10000;600000;2;monitor;
MZJS497;PLCMZJS497;10.191.9.10;502;0;10000;600000;2;monitor;
MZSR403P;PLCMZSR403P;10.191.17.44;502;0;10000;600000;2;monitor;
MZPK01L;PLCMZPK01L;10.191.19.20;502;0;10000;600000;2;monitor;
MDJS404L;PLCMDJS404L;10.191.11.32;502;0;10000;600000;2;monitor;
MDKD01L;PLCMDKD01L;10.191.7.26;502;0;10000;600000;2;monitor;
MDKD03L;PLCMDKD03L;10.191.2.16;502;0;10000;600000;2;monitor;
MDJS405P;PLCMDJS405P;10.191.13.7;502;0;10000;600000;2;monitor;
MDJS406P;PLCMDJS406P;10.191.14.23;502;0;10000;600000;2;monitor;
MDJS407P;PLCMDJS407P;10.191.15.26;502;0;10000;600000;2;monitor;
MDJS408P;PLCMDJS408P;10.191.16.23;502;0;10000;600000;2;monitor;
MD247;PLCRNR251/TS-286;10.191.21.19;502;0;10000;600000;2;monitor;
MDJS401L;PLCMDJS401L;10.191.8.15;502;0;10000;600000;2;monitor;
MDJS402;PLCMDJS402;10.191.9.2;502;0;10000;600000;2;monitor;
MDJS403;PLCMDJS403;10.191.10.9;502;0;10000;600000;2;monitor;
MDSR409L;PLCMDSR409L;10.191.17.18;502;0;10000;600000;2;monitor;
MDMP01;PLCMDMP01;10.191.20.41;502;0;10000;600000;2;monitor;
MDPK02L;PLCMDPK02L;10.191.20.31;502;0;10000;600000;2;monitor;
