location_id;alias
356; pk 147+566
357; pk 147+566
358; pk 147+566
359; pk 147+466
360; pk 147+466
361; pk 147+366
362; pk 146+535
363; pk 146+535
364; pk 151+923
365; pk 151+923
366; pk 151+923
367; pk 151+823
368; pk 151+823
369; pk 151+236
370; pk 151+136
371; pk 151+136
372; pk 151+225
373; pk 151+225
374; pk 151+225
375; pk 151+355
376; pk 151+355
377; pk 151+355
378; pk 151+962
379; pk 152+062
380; pk 152+062
381; pk 152+062
382; pk 199+765
383; pk 199+765
384; pk 199+765
385; pk 199+665
386; pk 199+665
387; pk 199+665
388; pk 199+565
389; pk 199+565
390; pk 199+245
391; pk 199+245
392; pk 199+455
393; pk 199+455
394; pk 199+605
395; pk 199+725
396; pk 199+725
397; pk 199+725
398; pk 180+169
399; pk 180+169
400; pk 180+169
401; pk 180+069
402; pk 180+069
403; pk 180+069
404; pk 179+969
405; pk 179+769
406; pk 179+566
407; pk 179+566
408; pk 179+976
409; pk 180+076
410; pk 180+076
411; pk 180+076
412; pk 173+397
413; pk 173+397
414; pk 173+307
415; pk 173+307
416; pk 173+217
417; pk 173+217
418; pk 173+127
419; pk 173+127
420; pk 173+037
421; pk 173+037
422; pk 172+947
423; pk 172+947
424; pk 172+857
425; pk 172+857
426; pk 172+767
427; pk 172+767
428; pk 172+727
429; pk 172+727
430; pk 172+807
431; pk 172+807
432; pk 172+887
433; pk 172+887
434; pk 172+967
435; pk 172+967
436; pk 173+047
437; pk 173+047
438; pk 150+778
439; pk 150+778
440; pk 150+518
441; pk 150+328
442; pk 150+328
443; pk 150+328
444; pk 150+258
445; pk 150+258
446; pk 150+258
447; pk 150+358
448; pk 150+358
449; pk 150+458
450; pk 176+990
451; pk 177+317
452; pk 176+984
453; pk 177+325
454; pk 177+102
455; pk 177+120
456; pk 166+094
457; pk 166+105
458; pk 166+713
459; pk 166+711
460; pk 166+240
461; pk 166+410
462; pk 166+560
463; pk 166+577
464; pk 166+407
465; pk 166+257
466; pk 195+529
467; pk 195+709
468; pk 195+529
469; pk 195+709
470; pk 195+629
471; pk 195+629
472; pk 173+441
473; pk 173+242
474; pk 173+072
475; pk 172+903
476; pk 172+731
477; pk 173+601
478; pk 172+606
479; pk 172+731
480; pk 172+881
481; pk 173+032
482; pk 173+348
483; pk 172+617
484; pk 173+608
485; pk 199+167
486; pk 199+844
487; pk 199+853
488; pk 199+163
489; pk 199+380
490; pk 199+525
491; pk 199+678
492; pk 199+679
493; pk 199+515
494; pk 199+362
495; pk 180+110
496; pk 180+040
497; pk 179+965
498; pk 179+895
499; pk 179+815
500; pk 179+740
501; pk 179+665
502; pk 179+595
503; pk 180+220
504; pk 179+500
505; pk 179+590
506; pk 179+665
507; pk 179+745
508; pk 179+825
509; pk 179+905
510; pk 179+980
511; pk 180+060
512; pk 180+140
513; pk 179+500
514; pk 180+220
515; pk 151+953
516; pk 151+355
517; pk 151+953
518; pk 151+355
519; pk 146+626
520; pk 146+836
521; pk 147+036
522; pk 147+226
523; pk 147+436
524; pk 147+426
525; pk 147+226
526; pk 147+026
527; pk 146+826
528; pk 146+626
529; pk 199+793
530; pk 199+593
531; pk 199+593
532; pk 199+593
533; pk 199+223
534; pk 199+423
535; pk 199+423
536; pk 199+423
537; pk 199+223
538; pk 199+832
539; pk 199+793
540; pk 199+230
541; pk 153+810
542; pk 153+590
543; pk 153+590
544; pk 153+810
545; pk 153+685
546; pk 153+685
547; pk 150+668
548; pk 150+518
549; pk 150+358
550; pk 150+358
551; pk 150+518
552; pk 150+668
553; pk 150+208
554; pk 150+813
555; pk 150+813
556; pk 150+208
557; pk 177+257
558; pk 177+212
559; pk 177+067
560; pk 177+017
561; pk 177+035
562; pk 177+080
563; pk 177+245
564; pk 177+290
565; pk 166+667
566; pk 166+617
567; pk 166+217
568; pk 166+167
569; pk 166+155
570; pk 166+205
571; pk 166+600
572; pk 166+650
573; pk 172+100
574; pk 172+100
575; pk 172+100
576; pk 172+100
577; pk 173+900
578; pk 173+900
579; pk 173+900
580; pk 173+900
581; pk 14+395
582; pk 14+395
583; pk 14+395
584; pk 14+395
585; pk 13+815
586; pk 13+815
587; pk 13+815
588; pk 13+815
589; pk 151+953
590; pk 151+953
591; pk 151+953
592; pk 151+953
593; pk 151+355
594; pk 151+355
595; pk 151+355
596; pk 151+355
597; pk 199+793
598; pk 199+793
599; pk 199+793
600; pk 199+593
601; pk 199+223
602; pk 199+223
603; pk 199+223
604; pk 199+463
605; pk 150+787
606; pk 150+787
607; pk 150+787
608; pk 150+497
609; pk 150+243
610; pk 150+243
611; pk 150+243
612; pk 150+373
613; pk 177+712
614; pk 177+712
615; pk 177+712
616; pk 177+612
617; pk 177+175
618; pk 177+175
619; pk 177+175
620; pk 177+585
621; pk 177+485
622; pk 176+802
623; pk 166+105
624; pk 166+805
625; pk 195+474
626; pk 195+764
627; pk 172+517
628; pk 173+677
629; pk 198+980
630; pk 200+032
631; pk 151+355
632; pk 147+246
633; pk 147+026
634; pk 146+776
635; pk 151+953
636; pk 146+776
637; pk 147+016
638; pk 147+256
639; pk 199+793
640; pk 199+793
641; pk 199+793
642; pk 199+223
643; pk 199+223
644; pk 199+223
645; pk 153+780 
646; pk 153+495
647; pk 151+018
648; pk 150+478
649; pk 150+133
650; pk 150+478
651; pk 177+712
652; pk 177+712
653; pk 177+175
654; pk 177+175
655; pk 177+175
656; pk 177+175
657; pk 177+712
658; pk 177+712
659; pk 177+384
660; pk 177+909
661; pk 166+090
662; pk 166+717
663; pk 173+594
664; pk 172+557
665; pk 198+980
666; pk 200+032
667; pk 151+953
668; pk 151+355
669; pk 151+953
670; pk 151+355
671; pk 179+415
672; pk 180+302
673; pk 150+908
674; pk 150+128
675; pk 177+307
676; pk 177+297
677; pk 177+221
678; pk 177+144
679; pk 177+068
680; pk 177+310
681; pk 177+005
682; pk 177+075
683; pk 177+157
684; pk 177+240
685; pk 166+307
686; pk 166+297
687; pk 166+221
688; pk 166+144
689; pk 166+068
690; pk 166+310
691; pk 166+005
692; pk 166+075
693; pk 166+307
694; pk 166+297
695; pk 166+221
696; pk 166+144
697; pk 166+068
698; pk 166+310
699; pk 166+005
700; pk 166+075
701; pk 195+549
702; pk 195+629
703; pk 195+689
704; pk 195+719
705; pk 195+689
706; pk 195+609
707; pk 166+051
708; pk 166+108
709; pk 166+253
710; pk 166+338
711; pk 166+413
712; pk 166+487
713; pk 166+562
714; pk 166+637
715; pk 165+959
716; pk 166+108
717; pk 166+194
718; pk 166+266
719; pk 166+349
720; pk 166+419
721; pk 166+492
722; pk 166+569
723; pk 147+535
724; pk 147+381
725; pk 147+226
726; pk 147+070
727; pk 146+917
728; pk 146+763
729; pk 146+608
730; pk 146+451
731; pk 147+561
732; pk 146+655
733; pk 146+808
734; pk 146+961
735; pk 147+114
736; pk 147+267
737; pk 147+420
738; pk 147+561
739; pk 147+535
740; pk 147+381
741; pk 147+226
742; pk 147+070
743; pk 146+917
744; pk 146+763
745; pk 146+608
746; pk 147+561
747; pk 146+655
748; pk 146+808
749; pk 146+961
750; pk 147+114
751; pk 147+267
752; pk 147+420
753; pk 147+535
754; pk 147+381
755; pk 147+561
756; pk 146+655
757; pk 147+535
758; pk 147+381
759; pk 147+226
760; pk 147+070
761; pk 146+917
762; pk 146+763
763; pk 146+608
764; pk 147+070
765; pk 146+917
766; pk 146+763
767; pk 146+608
768; pk 147+561
769; pk 146+655
770; pk 146+808
771; pk 146+961
772; pk 147+114
773; pk 147+267
774; pk 147+420
775; pk 147+267
776; pk 147+420
777; pk 147+561
778; pk 146+655
779; pk 146+808
780; pk 146+961
781; pk 147+114
782; pk 147+267
783; pk 147+420
784; pk 147+267
785; pk 146+917
786; pk 146+763
787; pk 146+608
788; pk 147+561
789; pk 146+655
790; pk 146+808
791; pk 146+961
792; pk 147+114
793; pk 147+267
794; pk 151+953
795; pk 151+236
796; pk 151+236
797; pk 152+136
798; pk 151+953
799; pk 151+236
800; pk 151+236
801; pk 152+136
802; pk 151+953
803; pk 151+236
804; pk 151+236
805; pk 152+136
806; pk 147+561
807; pk 147+561
808; pk 147+561
809; pk 146+961
810; pk 147+561
811; pk 147+561
812; pk 147+561
813; pk 146+961
814; pk 147+561
815; pk 147+561
816; pk 147+561
817; pk 146+961
818; pk 146+451
819; pk 146+451
820; pk 146+451
821; pk 146+451
822; pk 146+451
823; pk 146+451
824; pk 147+561
825; pk 147+561
826; pk 147+561
827; pk 147+561
828; pk 147+561
829; pk 147+561
830; pk 147+561
831; pk 146+451
832; pk 177+290
833; pk 177+100
834; pk 177+009
835; pk 177+105
836; pk 166+011
837; pk 166+021
838; pk 166+041
839; pk 166+061
840; pk 166+707
841; pk 166+607
842; pk 166+407
843; pk 166+207
844; pk 195+545
845; pk 195+635
846; pk 195+692
847; pk 195+599
848; pk 172+100
849; pk 172+100
850; pk 172+100
851; pk 172+100
852; pk 172+100
853; pk 172+100
854; pk 172+100
855; pk 172+100
856; pk 177+290
857; pk 151+225
858; pk 151+225
859; pk 151+225
860; pk 151+305
861; pk 151+383
862; pk 152+000
863; pk 152+000
864; pk 151+842
865; pk 151+764
