item;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_state
1;RV-CT-ITS-HUM-1;RV-CT-ITS-HUM-1;RV-CT-ITS-HUM-1;AP7 - AUSOL I;RV-TUNEL;177+317;CA;
2;RV-CT-ITS-HUM-2;RV-CT-ITS-HUM-2;RV-CT-ITS-HUM-2;AP7 - AUSOL I;RV-TUNEL;177+317;CA;
3;RV-CT-CGBT-HUM-1;RV-CT-CGBT-HUM-1;RV-CT-CGBT-HUM-1;AP7 - AUSOL I;RV-TUNEL;177+317;CA;
4;RV-CT-CGBT-HUM-2;RV-CT-CGBT-HUM-2;RV-CT-CGBT-HUM-2;AP7 - AUSOL I;RV-TUNEL;177+317;CA;
5;RV-CT-PCI-HUM-1;RV-CT-PCI-HUM-1;RV-CT-PCI-HUM-1;AP7 - AUSOL I;RV-TUNEL;177+317;CA;
6;RV-CT-PCI-HUM-2;RV-CT-PCI-HUM-2;RV-CT-PCI-HUM-2;AP7 - AUSOL I;RV-TUNEL;177+317;CA;
7;MM-CT-ITS-HUM-1;MM-CT-ITS-HUM-1;MM-CT-ITS-HUM-1;AP7 - AUSOL I;MM-TUNEL;177+307;CA;
8;MM-CT-ITS-HUM-2;MM-CT-ITS-HUM-2;MM-CT-ITS-HUM-2;AP7 - AUSOL I;MM-TUNEL;177+307;CA;
9;MM-CT-CGBT-HUM-1;MM-CT-CGBT-HUM-1;MM-CT-CGBT-HUM-1;AP7 - AUSOL I;MM-TUNEL;177+307;CA;
10;MM-CT-CGBT-HUM-2;MM-CT-CGBT-HUM-2;MM-CT-CGBT-HUM-2;AP7 - AUSOL I;MM-TUNEL;177+307;CA;
11;STMI-CT-ITS-HUM-1;STMI-CT-ITS-HUM-1;STMI-CT-ITS-HUM-1;AP7 - AUSOL I;STMI-TUNEL;195+719;CA;
12;STMI-CT-ITS-HUM-2;STMI-CT-ITS-HUM-2;STMI-CT-ITS-HUM-2;AP7 - AUSOL I;STMI-TUNEL;195+719;CA;
13;MM-CT-PCI-HUM-1;MM-CT-PCI-HUM-1;MM-CT-PCI-HUM-1;AP7 - AUSOL I;MM-TUNEL;165+987;CA;
14;MM-CT-PCI-HUM-2;MM-CT-PCI-HUM-2;MM-CT-PCI-HUM-2;AP7 - AUSOL I;MM-TUNEL;165+987;CA;
15;STMI-CT-CGBT-HUM-1;STMI-CT-CGBT-HUM-1;STMI-CT-CGBT-HUM-1;AP7 - AUSOL I;STMI-TUNEL;195+719;CA;
16;STMI-CT-CGBT-HUM-2;STMI-CT-CGBT-HUM-2;STMI-CT-CGBT-HUM-2;AP7 - AUSOL I;STMI-TUNEL;195+719;CA;
17;CAS-CT-PCI-HUM-1;CAS-CT-PCI-HUM-1;CAS-CT-PCI-HUM-1;AP7 - AUSOL II;CAS-TUNEL;173+900;CA;
18;CAS-CT-PCI-HUM-2;CAS-CT-PCI-HUM-2;CAS-CT-PCI-HUM-2;AP7 - AUSOL II;CAS-TUNEL;173+900;CA;
19;CAS-CT-CGBT-BC-HUM-1;CAS-CT-CGBT-BC-HUM-1;CAS-CT-CGBT-BC-HUM-1;AP7 - AUSOL II;CAS-TUNEL;173+900;CA;
20;CAS-CT-CGBT-BC-HUM-2;CAS-CT-CGBT-BC-HUM-2;CAS-CT-CGBT-BC-HUM-2;AP7 - AUSOL II;CAS-TUNEL;173+900;CA;
21;CAS-CT-ITS-BC-HUM-1;CAS-CT-ITS-BC-HUM-1;CAS-CT-ITS-BC-HUM-1;AP7 - AUSOL II;CAS-TUNEL;173+900;CA;
22;CAS-CT-ITS-BC-HUM-2;CAS-CT-ITS-BC-HUM-2;CAS-CT-ITS-BC-HUM-2;AP7 - AUSOL II;CAS-TUNEL;173+900;CA;
23;CAS-CT-CGBT-BM-HUM-1;CAS-CT-CGBT-BM-HUM-1;CAS-CT-CGBT-BM-HUM-1;AP7 - AUSOL II;CAS-TUNEL;173+900;CA;
24;CAS-CT-CGBT-BM-HUM-2;CAS-CT-CGBT-BM-HUM-2;CAS-CT-CGBT-BM-HUM-2;AP7 - AUSOL II;CAS-TUNEL;173+900;CA;
25;CAS-CT-ITS-BM-HUM-1;CAS-CT-ITS-BM-HUM-1;CAS-CT-ITS-BM-HUM-1;AP7 - AUSOL II;CAS-TUNEL;173+900;CA;
26;CAS-CT-ITS-BM-HUM-2;CAS-CT-ITS-BM-HUM-2;CAS-CT-ITS-BM-HUM-2;AP7 - AUSOL II;CAS-TUNEL;173+900;CA;
27;CH-CT-CGBT-HUM-1;CH-CT-CGBT-HUM-1;CH-CT-CGBT-HUM-1;AP7 - AUSOL I;CH-TUNEL;177+317;CA;
28;CH-CT-CGBT-HUM-2;CH-CT-CGBT-HUM-2;CH-CT-CGBT-HUM-2;AP7 - AUSOL I;CH-TUNEL;177+317;CA;
29;CH-CT-ITS-HUM-1;CH-CT-ITS-HUM-1;CH-CT-ITS-HUM-1;AP7 - AUSOL I;CH-TUNEL;177+317;CA;
30;CH-CT-ITS-HUM-2;CH-CT-ITS-HUM-2;CH-CT-ITS-HUM-2;AP7 - AUSOL I;CH-TUNEL;177+317;CA;
31;CH-CT-PCI-HUM-1;CH-CT-PCI-HUM-1;CH-CT-PCI-HUM-1;AP7 - AUSOL I;CH-TUNEL;177+317;CA;
32;CH-CT-PCI-HUM-2;CH-CT-PCI-HUM-2;CH-CT-PCI-HUM-2;AP7 - AUSOL I;CH-TUNEL;177+317;CA;
33;EST-CT-CGBT-HUM-1;EST-CT-CGBT-HUM-1;EST-CT-CGBT-HUM-1;AP7 - AUSOL II;EST-TUNEL;177+317;CA;
34;EST-CT-CGBT-HUM-2;EST-CT-CGBT-HUM-2;EST-CT-CGBT-HUM-2;AP7 - AUSOL II;EST-TUNEL;177+317;CA;
35;EST-CT-ITS-HUM-1;EST-CT-ITS-HUM-1;EST-CT-ITS-HUM-1;AP7 - AUSOL II;EST-TUNEL;177+317;CA;
36;EST-CT-ITS-HUM-2;EST-CT-ITS-HUM-2;EST-CT-ITS-HUM-2;AP7 - AUSOL II;EST-TUNEL;177+317;CA;
37;STM2-CT-CGBT-HUM-1;STM2-CT-CGBT-HUM-1;STM2-CT-CGBT-HUM-1;AP7 - AUSOL II;STMII-TUNEL;177+317;CA;
38;STM2-CT-CGBT-HUM-2;STM2-CT-CGBT-HUM-2;STM2-CT-CGBT-HUM-2;AP7 - AUSOL II;STMII-TUNEL;177+317;CA;
39;STM2-CT-ITS-HUM-1;STM2-CT-ITS-HUM-1;STM2-CT-ITS-HUM-1;AP7 - AUSOL II;STMII-TUNEL;177+317;CA;
40;STM2-CT-ITS-HUM-2;STM2-CT-ITS-HUM-2;STM2-CT-ITS-HUM-2;AP7 - AUSOL II;STMII-TUNEL;177+317;CA;
42;LQ-CT-CGBT-HUM-1;LQ-CT-CGBT-HUM-1;LQ-CT-CGBT-HUM-1;AP7 - AUSOL I;LQ-TUNEL;173+900;CA;
43;LQ-CT-CGBT-HUM-2;LQ-CT-CGBT-HUM-2;LQ-CT-CGBT-HUM-2;AP7 - AUSOL I;LQ-TUNEL;173+900;CA;
44;LQ-CT-ITS-HUM-1;LQ-CT-ITS-HUM-1;LQ-CT-ITS-HUM-1;AP7 - AUSOL I;LQ-TUNEL;173+900;CA;
