item;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_measure
1;RV-LUM-1CA;RV-LUM-1CA;RV-LUM-1CA;AP7 - AUSOL I;RV-TUNEL;177+384;CA;SendValuesToIllumination.groovy
2;RV-LUM-1MA;RV-LUM-1MA;RV-LUM-1MA;AP7 - AUSOL I;RV-TUNEL;177+909;MA;SendValuesToIllumination.groovy
3;MM-LUM-1CA;MM-LUM-1CA;MM-LUM-1CA;AP7 - AUSOL I;MM-TUNEL;166+090;CA;SendValuesToIllumination.groovy
4;MM-LUM-1MA;MM-LUM-1MA;MM-LUM-1MA;AP7 - AUSOL I;MM-TUNEL;166+717;MA;SendValuesToIllumination.groovy
5;LQ-LUM-1CA;LQ-LUM-1CA;LQ-LUM-1CA;AP7 - AUSOL I;LQ-TUNEL;173+594;CA;SendValuesToIllumination.groovy
6;LQ-LUM-1MA;LQ-LUM-1MA;LQ-LUM-1MA;AP7 - AUSOL I;LQ-TUNEL;172+557;MA;SendValuesToIllumination.groovy
7;CH-LUM-1MA;CH-LUM-1MA;CH-LUM-1MA;AP7 - AUSOL I;CH-TUNEL;198+980;MA;SendValuesToIllumination.groovy
8;CH-LUM-1CA;CH-LUM-1CA;CH-LUM-1CA;AP7 - AUSOL I;CH-TUNEL;200+032;CA;SendValuesToIllumination.groovy
9;CAS-LUM-1MA;CAS-LUM-1MA;CAS-LUM-1MA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA;SendValuesToIllumination.groovy
10;CAS-LUM-1CA;CAS-LUM-1CA;CAS-LUM-1CA;AP7 - AUSOL II;CAS-TUNEL;151+355;CA;SendValuesToIllumination.groovy
11;COR-LUM-1MA;COR-LUM-1MA;COR-LUM-1MA;AP7 - AUSOL II;COR-TUNEL;151+953;MA;SendValuesToIllumination.groovy
12;COR-LUM-1CA;COR-LUM-1CA;COR-LUM-1CA;AP7 - AUSOL II;COR-TUNEL;151+355;CA;SendValuesToIllumination.groovy
13;NG-LUM-1MA;NG-LUM-1MA;NG-LUM-1MA;AP7 - AUSOL I;NG-TUNEL;179+415;MA;SendValuesToIllumination.groovy
14;NG-LUM-1CA;NG-LUM-1CA;NG-LUM-1CA;AP7 - AUSOL I;NG-TUNEL;180+302;CA;SendValuesToIllumination.groovy
15;STM2-LUM-1MA;STM2-LUM-1MA;STM2-LUM-1MA;AP7 - AUSOL II;STMII-TUNEL;150+908;MA;SendValuesToIllumination.groovy
16;STM2-LUM-1CA;STM2-LUM-1CA;STM2-LUM-1CA;AP7 - AUSOL II;STMII-TUNEL;150+128;CA;SendValuesToIllumination.groovy
