item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido
1;1;RV-CT-FIRE-DET-1;RV-CT-FIRE-DET-1;RV-CT-FIRE-DET-1;AP7 - AUSOL I;RV-TUNEL;177+317;CA
2;1;MM-CT-FIRE-DET-1;MM-CT-FIRE-DET-1;MM-CT-FIRE-DET-1;AP7 - AUSOL I;MM-TUNEL;165+987;CA
3;1;STMI-CT-FIRE-DET-1;STMI-CT-FIRE-DET-1;STMI-CT-FIRE-DET-1;AP7 - AUSOL I;STMI-TUNEL;195+719;CA
4;1;CAS-CT-FIRE-DET-BC;CAS-CT-FIRE-DET-BC;CAS-CT-FIRE-DET-BC;AP7 - AUSOL II;CAS-TUNEL;173+900;CA
5;1;CAS-CT-FIRE-DET-BM;CAS-CT-FIRE-DET-BM;CAS-CT-FIRE-DET-BM;AP7 - AUSOL II;CAS-TUNEL;173+900;CA
6;1;CH-CT-FIRE-DET-1;CH-CT-FIRE-DET-1;CH-CT-FIRE-DET-1;AP7 - AUSOL I;CH-TUNEL;195+719;CA
7;1;EST-CT-FIRE-DET-1;EST-CT-FIRE-DET-1;EST-CT-FIRE-DET-1;AP7 - AUSOL II;EST-TUNEL;177+317;CA
8;1;STM2-CT-FIRE-DET-1;STM2-CT-FIRE-DET-1;STM2-CT-FIRE-DET-1;AP7 - AUSOL II;STMII-TUNEL;177+317;CA
10;1;LQ-CT-FIRE-DET-1;LQ-CT-FIRE-DET-1;LQ-CT-FIRE-DET-1;AP7 - AUSOL I;LQ-TUNEL;173+900;CA
11;1;NG-CT-FIRE-DET-1;NG-CT-FIRE-DET-1;NG-CT-FIRE-DET-1;AP7 - AUSOL I;NG-TUNEL;173+900;MA
12;1;COR-CT-FIRE-DET-BM;COR-CT-FIRE-DET-BM;COR-CT-FIRE-DET-BM;AP7 - AUSOL I;COR-TUNEL;173+900;MA
13;1;COR-CT-FIRE-DET-BC;COR-CT-FIRE-DET-BC;COR-CT-FIRE-DET-BC;AP7 - AUSOL I;COR-TUNEL;173+900;MA
