item;alias;description;sessionuid;road;stretchs;pk;sentido
1;RV-SMF-RAV-1CA;RV-SMF-RAV-1CA;RV-SMF-RAV-1CA;AP7 - AUSOL I;RV-TUNEL;177+485;CA
2;RV-SMF-RAV-1MA;RV-SMF-RAV-1MA;RV-SMF-RAV-1MA;AP7 - AUSOL I;RV-TUNEL;176+802;CA
3;MM-SMF-RAV-1CA;MM-SMF-RAV-1CA;MM-SMF-RAV-1CA;AP7 - AUSOL I;MM-TUNEL;166+105;MA
4;MM-SMF-RAV-1MA;MM-SMF-RAV-1MA;MM-SMF-RAV-1MA;AP7 - AUSOL I;MM-TUNEL;166+805;MA
5;STMI-SMF-RAV-1CA;STMI-SMF-RAV-1CA;STMI-SMF-RAV-1CA;AP7 - AUSOL I;STMI-TUNEL;195+474;CA
6;STMI-SMF-RAV-1MA;STMI-SMF-RAV-1MA;STMI-SMF-RAV-1MA;AP7 - AUSOL I;STMI-TUNEL;195+764;MA
7;LQ-SMF-RAV-1MA;LQ-SMF-RAV-1MA;LQ-SMF-RAV-1MA;AP7 - AUSOL I;LQ-TUNEL;172+517;MA
8;LQ-SMF-RAV-1CA;LQ-SMF-RAV-1CA;LQ-SMF-RAV-1CA;AP7 - AUSOL I;LQ-TUNEL;173+677;CA
9;CH-SMF-RAV-1MA;CH-SMF-RAV-1MA;CH-SMF-RAV-1MA;AP7 - AUSOL I;CH-TUNEL;198+980;MA
10;CH-SMF-RAV-1CA;CH-SMF-RAV-1CA;CH-SMF-RAV-1CA;AP7 - AUSOL I;CH-TUNEL;200+032;CA
11;CAS-SMF-RAV-1CA;CAS-SMF-RAV-1CA;CAS-SMF-RAV-1CA;AP7 - AUSOL II;CAS-TUNEL;151+355;CA
12;CAS-SMF-RAV-2CA;CAS-SMF-RAV-2CA;CAS-SMF-RAV-2CA;AP7 - AUSOL II;CAS-TUNEL;147+246;CA
13;CAS-SMF-RAV-3CA;CAS-SMF-RAV-3CA;CAS-SMF-RAV-3CA;AP7 - AUSOL II;CAS-TUNEL;147+026;CA
