item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_state;param2_entrance_tunnel_distance
1;1;RV-GEL-1CA;RV-GEL-1CA;RV-GEL-1CA;AP7 - AUSOL I;RV-TUNEL;177+307;CA;;42
2;1;MM-GEL-1CA;MM-GEL-1CA;MM-GEL-1CA;AP7 - AUSOL I;MM-TUNEL;166+105;CA;;42
3;4;STMI-GEL-1CA;STMI-GEL-1CA;STMI-GEL-1CA;AP7 - AUSOL I;STMI-TUNEL;195+719;CA;;30
4;1;LQ-GEL-1MA;LQ-GEL-1MA;LQ-GEL-1MA;AP7 - AUSOL I;LQ-TUNEL;173+100;CA;;-
5;1;CH-GEL-1MA;CH-GEL-1MA;CH-GEL-1MA;AP7 - AUSOL I;CH-TUNEL;13+825;MA;;-
10;1;CAS-GEL-BC;CAS-GEL-BC;CAS-GEL-BC;AP7 - AUSOL II;CAS-TUNEL;151+355;CA;;-
11;1;CAS-GEL-BM;CAS-GEL-BM;CAS-GEL-BM;AP7 - AUSOL II;CAS-TUNEL;151+953;MA;;-
13;1;COR-GEL-BC;COR-GEL-BC;COR-GEL-BC;AP7 - AUSOL I;COR-TUNEL;199+793;CA;;-
14;1;COR-GEL-BM;COR-GEL-BM;COR-GEL-BM;AP7 - AUSOL I;COR-TUNEL;199+223;MA;;-
16;1;STM2-GEL-BC;STM2-GEL-BC;STM2-GEL-BC;AP7 - AUSOL II;STMII-TUNEL;150+787;CA;;-
17;4;EST-GEL-BM;EST-GEL-BM;EST-GEL-BM;AP7 - AUSOL II;EST-TUNEL;177+307;CA;;-
18;1;NG-GEL-1BM;NG-GEL-1BM;NG-GEL-1BM;AP7 - AUSOL I;NG-TUNEL;177+175;MA;;-
