item;alias;description;sessionuid;road;stretchs;pk;sentido
1;RV-ANI-1CA;RV-ANI-1CA;RV-ANI-1CA;AP7 - AUSOL I;RV-TUNEL;177+147;CA
2;RV-ANI-1MA;RV-ANI-1MA;RV-ANI-1MA;AP7 - AUSOL I;RV-TUNEL;177+160;MA
3;MM-ANI-1CA;MM-ANI-1CA;MM-ANI-1CA;AP7 - AUSOL I;MM-TUNEL;166+257;CA
4;MM-ANI-2CA;MM-ANI-2CA;MM-ANI-2CA;AP7 - AUSOL I;MM-TUNEL;166+537;MA
5;MM-ANI-1MA;MM-ANI-1MA;MM-ANI-1MA;AP7 - AUSOL I;MM-TUNEL;166+028;CA
6;MM-ANI-2MA;MM-ANI-2MA;MM-ANI-2MA;AP7 - AUSOL I;MM-TUNEL;166+056;MA
7;LQ-ANI-1CA;LQ-ANI-1CA;LQ-ANI-1CA;AP7 - AUSOL I;LQ-TUNEL;172+651;CA
8;LQ-ANI-2CA;LQ-ANI-2CA;LQ-ANI-2CA;AP7 - AUSOL I;LQ-TUNEL;172+651;CA
9;LQ-ANI-3CA;LQ-ANI-3CA;LQ-ANI-3CA;AP7 - AUSOL I;LQ-TUNEL;172+651;CA
11;LQ-ANI-1MA;LQ-ANI-1MA;LQ-ANI-1MA;AP7 - AUSOL I;LQ-TUNEL;173+900;MA
12;LQ-ANI-2MA;LQ-ANI-2MA;LQ-ANI-2MA;AP7 - AUSOL I;LQ-TUNEL;173+900;MA
13;LQ-ANI-3MA;LQ-ANI-3MA;LQ-ANI-3MA;AP7 - AUSOL I;LQ-TUNEL;173+900;MA
14;CH-ANE-1CA;CH-ANE-1CA;CH-ANE-1CA;AP7 - AUSOL I;CH-TUNEL;13+825;CA
15;CH-ANE-1MA;CH-ANE-1MA;CH-ANE-1MA;AP7 - AUSOL I;CH-TUNEL;14+425;MA
16;CH-ANE-2CA;CH-ANE-2CA;CH-ANE-2CA;AP7 - AUSOL I;CH-TUNEL;13+825;CA
17;CH-ANE-2MA;CH-ANE-2MA;CH-ANE-2MA;AP7 - AUSOL I;CH-TUNEL;24+435;MA
18;CAS-ANE-1MA;CAS-ANE-1MA;CAS-ANE-1MA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA
19;CAS-ANE-2MA;CAS-ANE-2MA;CAS-ANE-2MA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA
20;CAS-ANE-3MA;CAS-ANE-3MA;CAS-ANE-3MA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA
21;CAS-ANE-1CA;CAS-ANE-1CA;CAS-ANE-1CA;AP7 - AUSOL II;CAS-TUNEL;151+355;CA
22;CAS-ANE-2CA;CAS-ANE-2CA;CAS-ANE-2CA;AP7 - AUSOL II;CAS-TUNEL;151+355;CA
23;CAS-ANE-3CA;CAS-ANE-3CA;CAS-ANE-3CA;AP7 - AUSOL II;CAS-TUNEL;151+355;CA
24;COR-ANE-1CA;COR-ANE-1CA;COR-ANE-1CA;AP7 - AUSOL II;COR-TUNEL;199+223;CA
25;COR-ANE-2CA;COR-ANE-2CA;COR-ANE-2CA;AP7 - AUSOL II;COR-TUNEL;199+223;CA
26;COR-ANE-3CA;COR-ANE-3CA;COR-ANE-3CA;AP7 - AUSOL II;COR-TUNEL;199+223;CA
27;COR-ANE-1MA;COR-ANE-1MA;COR-ANE-1MA;AP7 - AUSOL II;COR-TUNEL;199+223;MA
28;COR-ANE-2MA;COR-ANE-2MA;COR-ANE-2MA;AP7 - AUSOL II;COR-TUNEL;199+223;MA
29;STM2-ANE-1CA;STM2-ANE-1CA;STM2-ANE-1CA;AP7 - AUSOL II;STMII-TUNEL;150+787;CA
30;STM2-ANE-2CA;STM2-ANE-2CA;STM2-ANE-2CA;AP7 - AUSOL II;STMII-TUNEL;150+497;CA
31;STM2-ANE-1MA;STM2-ANE-1MA;STM2-ANE-1MA;AP7 - AUSOL II;STMII-TUNEL;150+243;MA
32;STM2-ANE-2MA;STM2-ANE-2MA;STM2-ANE-2MA;AP7 - AUSOL II;STMII-TUNEL;150+373;MA
33;NG-ANE-1CA;NG-ANE-1CA;NG-ANE-1CA;AP7 - AUSOL I;NG-TUNEL;177+712;CA
34;NG-ANE-2CA;NG-ANE-2CA;NG-ANE-2CA;AP7 - AUSOL I;NG-TUNEL;177+612;CA
35;NG-ANE-1MA;NG-ANE-1MA;NG-ANE-1MA;AP7 - AUSOL I;NG-TUNEL;177+175;MA
36;NG-ANE-2MA;NG-ANE-2MA;NG-ANE-2MA;AP7 - AUSOL I;NG-TUNEL;177+585;MA
37;COR-ANE-3MA;COR-ANE-3MA;COR-ANE-3MA;AP7 - AUSOL II;COR-TUNEL;199+223;MA
