item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido;param2_entrance_tunnel_distance
1;1;RV-VTA-ANE-1CA;RV-VTA-ANE-1CA;RV-VTA-ANE-1CA;AP7 - AUSOL I;RV-TUNEL;176+985;CA;330
2;1;MM-VTA-ANE-1CA;MM-VTA-ANE-1CA;MM-VTA-ANE-1CA;AP7 - AUSOL I;MM-TUNEL;166+736;CA;-30
3;1;CH-VTA-ANE-1CA;CH-VTA-ANE-1CA;CH-VTA-ANE-1CA;AP7 - AUSOL I;CH-TUNEL;166+736;CA;-30
4;1;LQ-VTA-ANE-1MA;LQ-VTA-ANE-1MA;LQ-VTA-ANE-1MA;AP7 - AUSOL I;LQ-TUNEL;16+700;MA;-
5;1;COR-VTA-ANE-1CA;COR-VTA-ANE-1CA;COR-VTA-ANE-1CA;AP7 - AUSOL II;COR-TUNEL;16+700;CA;-
6;1;NG-VTA-ANE-1CA;NG-VTA-ANE-1CA;NG-VTA-ANE-1CA;AP7 - AUSOL I;NG-TUNEL;177+175;CA;-
7;1;STM2-VTA-ANE-1CA;STM2-VTA-ANE-1CA;STM2-VTA-ANE-1CA;AP7 - AUSOL II;STMII-TUNEL;150+787;CA;-
8;1;CAS-VTA-ANE-1CA;CAS-VTA-ANE-1CA;CAS-VTA-ANE-1CA;AP7 - AUSOL II;CAS-TUNEL;151+355;CA;-
