item;alias;description;sessionuid;road;stretchs;pk;sentido
1;RV-LUX-1CA;RV-LUX-1CA;RV-LUX-1CA;AP7 - AUSOL I;RV-TUNEL;177+257;CA
2;RV-LUX-2CA;RV-LUX-2CA;RV-LUX-2CA;AP7 - AUSOL I;RV-TUNEL;177+212;CA
3;RV-LUX-3CA;RV-LUX-3CA;RV-LUX-3CA;AP7 - AUSOL I;RV-TUNEL;177+067;CA
4;RV-LUX-4CA;RV-LUX-4CA;RV-LUX-4CA;AP7 - AUSOL I;RV-TUNEL;177+017;CA
5;RV-LUX-1MA;RV-LUX-1MA;RV-LUX-1MA;AP7 - AUSOL I;RV-TUNEL;177+035;MA
6;RV-LUX-2MA;RV-LUX-2MA;RV-LUX-2MA;AP7 - AUSOL I;RV-TUNEL;177+080;MA
7;RV-LUX-3MA;RV-LUX-3MA;RV-LUX-3MA;AP7 - AUSOL I;RV-TUNEL;177+245;MA
8;RV-LUX-4MA;RV-LUX-4MA;RV-LUX-4MA;AP7 - AUSOL I;RV-TUNEL;177+290;MA
9;MM-LUX-1CA;MM-LUX-1CA;MM-LUX-1CA;AP7 - AUSOL I;MM-TUNEL;166+667;CA
10;MM-LUX-2CA;MM-LUX-2CA;MM-LUX-2CA;AP7 - AUSOL I;MM-TUNEL;166+617;CA
11;MM-LUX-3CA;MM-LUX-3CA;MM-LUX-3CA;AP7 - AUSOL I;MM-TUNEL;166+217;CA
12;MM-LUX-4CA;MM-LUX-4CA;MM-LUX-4CA;AP7 - AUSOL I;MM-TUNEL;166+167;CA
13;MM-LUX-1MA;MM-LUX-1MA;MM-LUX-1MA;AP7 - AUSOL I;MM-TUNEL;166+155;MA
14;MM-LUX-2MA;MM-LUX-2MA;MM-LUX-2MA;AP7 - AUSOL I;MM-TUNEL;166+205;MA
15;MM-LUX-3MA;MM-LUX-3MA;MM-LUX-3MA;AP7 - AUSOL I;MM-TUNEL;166+600;MA
16;MM-LUX-4MA;MM-LUX-4MA;MM-LUX-4MA;AP7 - AUSOL I;MM-TUNEL;166+650;MA
17;LQ-LUX-1CA;LQ-LUX-1CA;LQ-LUX-1CA;AP7 - AUSOL I;LQ-TUNEL;172+100;CA
18;LQ-LUX-2CA;LQ-LUX-2CA;LQ-LUX-2CA;AP7 - AUSOL I;LQ-TUNEL;172+100;CA
