item;alias;description;sessionuid;road;stretchs;pk;sentido
1;TUN-MAG-CSA-SAI;TUN-MAG-CSA-SAI;TUN-MAG-CSA-SAI;Carretera Tunel;Carretera;172+100;CA
2;TUN-INT-CSA-SAI;TUN-INT-CSA-SAI;TUN-INT-CSA-SAI;Carretera Tunel;Carretera;172+100;CA
3;TUN-MAGDIF-AA1-SC;TUN-MAGDIF-AA1-SC;TUN-MAGDIF-AA1-SC;Carretera Tunel;Carretera;172+100;CA
4;TUN-MAGDIF-AA15-SC;TUN-MAGDIF-AA15-SC;TUN-MAGDIF-AA15-SC;Carretera Tunel;Carretera;172+100;CA
5;TUN-MAGDIF-AA2-SC;TUN-MAGDIF-AA2-SC;TUN-MAGDIF-AA2-SC;Carretera Tunel;Carretera;172+100;CA
6;TUN-MAGDIF-AA16-SC;TUN-MAGDIF-AA16-SC;TUN-MAGDIF-AA16-SC;Carretera Tunel;Carretera;172+100;CA
7;TUN-MAGDIF-AA11-SM;TUN-MAGDIF-AA11-SM;TUN-MAGDIF-AA11-SM;Carretera Tunel;Carretera;172+100;CA
8;TUN-MAGDIF-AA21-SM;TUN-MAGDIF-AA21-SM;TUN-MAGDIF-AA21-SM;Carretera Tunel;Carretera;172+100;CA
9;TUN-MAGDIF-AA10-SM;TUN-MAGDIF-AA10-SM;TUN-MAGDIF-AA10-SM;Carretera Tunel;Carretera;172+100;CA
10;TUN-MAGDIF-AA20-SM;TUN-MAGDIF-AA20-SM;TUN-MAGDIF-AA20-SM;Carretera Tunel;Carretera;172+100;CA
11;TUN-MAGDIF-AE14-SM;TUN-MAGDIF-AE14-SM;TUN-MAGDIF-AE14-SM;Carretera Tunel;Carretera;172+100;CA
12;TUN-MAGDIF-AE9-SC;TUN-MAGDIF-AE9-SC;TUN-MAGDIF-AE9-SC;Carretera Tunel;Carretera;172+100;CA
13;TUN-MAGDIF-A29-SC;TUN-MAGDIF-A29-SC;TUN-MAGDIF-A29-SC;Carretera Tunel;Carretera;172+100;CA
14;TUN-MAGDIF-A30-SC;TUN-MAGDIF-A30-SC;TUN-MAGDIF-A30-SC;Carretera Tunel;Carretera;172+100;CA
15;TUN-MAGDIF-A31-SM;TUN-MAGDIF-A31-SM;TUN-MAGDIF-A31-SM;Carretera Tunel;Carretera;172+100;CA
16;TUN-MAGDIF-A32-SM;TUN-MAGDIF-A32-SM;TUN-MAGDIF-A32-SM;Carretera Tunel;Carretera;172+100;CA
17;TUN-MAG-CSA-RED;TUN-MAG-CSA-RED;TUN-MAG-CSA-RED;Carretera Tunel;Carretera;172+100;CA
18;TUN-INT-CSA-RED;TUN-INT-CSA-RED;TUN-INT-CSA-RED;Carretera Tunel;Carretera;172+100;CA
19;TUN-MAGDIF-A3-SC;TUN-MAGDIF-A3-SC;TUN-MAGDIF-A3-SC;Carretera Tunel;Carretera;172+100;CA
20;TUN-MAGDIF-A5-SC;TUN-MAGDIF-A5-SC;TUN-MAGDIF-A5-SC;Carretera Tunel;Carretera;172+100;CA
21;TUN-MAGDIF-A4-SC;TUN-MAGDIF-A4-SC;TUN-MAGDIF-A4-SC;Carretera Tunel;Carretera;172+100;CA
22;TUN-MAGDIF-A6-SC;TUN-MAGDIF-A6-SC;TUN-MAGDIF-A6-SC;Carretera Tunel;Carretera;172+100;CA
23;TUN-MAGDIF-A13-SM;TUN-MAGDIF-A13-SM;TUN-MAGDIF-A13-SM;Carretera Tunel;Carretera;172+100;CA
24;TUN-MAGDIF-A23-SM;TUN-MAGDIF-A23-SM;TUN-MAGDIF-A23-SM;Carretera Tunel;Carretera;172+100;CA
25;TUN-MAGDIF-A12-SM;TUN-MAGDIF-A12-SM;TUN-MAGDIF-A12-SM;Carretera Tunel;Carretera;172+100;CA
26;TUN-MAGDIF-A22-SM;TUN-MAGDIF-A22-SM;TUN-MAGDIF-A22-SM;Carretera Tunel;Carretera;172+100;CA
27;TUN-MAGDIF-A33-SM;TUN-MAGDIF-A33-SM;TUN-MAGDIF-A33-SM;Carretera Tunel;Carretera;172+100;CA
28;TUN-MAGDIF-A34-SM;TUN-MAGDIF-A34-SM;TUN-MAGDIF-A34-SM;Carretera Tunel;Carretera;172+100;CA
29;TUN-MAGDIF-A35-SM;TUN-MAGDIF-A35-SM;TUN-MAGDIF-A35-SM;Carretera Tunel;Carretera;172+100;CA
30;TUN-MAGDIF-A36-SM;TUN-MAGDIF-A36-SM;TUN-MAGDIF-A36-SM;Carretera Tunel;Carretera;172+100;CA
31;TUN-MAG-CGBT;TUN-MAG-CGBT;TUN-MAG-CGBT;Carretera Tunel;Carretera;172+100;CA
32;TUN-INT-CGBT-CSA-RED;TUN-INT-CGBT-CSA-RED;TUN-INT-CGBT-CSA-RED;Carretera Tunel;Carretera;172+100;CA
