item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido;param1_brand;param2_model
1;3;RV-MET-1MA;RV-MET-1MA;RV-MET-1MA;AP7 - AUSOL I;RV-TUNEL;177+339;MA;WS600-UMB;WS600-UMB
2;3;MM-MET-1MA;MM-MET-1MA;MM-MET-1MA;AP7 - AUSOL I;MM-TUNEL;166+087;MA;WS600-UMB;WS600-UMB
3;3;CH-MET-1MA;CH-MET-1MA;CH-MET-1MA;AP7 - AUSOL I;CH-TUNEL;199+836;MA;WS600-UMB;WS600-UMB
4;3;LQ-MET-1MA;LQ-MET-1MA;LQ-MET-1MA;AP7 - AUSOL I;LQ-TUNEL;173+900;MA;WS600-UMB;WS600-UMB
5;3;COR-MET-1MA;COR-MET-1MA;COR-MET-1MA;AP7 - AUSOL I;COR-TUNEL;173+900;MA;WS600-UMB;WS600-UMB
6;3;NG-MET-1MA;NG-MET-1MA;NG-MET-1MA;AP7 - AUSOL I;NG-TUNEL;180+215;MA;WS600-UMB;WS600-UMB
7;3;STM2-MET-1MA;STM2-MET-1MA;STM2-MET-1MA;AP7 - AUSOL II;STMII-TUNEL;150+818;MA;WS600-UMB;WS600-UMB
8;3;CAS-MET-1CA;CAS-MET-1CA;CAS-MET-1CA;AP7 - AUSOL II;CAS-TUNEL;151+953;CA;WS600-UMB;WS600-UMB
