item;alias;sessionuid;road;stretchs;secc;pk;sentido;on_change_measure;param1_brand;param2_model
1;3DDH03L-30+245;3DDH03L;R7;R7_4:Šamorín-Holice;;30+245;L;EtdParamsAdapterTFA3D.groovy;DEOBAN;TFA_3D
2;3DDH02P-26+416;3DDH02P;R7;R7_4:Šamorín-Holice;;26+416;P;EtdParamsAdapterTFA3D.groovy;DEOBAN;TFA_3D
3;3DDH01P-15+847;3DDH01P;R7;R7_3:Dunajská Lužná-Šamorín;;15+847;P;EtdParamsAdapterTFA3D.groovy;DEOBAN;TFA_3D
4;3DDH01L-15+847;3DDH01L;R7;R7_3:Dunajská Lužná-Šamorín;;15+847;L;EtdParamsAdapterTFA3D.groovy;DEOBAN;TFA_3D
5;3DKD01P-21+225;3DKD01P;R7;R7_2:Ketelec-Dunajská Lužná;;21+225;P;EtdParamsAdapterTFA3D.groovy;DEOBAN;TFA_3D
6;3DKD01L-21+225;3DKD01L;R7;R7_2:Ketelec-Dunajská Lužná;;21+225;L;EtdParamsAdapterTFA3D.groovy;DEOBAN;TFA_3D
7;3DJS03P-10+33;3DJS03P;D4;D4_3:Ketelec-Rovinca;;10+33;P;EtdParamsAdapterTFA3D.groovy;DEOBAN;TFA_3D
8;3DJS04L-11+708;3DJS04L;D4;D4_3:Ketelec-Rovinca;;11+708;L;EtdParamsAdapterTFA3D.groovy;DEOBAN;TFA_3D
9;3DJS04PP-14+264;3DJS04PP;D4;D4_4:Rovinka-Pod.Biskupice;;14+264;P;EtdParamsAdapterTFA3D.groovy;DEOBAN;TFA_3D
10;3DJS04PL-14+264;3DJS04PL;D4;D4_4:Rovinka-Pod.Biskupice;;14+264;L;EtdParamsAdapterTFA3D.groovy;DEOBAN;TFA_3D
11;3DJS05P-17+94;3DJS05P;D4;D4_5:Pod.Biskupice-Ivanka západ;;17+940;P;EtdParamsAdapterTFA3D.groovy;DEOBAN;TFA_3D
12;3DJS05L-17+94;3DJS05L;D4;D4_5:Pod.Biskupice-Ivanka západ;;17+940;L;EtdParamsAdapterTFA3D.groovy;DEOBAN;TFA_3D
13;3DJS01P-2+849;3DJS01P;D4;D4_1:Jarovce-Rusovce;;2+849;P;EtdParamsAdapterTFA3D.groovy;DEOBAN;TFA_3D
14;3DJS01L-2+849;3DJS01L;D4;D4_1:Jarovce-Rusovce;;2+849;L;EtdParamsAdapterTFA3D.groovy;DEOBAN;TFA_3D
15;3DJS02P-7+992;3DJS02P;D4;D4_2:Rusovce-Ketelec;;7+992;P;EtdParamsAdapterTFA3D.groovy;DEOBAN;TFA_3D
16;3DJS02L-7+992;3DJS02L;D4;D4_2:Rusovce-Ketelec;;7+992;L;EtdParamsAdapterTFA3D.groovy;DEOBAN;TFA_3D
17;3DSR01P-28+48;3DSR01P;D4;D4_8:Cierna voda-Raca;;28+480;P;EtdParamsAdapterTFA3D.groovy;DEOBAN;TFA_3D
18;3DSR01L-28+48;3DSR01L;D4;D4_8:Cierna voda-Raca;;28+480;L;EtdParamsAdapterTFA3D.groovy;DEOBAN;TFA_3D
19;3DPK01P-3+473;3DPK01P;R7;R7_1:Prievoz-Ketelec;;3+473;P;EtdParamsAdapterTFA3D.groovy;DEOBAN;TFA_3D
20;3DPK01L-3+473;3DPK01L;R7;R7_1:Prievoz-Ketelec;;3+473;L;EtdParamsAdapterTFA3D.groovy;DEOBAN;TFA_3D
