device_name;session_uid;det_name;line_index;line;url_panels;url_alarms;url_traffic_data;time_polling_plc_ms;url_publisher;num_polling_out_comm
3DJS01L;3DJS01L;DET02-L-3DJS01L;1;1;http:\/\/10.191.8.4:8260\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.8.4:8260\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=91;1000;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;2
3DJS01L;3DJS01L;DET03-L-3DJS01L;2;2;http:\/\/10.191.8.4:8260\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.8.4:8260\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=91;1000;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;2
3DJS02P;3DJS02P;DET02-P-3DJS02P;1;1;http:\/\/10.191.10.19:8250\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.10.19:8250\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=100;1000;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;2
3DJS02P;3DJS02P;DET03-P-3DJS02P;2;2;http:\/\/10.191.10.19:8250\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.10.19:8250\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=100;1000;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;2
3DJS02L;3DJS02L;DET02-L-3DJS02P;1;1;http:\/\/10.191.10.19:8260\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.10.19:8260\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=101;1000;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;2
3DJS02L;3DJS02L;DET03-L-3DJS02P;2;2;http:\/\/10.191.10.19:8260\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.10.19:8260\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=101;1000;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;2
3DJS02L;3DJS02L;DET04-L-3DJS02P;3;3;http:\/\/10.191.10.19:8250\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.10.19:8250\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=101;1000;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;2
3DSR01P;3DSR01P;DET02-P-3DSR01P;1;1;http:\/\/10.191.17.32:8250\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.17.32:8250\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=110;1000;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;2
3DSR01P;3DSR01P;DET03-P-3DSR01P;2;2;http:\/\/10.191.17.32:8250\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.17.32:8250\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=110;1000;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;2
3DSR01L;3DSR01L;DET02-L-3DSR01P;1;1;http:\/\/10.191.17.32:8260\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.17.32:8260\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=111;1000;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;2
3DSR01L;3DSR01L;DET03-L-3DSR01P;2;2;http:\/\/10.191.17.32:8260\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.17.32:8260\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=111;1000;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;2
3DPK01P;3DPK01P;DET02-P-3DPK01L;1;1;http:\/\/10.191.20.3:8250\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.20.3:8250\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=120;1000;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;2
3DPK01P;3DPK01P;DET03-P-3DPK01L;2;2;http:\/\/10.191.20.3:8250\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.20.3:8250\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=120;1000;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;2
3DPK01P;3DPK01P;DET04-P-3DPK01L;3;3;http:\/\/10.191.20.3:8250\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.20.3:8250\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=120;1000;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;2
3DPK01L;3DPK01L;DET02-L-3DPK01L;1;1;http:\/\/10.191.20.3:8260\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.20.3:8260\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=121;1000;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;2
3DPK01L;3DPK01L;DET03-L-3DPK01L;2;2;http:\/\/10.191.20.3:8260\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.20.3:8260\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=121;1000;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;2
3DPK01L;3DPK01L;DET04-L-3DPK01L;3;3;http:\/\/10.191.20.3:8260\/monitoring\/rpc\/panels\/activatePanels.lp;http:\/\/10.191.20.3:8260\/monitoring\/rpc\/alarms\/getAlarms.lp;http:\/\/10.120.50.23:8095\/transactionsHub\/getTransitsStats?gantryId=121;1000;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;2
