device_name;PLC_name;PLC_ip;PLC_port(i);door_open(i);time_polling_plc_ms(i);time_polling_meteo_ms(i);num_polling_out_comm(i);read_permission;write_permission
KDJS28L;PLCRKDJS28LI;172.17.211.5;502;0;10000;600000;2;monitor;
KDJS29L;PLCRKDJS29LI;172.17.211.6;502;0;10000;600000;2;monitor;
KDJS31L;PLCRKDJS31LI;172.17.211.7;502;0;10000;600000;2;monitor;
KDJS33L;PLCRKDJS33LI;172.17.212.2;502;0;10000;600000;2;monitor;
KDJS36L;PLCRKDJS36LM;172.17.212.5;502;0;10000;600000;2;monitor;
KDJS37L;PLCRKDJS37LM;172.17.212.6;502;0;10000;600000;2;monitor;
KDJS39L;PLCRKDJS39LI;172.17.213.2;502;0;10000;600000;2;monitor;
KDJS41L;PLCRKDJS41LI;172.17.213.4;502;0;10000;600000;2;monitor;
KDKD01L;PLCRKDKD01LI;172.17.207.5;502;0;10000;600000;2;monitor;
KDKD03L;PLCRKDKD03LM;172.17.207.7;502;0;10000;600000;2;monitor;
KDKD04L;PLCRKDKD04LM;172.17.207.8;502;0;10000;600000;2;monitor;
KDKD05L;PLCRKDKD05LM;172.17.207.9;502;0;10000;600000;2;monitor;
KDKD06L;PLCRKDKD06LM;172.17.207.10;502;0;10000;600000;2;monitor;
KDKD16L;PLCRKDKD16L;172.17.207.11;502;0;10000;600000;2;monitor;
KDKD07L;PLCRKDKD07LM;172.17.207.12;502;0;10000;600000;2;monitor;
KDKD08L;PLCRKDKD08LM;172.17.201.1;502;0;10000;600000;2;monitor;
KDKD09L;PLCRKDKD09LM;172.17.201.2;502;0;10000;600000;2;monitor;
KDKD10L;PLCRKDKD10LM;172.17.201.3;502;0;10000;600000;2;monitor;
KDKD11L;PLCRKDKD11LM;172.17.201.4;502;0;10000;600000;2;monitor;
KDKD12L;PLCRKDKD12LM;172.17.202.1;502;0;10000;600000;2;monitor;
KDKD17L;PLCRKDKD17LM;172.17.202.2;502;0;10000;600000;2;monitor;
KDKD14L;PLCRKDKD14LM;172.17.202.4;502;0;10000;600000;2;monitor;
KDKD15L;PLCRKDKD15LI;172.17.202.5;502;0;10000;600000;2;monitor;
KDDH01L;PLCRKDDH01LM;172.17.202.6;502;0;10000;600000;2;monitor;
KDDH02L;PLCRKDDH02LM;172.17.202.7;502;0;10000;600000;2;monitor;
KDDH03L;PLCRKDDH03LM;172.17.203.1;502;0;10000;600000;2;monitor;
KDDH04L;PLCRKDDH04LM;172.17.203.2;502;0;10000;600000;2;monitor;
KDDH27L;PLCRKDDH027LM;172.17.203.3;502;0;10000;600000;2;monitor;
KDDH05L;PLCRKDDH05LM;172.17.203.4;502;0;10000;600000;2;monitor;
KDDH06L;PLCRKDDH06LM;172.17.203.5;502;0;10000;600000;2;monitor;
KDDH07L;PLCRKDDH07PI;172.17.203.6;502;0;10000;600000;2;monitor;
KDDH08L;PLCRKDDH08LM;172.17.203.7;502;0;10000;600000;2;monitor;
KDDH09L;PLCRKDDH09LI;172.17.203.8;502;0;10000;600000;2;monitor;
KDDH10L;PLCRKDDH10LM;172.17.203.9;502;0;10000;600000;2;monitor;
KDDH11L;PLCRKDDH11L;172.17.203.10;502;0;10000;600000;2;monitor;
KDDH12L;PLCRKDDH12L;172.17.204.1;502;0;10000;600000;2;monitor;
KDDH28L;PLCRKDDH28L;172.17.204.2;502;0;10000;600000;2;monitor;
KDDH13L;PLCRKDDH13LM;172.17.204.3;502;0;10000;600000;2;monitor;
KDDH14L;PLCRKDDH14LM;172.17.204.4;502;0;10000;600000;2;monitor;
KDDH15L;PLCRKDDH15LM;172.17.204.5;502;0;10000;600000;2;monitor;
KDDH16L;PLCRKDDH16LM;172.17.204.6;502;0;10000;600000;2;monitor;
KDDH17L;PLCRKDDH17LM;172.17.204.7;502;0;10000;600000;2;monitor;
KDDH29L;PLCRKDDH29L;172.17.204.8;502;0;10000;600000;2;monitor;
KDDH18L;PLCRKDDH18LM;172.17.204.9;502;0;10000;600000;2;monitor;
KDDH19L;PLCRKDDH19LM;172.17.205.1;502;0;10000;600000;2;monitor;
KDDH20L;PLCRKDDH20LM;172.17.205.2;502;0;10000;600000;2;monitor;
KDDH21L;PLCRKDDH21L;172.17.205.3;502;0;10000;600000;2;monitor;
KDDH34L;PLCRKDDH34LI;172.17.206.1;502;0;10000;600000;2;monitor;
KDDH35L;PLCRKDDH35LI;172.17.206.2;502;0;10000;600000;2;monitor;
KDDH36L;PLCRKDDH36LI;172.17.206.3;502;0;10000;600000;2;monitor;
KDDH37L;PLCRKDDH37LI;172.17.206.4;502;0;10000;600000;2;monitor;
KDDH22L;PLCRKDDH22LM;172.17.206.5;502;0;10000;600000;2;monitor;
KDDH23L;PLCRKDDH23LM;172.17.206.6;502;0;10000;600000;2;monitor;
KDDH30L;PLCRKDDH30LM;172.17.207.1;502;0;10000;600000;2;monitor;
KDDH24L;PLCRKDDH24LM;172.17.207.2;502;0;10000;600000;2;monitor;
KDDH26L;PLCRKDDH26LI;172.17.207.4;502;0;10000;600000;2;monitor;
KDJS61L;PLCRKDJS61LM;172.17.216.7;502;0;10000;600000;2;monitor;
KDJS65L;PLCRKDJS65LI;172.17.216.11;502;0;10000;600000;2;monitor;
KDJS02L;PLCRKDJS02LI;172.17.210.22;502;0;10000;600000;2;monitor;
KDJS05L;PLCRKDJS05LI;172.17.208.2;502;0;10000;600000;2;monitor;
KDJS06L;PLCRKDJS06LI;172.17.208.3;502;0;10000;600000;2;monitor;
KDJS07L;PLCRKDJS07LM;172.17.208.4;502;0;10000;600000;2;monitor;
KDJS09L;PLCRKDJS09LI;172.17.209.1;502;0;10000;600000;2;monitor;
KDJS23L;PLCRKDJS23LI;172.17.210.24;502;0;10000;600000;2;monitor;
KDSR02L;PLCKDSR02L;172.17.216.15;502;0;10000;600000;2;monitor;
KDSR10L;PLCRKDSR10LI;172.17.218.1;502;0;10000;600000;2;monitor;
KDSR11L;PLCRKDSR11LI;172.17.218.2;502;0;10000;600000;2;monitor;
KDSR12L;PLCRKDSR12LI;172.17.218.3;502;0;10000;600000;2;monitor;
KDSR13L;PLCRKDSR13LI;172.17.218.4;502;0;10000;600000;2;monitor;
KDSR14L;PLCRKDSR14LI;172.17.218.5;502;0;10000;600000;2;monitor;
KDPK01L;PLCRKDPK01LM;172.17.219.1;502;0;10000;600000;2;monitor;
KDPK02L;PLCRKDPK02LI;172.17.219.2;502;0;10000;600000;2;monitor;
KDPK03L;PLCRKDPK03LI;172.17.219.3;502;0;10000;600000;2;monitor;
KDPK04L;PLCRKDPK04LM;172.17.219.4;502;0;10000;600000;2;monitor;
KDPK05L;PLCRKDPK05LM;172.17.219.6;502;0;10000;600000;2;monitor;
KDPK06L;PLCRKDPK06LM;172.17.219.7;502;0;10000;600000;2;monitor;
KDPK07L;PLCRKDPK07LM;172.17.219.8;502;0;10000;600000;2;monitor;
KDPK08L;PLCRKDPK08LM;172.17.219.9;502;0;10000;600000;2;monitor;
KDPK09L;PLCRKDPK09LM;172.17.219.10;502;0;10000;600000;2;monitor;
KDPK15L;PLCRKDPK15LM;172.17.219.11;502;0;10000;600000;2;monitor;
KDPK10L;PLCRKDPK10LM;172.17.220.1;502;0;10000;600000;2;monitor;
KDPK11L;PLCRKDPK11LM;172.17.220.2;502;0;10000;600000;2;monitor;
KDPK12L;PLCRKDPK12LM;172.17.220.3;502;0;10000;600000;2;monitor;
KDPK13L;PLCRKDPK13LM;172.17.220.4;502;0;10000;600000;2;monitor;
