device_name;session_uid;url_publisher;PLC_ip;PLC_name;port(i);read_permission;write_permission;door_open_offset(i);power_supply_offset(i);ups_batery_low_offset(i);ups_on_batery_offset(i);ups_any_alarm_offset(i);ups_on_bypass_offset(i);airconditioning_on_offset(i);airconditioning_alarm_offset(i)
SCNJS.1;SCNJS.1;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.8.40;PLCSCNJS.1;502;monitor;;0;1;2;3;4;5;6;7
SCNJS.2;SCNJS.2;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.9.46;PLCSCNJS.2;502;monitor;;0;1;2;3;4;5;6;7
SCNKD.1;SCNKD.1;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.11.50;PLCSCNKD.1;502;monitor;;0;1;2;3;4;5;6;7
SCNJS.3;SCNJS.3;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.11.52;PLCSCNJS.3;502;monitor;;0;1;2;3;4;5;6;7
SCNKD.2;SCNKD.2;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.1.14;PLCSCNKD.2;502;monitor;;0;1;2;3;4;5;6;7
SCNKD.3;SCNKD.3;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.2.24;PLCSCNKD.3;502;monitor;;0;1;2;3;4;5;6;7
SCNJS.4;SCNJS.4;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.12.33;PLCSCNJS.4;502;monitor;;0;1;2;3;4;5;6;7
SCNJS.5;SCNJS.5;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;172.17.213.7;PLCSCNJS.5;502;monitor;;0;1;2;3;4;5;6;7
SCNJS.6;SCNJS.6;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;172.17.214.10;PLCSCNJS.6;502;monitor;;0;1;2;3;4;5;6;7
SCNJS.7;SCNJS.7;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.16.39;PLCSCNJS.7;502;monitor;;0;1;2;3;4;5;6;7
SCNSR.1;SCNSR.1;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.17.54;PLCSCNSR.1;502;monitor;;0;1;2;3;4;5;6;7
SCNSR.2;SCNSR.2;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.17.50;PLCSCNSR.2;502;monitor;;0;1;2;3;4;5;6;7
SCNSR.3;SCNSR.3;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.17.59;PLCSCNSR.3;502;monitor;;0;1;2;3;4;5;6;7
SCNMP.1;SCNMP.1;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.20.47;PLCSCNMP.1;502;monitor;;0;1;2;3;4;5;6;7
SCNPK.1;SCNPK.1;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.19.34;PLCSCNPK.1;502;monitor;;0;1;2;3;4;5;6;7
SCNPK.2;SCNPK.2;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.120.30.20;PLCSCNPK.2;502;monitor;;0;1;2;3;4;5;6;7
