device_name;session_uid;site;carril;det_name;host;port;url_publisher
ASDJS07;ASDJS07;1005;3;DET03-ASDJS13L;10.120.50.24;1433;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/
ASDJS07;ASDJS07;1005;4;DET04-ASDJS14L;10.120.50.24;1433;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/
ASDJS07;ASDJS07;1005;5;DET05-ASDJS14L;10.120.50.24;1433;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/
ASDJS01P;ASDJS01P;1006;1;DET01-ASDJS01P;10.120.50.24;1433;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/
ASDJS01P;ASDJS01P;1006;2;DET02-ASDJS01P;10.120.50.24;1433;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/
ASDJS01P;ASDJS01P;1006;3;DET03-ASDJS02L;10.120.50.24;1433;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/
ASDJS01P;ASDJS01P;1006;4;DET04-ASDJS02L;10.120.50.24;1433;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/
ASDJS02P;ASDJS02P;1007;1;DET01-ASDJS03P;10.120.50.24;1433;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/
ASDJS02P;ASDJS02P;1007;2;DET02-ASDJS03P;10.120.50.24;1433;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/
ASDJS02P;ASDJS02P;1007;3;DET03-ASDJS04L;10.120.50.24;1433;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/
ASDJS02P;ASDJS02P;1007;4;DET04-ASDJS04L;10.120.50.24;1433;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/
ASDSR01P;ASDSR01P;2001;1;DET01-ASDSR01P;10.120.50.24;1433;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/
ASDSR01P;ASDSR01P;2001;2;DET02-ASDSR01P;10.120.50.24;1433;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/
ASDSR01P;ASDSR01P;2001;3;DET03-ASDSR01P;10.120.50.24;1433;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/
ASDSR01P;ASDSR01P;2001;4;DET04-ASDSR02L;10.120.50.24;1433;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/
ASDSR01P;ASDSR01P;2001;5;DET05-ASDSR02L;10.120.50.24;1433;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/
ASDSR01P;ASDSR01P;2001;6;DET06-ASDSR02L;10.120.50.24;1433;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/
ASDSR02P;ASDSR02P;2002;1;DET01-ASDSR03P;10.120.50.24;1433;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/
ASDSR02P;ASDSR02P;2002;2;DET02-ASDSR03P;10.120.50.24;1433;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/
ASDSR02P;ASDSR02P;2002;3;DET03-ASDSR04L;10.120.50.24;1433;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/
ASDSR02P;ASDSR02P;2002;4;DET04-ASDSR04L;10.120.50.24;1433;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/
ASDPK01L;ASDPK01L;3001;1;DET01-ASDPK01P;10.120.50.24;1433;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/
ASDPK01L;ASDPK01L;3001;2;DET02-ASDPK01P;10.120.50.24;1433;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/
ASDPK01L;ASDPK01L;3001;3;DET03-ASDPK01P;10.120.50.24;1433;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/
ASDPK01L;ASDPK01L;3001;4;DET04-ASDPK01L;10.120.50.24;1433;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/
ASDPK01L;ASDPK01L;3001;5;DET05-ASDPK01L;10.120.50.24;1433;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/
ASDPK02L;ASDPK02L;3002;1;DET01-ASDPK02P;10.120.50.24;1433;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/
ASDPK02L;ASDPK02L;3002;2;DET02-ASDPK02P;10.120.50.24;1433;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/
ASDPK02L;ASDPK02L;3002;3;DET03-ASDPK02P;10.120.50.24;1433;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/
ASDPK02L;ASDPK02L;3002;4;DET04-ASDPK02L;10.120.50.24;1433;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/
ASDPK02L;ASDPK02L;3002;5;DET05-ASDPK02L;10.120.50.24;1433;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/
ASDPK02L;ASDPK02L;3002;6;DET06-ASDPK02L;10.120.50.24;1433;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/
