device_name;session_uid;url_publisher;PLC_name;PLC_ip;port(i);read_permission;write_permission;door_open_offset(i);surge_protection_offset(i);trafostation_door_open_offset(i);low_potencial_offset(i);insulation_losses_1_offset(i);insulation_losses_2_offset(i)
RISRKD.1;RISRKD.1;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRISRKD.1;172.17.207.13;502;monitor;;1;0;5;2;3;4
RISRKD.2;RISRKD.2;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRISRKD.2;10.191.1.13;502;monitor;;1;0;5;2;3;4
RISRKD.3;RISRKD.3;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRISRKD.3;10.191.2.23;502;monitor;;1;0;5;2;3;4
RISRDH.0;RISRDH.0;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRISRDH.0;172.17.202.8;502;monitor;;1;0;5;2;3;4
RISRDH.1;RISRDH.1;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRISRDH.1;10.160.11.5;502;monitor;;1;0;5;2;3;4
RISRDH.2;RISRDH.2;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRISRDH.2;172.17.204.10;502;monitor;;1;0;5;2;3;4
RISRDH.3;RISRDH.3;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRISRDH.3;172.17.205.8;502;monitor;;1;0;5;2;3;4
RISRDH.4;RISRDH.4;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRISRDH.4;172.17.206.7;502;monitor;;1;0;5;2;3;4
RISDJS.3;RISDJS.3;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRISDJS.3;172.17.211.9;502;monitor;;1;0;5;2;3;4
RISDJS.4;RISDJS.4;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRISDJS.4;10.191.12.28;502;monitor;;1;0;5;2;3;4
RISDJS.5;RISDJS.5;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRISDJS.5;172.17.213.9;502;monitor;;1;0;5;2;3;4
RISDJS.6;RISDJS.6;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRISDJS.6;172.17.214.8;502;monitor;;1;0;5;2;3;4
RISDJS.7;RISDJS.7;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRISDJS.7;172.17.216.16;502;monitor;;1;0;5;2;3;4
RISDJS.1;RISDJS.1;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRISDJS.1;10.191.8.37;502;monitor;;1;0;5;2;3;4
RISDJS.2;RISDJS.2;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRISDJS.2;10.191.9.45;502;monitor;;1;0;5;2;3;4
RISDSR.1;RISDSR.1;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRISDSR.1;10.191.17.53;502;monitor;;1;0;5;2;3;4
RISDSR.2;RISDSR.2;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRISDSR.2;10.191.17.48;502;monitor;;1;0;5;2;3;4
RISDSR.3;RISDSR.3;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRISDSR.3;10.191.17.57;502;monitor;;1;0;5;2;3;4
RISRMP.1;RISRMP.1;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRISRMP.1;10.191.20.47;502;monitor;;1;0;5;2;3;4
RISRPK.1;RISRPK.1;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRISRPK.1;172.17.219.13;502;monitor;;1;0;5;2;3;4
RISRPK.2;RISRPK.2;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRISRPK.2;172.17.220.8;502;monitor;;1;0;5;2;3;4
