device_name;session_uid;PLC_name;det_name;det_order;host;url_publisher;port(i);read_permission;write_permission;num_polling_out_comm;time_polling_ms
_SCJS04P;_SCJS04P;PLCSCJS04P;DET01-ADPJS22P;1;10.191.11.4;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_SCJS04P;_SCJS04P;PLCSCJS04P;DET02-ADPJS22P;2;10.191.11.4;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_SCJS04P;_SCJS04P;PLCSCJS04P;DET03-ADPJS22P;3;10.191.11.4;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_SCJS04P;_SCJS04P;PLCSCJS04P;DET04-ADPJS22P;4;10.191.11.4;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_SCJS04P;_SCJS04P;PLCSCJS04P;DET05-ADPJS23L;5;10.191.11.4;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_SCJS04P;_SCJS04P;PLCSCJS04P;DET06-ADPJS23L;6;10.191.11.4;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_SCJS04P;_SCJS04P;PLCSCJS04P;DET07-ADPJS21L;7;10.191.11.4;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_SCJS04P;_SCJS04P;PLCSCJS04P;DET08-ADPJS21L;8;10.191.11.4;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRJS22P;_RNRJS22P;PLCRNRJS22P;DET01-ADPJS24P;1;10.191.11.8;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRJS22P;_RNRJS22P;PLCRNRJS22P;DET02-ADPJS24P;2;10.191.11.8;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRJS23P;_RNRJS23P;PLCRNRJS23P;DET01-ADPJS25L;1;10.191.11.20;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRJS23P;_RNRJS23P;PLCRNRJS23P;DET02-ADPJS25L;2;10.191.11.20;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRJS23P;_RNRJS23P;PLCRNRJS23P;DET03-ADPJS25L;3;10.191.11.20;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRJS24P;_RNRJS24P;PLCRNRJS24P;DET01-ADPJS26P;1;10.191.11.37;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRJS24P;_RNRJS24P;PLCRNRJS24P;DET02-ADPJS26P;2;10.191.11.37;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRJS25P;_RNRJS25P;PLCRNRJS25P;DET01-ADPJS27L;1;10.191.12.2;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRJS25P;_RNRJS25P;PLCRNRJS25P;DET02-ADPJS27L;2;10.191.12.2;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRJS26P;_RNRJS26P;PLCRNRJS26P;DET01-ADPJS28P;1;10.191.12.21;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRJS26P;_RNRJS26P;PLCRNRJS26P;DET02-ADPJS28P;2;10.191.12.21;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRJS27L;_RNRJS27L;PLCRNRJS27L;DET01-ADPJS29L;1;10.191.12.24;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRJS27L;_RNRJS27L;PLCRNRJS27L;DET02-ADPJS29L;2;10.191.12.24;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRJS28P;_RNRJS28P;PLCRNRJS28P;DET01-ADPJS30P;1;10.191.13.2;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRJS28P;_RNRJS28P;PLCRNRJS28P;DET02-ADPJS30P;2;10.191.13.2;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRJS28P;_RNRJS28P;PLCRNRJS28P;DET03-ADPJS30P;3;10.191.13.2;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRJS28P;_RNRJS28P;PLCRNRJS28P;DET04-ADPJS30P;4;10.191.13.2;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRJS28P;_RNRJS28P;PLCRNRJS28P;DET05-ADPJS31L;5;10.191.13.2;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRJS28P;_RNRJS28P;PLCRNRJS28P;DET06-ADPJS31L;6;10.191.13.2;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRJS28P;_RNRJS28P;PLCRNRJS28P;DET07-ADPJS31L;7;10.191.13.2;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRJS28P;_RNRJS28P;PLCRNRJS28P;DET08-ADPJS31L;8;10.191.13.2;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRJS29P;_RNRJS29P;PLCRNRJS29P;DET01-ADPJS33P;1;10.191.13.5;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRJS29P;_RNRJS29P;PLCRNRJS29P;DET02-ADPJS33P;2;10.191.13.5;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRJS29P;_RNRJS29P;PLCRNRJS29P;DET03-ADPJS33P;3;10.191.13.5;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRJS29P;_RNRJS29P;PLCRNRJS29P;DET04-ADPJS33P;4;10.191.13.5;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;502;monitor;;2;60000
