device_name;session_uid;url_publisher;PLC_ip;PLC_name;port(i);read_permission;write_permission;door_open_offset(i);power_supply_offset(i);batery_low_offset(i);overload_ups_offset(i)
RASDKD01P;RASDKD01P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.7.27;PLCRASDKD01P;502;monitor;;0;1;2;3
RASDDH01P;RASDDH01P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.2.19;PLCRASDDH01P;502;monitor;;0;1;2;3
RASDDH02P;RASDDH02P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.6.13;PLCRASDDH02P;502;monitor;;0;1;2;3
RASDJS03P;RASDJS03P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.11.10;PLCRASDJS03P;502;monitor;;0;1;2;3
RASDJS04P;RASDJS04P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.13.11;PLCRASDJS04P;502;monitor;;0;1;2;3
RASDJS05P;RASDJS05P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.15.18;PLCRASDJS05P;502;monitor;;0;1;2;3
RASDJS06P;RASDJS06P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.16.10;PLCRASDJS06P;502;monitor;;0;1;2;3
RASDJS07L;RASDJS07L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.16.18;PLCRASDJS07L;502;monitor;;0;1;2;3
RASDJS01P;RASDJS01P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.8.24;PLCRASDJS01P;502;monitor;;0;1;2;3
RASDJS02P;RASDJS02P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.10.15;PLCRASDJS02P;502;monitor;;0;1;2;3
RASDSR01P;RASDSR01P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.17.10;PLCRASDSR01P;502;monitor;;0;1;2;3
RASDSR02P;RASDSR02P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.17.26;PLCRASDSR02P;502;monitor;;0;1;2;3
RASDPK01L;RASDPK01L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.19.16;PLCRASDPK01L;502;monitor;;0;1;2;3
RASDPK02L;RASDPK02L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;10.191.20.19;PLCRASDPK02L;502;monitor;;0;1;2;3
