device_name;session_uid;url_publisher;PLC_name;PLC_ip;port(i);read_permission;write_permission;door_open(i);power_supply_offset(i);batery_low_offset(i)
RAIDJSKD01;RAIDJSKD01;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD01;10.191.9.28;502;monitor;;0;1;2
RAIDJSKD02;RAIDJSKD02;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD02;10.191.9.29;502;monitor;;0;1;2
RAIDJSKD03;RAIDJSKD03;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD03;10.191.9.30;502;monitor;;0;1;2
RAIDJSKD04;RAIDJSKD04;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD04;10.191.9.31;502;monitor;;0;1;2
RAIDJSKD05;RAIDJSKD05;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD05;10.191.9.32;502;monitor;;0;1;2
RAIDJSKD06;RAIDJSKD06;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD06;10.191.9.33;502;monitor;;0;1;2
RAIDJSKD07;RAIDJSKD07;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD07;10.191.9.34;502;monitor;;0;1;2
RAIDJSKD08;RAIDJSKD08;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD08;10.191.9.35;502;monitor;;0;1;2
RAIDJSKD09;RAIDJSKD09;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD09;10.191.9.36;502;monitor;;0;1;2
RAIDJSKD10;RAIDJSKD10;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD10;10.191.9.37;502;monitor;;0;1;2
RAIDJSKD11;RAIDJSKD11;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD11;10.191.9.38;502;monitor;;0;1;2
RAIDJSKD12;RAIDJSKD12;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD12;10.191.9.39;502;monitor;;0;1;2
RAIDJSKD13;RAIDJSKD13;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD13;10.191.9.40;502;monitor;;0;1;2
RAIDJSKD14;RAIDJSKD14;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD14;10.191.9.41;502;monitor;;0;1;2
RAIDJSKD15;RAIDJSKD15;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD15;10.191.9.42;502;monitor;;0;1;2
RAIDJSKD16;RAIDJSKD16;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD16;10.191.9.43;502;monitor;;0;1;2
RAIDJSKD17;RAIDJSKD17;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD17;10.191.10.83;502;monitor;;0;1;2
RAIDJSKD18;RAIDJSKD18;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD18;10.191.10.84;502;monitor;;0;1;2
RAIDJSKD19;RAIDJSKD19;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD19;10.191.10.85;502;monitor;;0;1;2
RAIDJSKD20;RAIDJSKD20;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD20;10.191.10.86;502;monitor;;0;1;2
RAIDJSKD21;RAIDJSKD21;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD21;10.191.10.87;502;monitor;;0;1;2
RAIDJSKD22;RAIDJSKD22;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD22;10.191.10.88;502;monitor;;0;1;2
RAIDJSKD23;RAIDJSKD23;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD23;10.191.10.89;502;monitor;;0;1;2
RAIDJSKD24;RAIDJSKD24;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD24;10.191.10.90;502;monitor;;0;1;2
RAIDJSKD25;RAIDJSKD25;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD25;10.191.10.91;502;monitor;;0;1;2
RAIDJSKD26;RAIDJSKD26;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD26;10.191.10.92;502;monitor;;0;1;2
RAIDJSKD27;RAIDJSKD27;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD27;10.191.10.93;502;monitor;;0;1;2
RAIDJSKD28;RAIDJSKD28;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD28;10.191.10.94;502;monitor;;0;1;2
RAIDJSKD29;RAIDJSKD29;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD29;10.191.10.95;502;monitor;;0;1;2
RAIDJSKD30;RAIDJSKD30;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD30;10.191.10.96;502;monitor;;0;1;2
