device_name;session_uid;url_publisher;PLC_name;PLC_ip;port(i);read_permission;write_permission;door_open_offset(i);surge_protection_offset(i)
RNKD.1B;RNKD.1B;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRNRKD02L;10.191.7.19;502;monitor;;5;4
RNKD.2B;RNKD.2B;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRNRKD04L;10.191.7.22;502;monitor;;5;4
RNKD.3B;RNKD.3B;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRNRKD05L;10.191.7.23;502;monitor;;5;4
RNKD.1C;RNKD.1C;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCMDKD01L;10.191.7.26;502;monitor;;5;4
RNKD.3C;RNKD.3C;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRNRKD07L;10.191.7.29;502;monitor;;5;4
RNKD.3D;RNKD.3D;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCMZKD02L;10.191.1.7;502;monitor;;5;4
RNKD.3F;RNKD.3F;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCMDKD03L;10.191.2.16;502;monitor;;5;4
RNDH.2A;RNDH.2A;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCTUDH01L;10.191.3.1;502;monitor;;5;4
RNDH.2B;RNDH.2B;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCMZDH01L;10.191.3.16;502;monitor;;5;4
RNDH.1D;RNDH.1D;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCMZDH02L;10.191.3.20;502;monitor;;5;4
RNDH.2D;RNDH.2D;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRPDZDH02L;10.191.4.3;502;monitor;;5;4
RNDH.1F;RNDH.1F;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCTUDH03L;10.191.5.1;502;monitor;;5;4
RNDH.3F;RNDH.3F;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRPDZDH03L;10.191.5.2;502;monitor;;5;4
RNDH.5F;RNDH.5F;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCTUDH04L;10.191.6.1;502;monitor;;5;4
RNDH.1K;RNDH.1K;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRPDZDH09L;10.191.6.11;502;monitor;;5;4
RNDH.3K;RNDH.3K;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRPDZDH10L;10.191.6.15;502;monitor;;5;4
RNDH.4K;RNDH.4K;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRTUDH05L;10.191.7.1;502;monitor;;5;4
RNJS.2F;RNJS.2F;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRNRJS20P;10.191.11.5;502;monitor;;5;4
RNJS.1G;RNJS.1G;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCR3DJS03P;10.191.11.12;502;monitor;;5;4
RNJS.2G;RNJS.2G;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRPDZJS02P;10.191.11.25;502;monitor;;5;4
RNJS.3G;RNJS.3G;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCMDJS404L;10.191.11.32;502;monitor;;5;4
RNJS.3H;RNJS.3H;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCR3DJS04L;10.191.14.2;502;monitor;;5;4
RNJS.1J;RNJS.1J;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCMZJS496L;10.191.12.27;502;monitor;;5;4
RNJS.2J;RNJS.2J;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCTUJS06P;10.191.13.1;502;monitor;;5;4
RNJS.2K;RNJS.2K;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCMDJS405P;10.191.13.7;502;monitor;;5;4
RNJS.3K;RNJS.3K;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCTUJS07P;10.191.14.1;502;monitor;;5;4
RNJS.4K;RNJS.4K;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCMBOJS04P;10.160.13.2;502;monitor;;5;4
RNJS.6K;RNJS.6K;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRNRJS32P_2;10.191.14.30;502;monitor;;5;4
RNJS.1L;RNJS.1L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRNRJS33P_2;10.191.14.29;502;monitor;;5;4
RNJS.3L;RNJS.3L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCMDJS406P;10.191.14.23;502;monitor;;5;4
RNJS.2M;RNJS.2M;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRTUJS08P;10.191.15.1;502;monitor;;5;4
