alias;command;offset;;;;
CH-VENT-VF2-MA;fan_cmd;8119;;;;
CH-VENT-VF3-MA;fan_cmd;8120;;;;
CH-VENT-VF4-MA;fan_cmd;8121;;;;
CH-VENT-VF5-MA;fan_cmd;8122;;;;
CH-VENT-VF6-MA;fan_cmd;8123;;;;
CH-VENT-VF7-MA;fan_cmd;8124;;;;
CH-VENT-VF8-MA;fan_cmd;8125;;;;
NG-VENT-VF1-CA;fan_cmd;8126;;;;
NG-VENT-VF2-CA;fan_cmd;8127;;;;
NG-VENT-VF3-CA;fan_cmd;8128;;;;
NG-VENT-VF4-CA;fan_cmd;8129;;;;
NG-VENT-VF5-CA;fan_cmd;8130;;;;
NG-VENT-VF6-CA;fan_cmd;8131;;;;
NG-VENT-VF7-CA;fan_cmd;8132;;;;
NG-VENT-VF8-CA;fan_cmd;8133;;;;
NG-VENT-VF1-MA;fan_cmd;8134;;;;
NG-VENT-VF2-MA;fan_cmd;8135;;;;
NG-VENT-VF3-MA;fan_cmd;8136;;;;
NG-VENT-VF4-MA;fan_cmd;8137;;;;
NG-VENT-VF5-MA;fan_cmd;8138;;;;
NG-VENT-VF6-MA;fan_cmd;8139;;;;
LQ-VENT-VF1-CA;fan_cmd;8140;;;;
LQ-VENT-VF2-CA;fan_cmd;8141;;;;
LQ-VENT-VF3-CA;fan_cmd;8142;;;;
LQ-VENT-VF4-CA;fan_cmd;8143;;;;
LQ-VENT-VF5-CA;fan_cmd;8144;;;;
LQ-VENT-VF6-CA;fan_cmd;8145;;;;
LQ-VENT-VF7-CA;fan_cmd;8146;;;;
LQ-VENT-VF8-CA;fan_cmd;8147;;;;
LQ-VENT-VF9-CA;fan_cmd;8148;;;;
LQ-VENT-VF10-CA;fan_cmd;8149;;;;
LQ-VENT-VF11-CA;fan_cmd;8150;;;;
LQ-VENT-VF12-CA;fan_cmd;8151;;;;
LQ-VENT-VF13-CA;fan_cmd;8152;;;;
LQ-VENT-VF14-CA;fan_cmd;8153;;;;
LQ-VENT-VF15-CA;fan_cmd;8154;;;;
LQ-VENT-VF16-CA;fan_cmd;8155;;;;
LQ-VENT-VF1-MA;fan_cmd;8156;;;;
LQ-VENT-VF2-MA;fan_cmd;8157;;;;
LQ-VENT-VF3-MA;fan_cmd;8158;;;;
LQ-VENT-VF4-MA;fan_cmd;8159;;;;
LQ-VENT-VF5-MA;fan_cmd;8160;;;;
LQ-VENT-VF6-MA;fan_cmd;8161;;;;
LQ-VENT-VF7-MA;fan_cmd;8162;;;;
LQ-VENT-VF8-MA;fan_cmd;8163;;;;
LQ-VENT-VF9-MA;fan_cmd;8164;;;;
LQ-VENT-VF10-MA;fan_cmd;8165;;;;
STM2-VENT-VF1-CA;fan_cmd;8166;;;;
STM2-VENT-VF2-CA;fan_cmd;8167;;;;
STM2-VENT-VF3-CA;fan_cmd;8168;;;;
STM2-VENT-VF4-CA;fan_cmd;8169;;;;
STM2-VENT-VF5-CA;fan_cmd;8170;;;;
STM2-VENT-VF6-CA;fan_cmd;8171;;;;
STM2-VENT-VF1-MA;fan_cmd;8172;;;;
STM2-VENT-VF2-MA;fan_cmd;8173;;;;
STM2-VENT-VF3-MA;fan_cmd;8174;;;;
STM2-VENT-VF4-MA;fan_cmd;8175;;;;
STM2-VENT-VF5-MA;fan_cmd;8176;;;;
