alias;alarm;offset;;;;
CH-BAR-2MA;barrier_no_return;55;;;;
CH-BAR-2MA;barrier_down_no_red_sem;56;;;;
CH-BAR-1CA;barrier_fail_command;57;;;;
CH-BAR-1CA;offset_barrier_down_veh_de;58;;;;
CH-BAR-1CA;barrier_no_return;59;;;;
CH-BAR-1CA;barrier_down_no_red_sem;60;;;;
CH-BAR-2CA;barrier_fail_command;61;;;;
CH-BAR-2CA;offset_barrier_down_veh_de;62;;;;
CH-BAR-2CA;barrier_no_return;63;;;;
CH-BAR-2CA;barrier_down_no_red_sem;64;;;;
LQ-BAR-1CA;barrier_fail_command;65;;;;
LQ-BAR-1CA;offset_barrier_down_veh_de;66;;;;
LQ-BAR-1CA;barrier_no_return;67;;;;
LQ-BAR-1CA;barrier_down_no_red_sem;68;;;;
LQ-BAR-2CA;barrier_fail_command;69;;;;
LQ-BAR-2CA;offset_barrier_down_veh_de;70;;;;
LQ-BAR-2CA;barrier_no_return;71;;;;
LQ-BAR-2CA;barrier_down_no_red_sem;72;;;;
LQ-BAR-1MA;barrier_fail_command;73;;;;
LQ-BAR-1MA;offset_barrier_down_veh_de;74;;;;
LQ-BAR-1MA;barrier_no_return;75;;;;
LQ-BAR-1MA;barrier_down_no_red_sem;76;;;;
LQ-BAR-2MA;barrier_fail_command;77;;;;
LQ-BAR-2MA;offset_barrier_down_veh_de;78;;;;
LQ-BAR-2MA;barrier_no_return;79;;;;
LQ-BAR-2MA;barrier_down_no_red_sem;80;;;;
COR-BAR-1CA;barrier_fail_command;81;;;;
COR-BAR-1CA;offset_barrier_down_veh_de;82;;;;
COR-BAR-1CA;barrier_no_return;83;;;;
COR-BAR-1CA;barrier_down_no_red_sem;84;;;;
COR-BAR-2CA;barrier_fail_command;85;;;;
COR-BAR-2CA;offset_barrier_down_veh_de;86;;;;
COR-BAR-2CA;barrier_no_return;87;;;;
COR-BAR-2CA;barrier_down_no_red_sem;88;;;;
COR-BAR-1MA;barrier_fail_command;89;;;;
COR-BAR-1MA;offset_barrier_down_veh_de;90;;;;
COR-BAR-1MA;barrier_no_return;91;;;;
COR-BAR-1MA;barrier_down_no_red_sem;92;;;;
COR-BAR-2MA;barrier_fail_command;93;;;;
COR-BAR-2MA;offset_barrier_down_veh_de;94;;;;
COR-BAR-2MA;barrier_no_return;95;;;;
COR-BAR-2MA;barrier_down_no_red_sem;96;;;;
EST-BAR-1CA;barrier_fail_command;97;;;;
EST-BAR-1CA;offset_barrier_down_veh_de;98;;;;
EST-BAR-1CA;barrier_no_return;99;;;;
EST-BAR-1CA;barrier_down_no_red_sem;100;;;;
EST-BAR-2CA;barrier_fail_command;101;;;;
EST-BAR-2CA;offset_barrier_down_veh_de;102;;;;
EST-BAR-2CA;barrier_no_return;103;;;;
EST-BAR-2CA;barrier_down_no_red_sem;104;;;;
EST-BAR-1MA;barrier_fail_command;105;;;;
EST-BAR-1MA;offset_barrier_down_veh_de;106;;;;
EST-BAR-1MA;barrier_no_return;107;;;;
EST-BAR-1MA;barrier_down_no_red_sem;108;;;;
EST-BAR-2MA;barrier_fail_command;109;;;;
EST-BAR-2MA;offset_barrier_down_veh_de;110;;;;
EST-BAR-2MA;barrier_no_return;111;;;;
EST-BAR-2MA;barrier_down_no_red_sem;112;;;;
NG-BAR-1CA;barrier_fail_command;113;;;;
NG-BAR-1CA;offset_barrier_down_veh_de;114;;;;
NG-BAR-1CA;barrier_no_return;115;;;;
NG-BAR-1CA;barrier_down_no_red_sem;116;;;;
NG-BAR-2CA;barrier_fail_command;117;;;;
NG-BAR-2CA;offset_barrier_down_veh_de;118;;;;
NG-BAR-2CA;barrier_no_return;119;;;;
NG-BAR-2CA;barrier_down_no_red_sem;120;;;;
NG-BAR-1MA;barrier_fail_command;121;;;;
NG-BAR-1MA;offset_barrier_down_veh_de;122;;;;
NG-BAR-1MA;barrier_no_return;123;;;;
NG-BAR-1MA;barrier_down_no_red_sem;124;;;;
NG-BAR-2MA;barrier_fail_command;125;;;;
NG-BAR-2MA;offset_barrier_down_veh_de;126;;;;
NG-BAR-2MA;barrier_no_return;127;;;;
NG-BAR-2MA;barrier_down_no_red_sem;128;;;;
STM2-BAR-1MA;barrier_fail_command;129;;;;
STM2-BAR-1MA;offset_barrier_down_veh_de;130;;;;
STM2-BAR-1MA;barrier_no_return;131;;;;
STM2-BAR-1MA;barrier_down_no_red_sem;132;;;;
STM2-BAR-2MA;barrier_fail_command;133;;;;
STM2-BAR-2MA;offset_barrier_down_veh_de;134;;;;
STM2-BAR-2MA;barrier_no_return;135;;;;
STM2-BAR-2MA;barrier_down_no_red_sem;136;;;;
STM2-BAR-1CA;barrier_fail_command;137;;;;
STM2-BAR-1CA;offset_barrier_down_veh_de;138;;;;
STM2-BAR-1CA;barrier_no_return;139;;;;
STM2-BAR-1CA;barrier_down_no_red_sem;140;;;;
STM2-BAR-2CA;barrier_fail_command;141;;;;
STM2-BAR-2CA;offset_barrier_down_veh_de;142;;;;
STM2-BAR-2CA;barrier_no_return;143;;;;
STM2-BAR-2CA;barrier_down_no_red_sem;144;;;;
CAS-BAR-1MA;barrier_fail_command;145;;;;
CAS-BAR-1MA;offset_barrier_down_veh_de;146;;;;
CAS-BAR-1MA;barrier_no_return;147;;;;
CAS-BAR-1MA;barrier_down_no_red_sem;148;;;;
CAS-BAR-2MA;barrier_fail_command;149;;;;
CAS-BAR-2MA;offset_barrier_down_veh_de;150;;;;
CAS-BAR-2MA;barrier_no_return;151;;;;
CAS-BAR-2MA;barrier_down_no_red_sem;152;;;;
CAS-BAR-1CA;barrier_fail_command;153;;;;
CAS-BAR-1CA;offset_barrier_down_veh_de;154;;;;
CAS-BAR-1CA;barrier_no_return;155;;;;
CAS-BAR-1CA;barrier_down_no_red_sem;156;;;;
CAS-BAR-2CA;barrier_fail_command;157;;;;
CAS-BAR-2CA;offset_barrier_down_veh_de;158;;;;
CAS-BAR-2CA;barrier_no_return;159;;;;
CAS-BAR-2CA;barrier_down_no_red_sem;160;;;;
RESERVED;RESERVED;161;;;;
RESERVED;RESERVED;162;;;;
RESERVED;RESERVED;163;;;;
RESERVED;RESERVED;164;;;;
RESERVED;RESERVED;165;;;;
RESERVED;RESERVED;166;;;;
RESERVED;RESERVED;167;;;;
RESERVED;RESERVED;168;;;;
RESERVED;RESERVED;169;;;;
RV-VENT-VF1-CA;windings_temperature_alarm;170;;;;
RV-VENT-VF1-CA;windings_sensor_alarm;171;;;;
RV-VENT-VF1-CA;fan_switch;172;;;;
RV-VENT-VF1-CA;fan_gear;173;;;;
RV-VENT-VF1-CA;vibration_sensor_alarm;174;;;;
RV-VENT-VF1-CA;front_motor_bearing_sensor_alarm;175;;;;
RV-VENT-VF1-CA;back_motor_bearing_sensor_alarm;176;;;;
RV-VENT-VF2-CA;windings_temperature_alarm;177;;;;
RV-VENT-VF2-CA;windings_sensor_alarm;178;;;;
RV-VENT-VF2-CA;fan_switch;179;;;;
RV-VENT-VF2-CA;fan_gear;180;;;;
RV-VENT-VF2-CA;vibration_sensor_alarm;181;;;;
RV-VENT-VF2-CA;front_motor_bearing_sensor_alarm;182;;;;
RV-VENT-VF2-CA;back_motor_bearing_sensor_alarm;183;;;;
RV-VENT-VF3-CA;windings_temperature_alarm;184;;;;
RV-VENT-VF3-CA;windings_sensor_alarm;185;;;;
RV-VENT-VF3-CA;fan_switch;186;;;;
RV-VENT-VF3-CA;fan_gear;187;;;;
RV-VENT-VF3-CA;vibration_sensor_alarm;188;;;;
RV-VENT-VF3-CA;front_motor_bearing_sensor_alarm;189;;;;
RV-VENT-VF3-CA;back_motor_bearing_sensor_alarm;190;;;;
RV-VENT-VF4-CA;windings_temperature_alarm;191;;;;
RV-VENT-VF4-CA;windings_sensor_alarm;192;;;;
RV-VENT-VF4-CA;fan_switch;193;;;;
RV-VENT-VF4-CA;fan_gear;194;;;;
RV-VENT-VF4-CA;vibration_sensor_alarm;195;;;;
RV-VENT-VF4-CA;front_motor_bearing_sensor_alarm;196;;;;
RV-VENT-VF4-CA;back_motor_bearing_sensor_alarm;197;;;;
RV-VENT-VF1-MA;windings_temperature_alarm;198;;;;
RV-VENT-VF1-MA;windings_sensor_alarm;199;;;;
RV-VENT-VF1-MA;fan_switch;200;;;;
RV-VENT-VF1-MA;fan_gear;201;;;;
RV-VENT-VF1-MA;vibration_sensor_alarm;202;;;;
RV-VENT-VF1-MA;front_motor_bearing_sensor_alarm;203;;;;
RV-VENT-VF1-MA;back_motor_bearing_sensor_alarm;204;;;;
RV-VENT-VF2-MA;windings_temperature_alarm;205;;;;
RV-VENT-VF2-MA;windings_sensor_alarm;206;;;;
RV-VENT-VF2-MA;fan_switch;207;;;;
RV-VENT-VF2-MA;fan_gear;208;;;;
RV-VENT-VF2-MA;vibration_sensor_alarm;209;;;;
RV-VENT-VF2-MA;front_motor_bearing_sensor_alarm;210;;;;
RV-VENT-VF2-MA;back_motor_bearing_sensor_alarm;211;;;;
RV-VENT-VF3-MA;windings_temperature_alarm;212;;;;
RV-VENT-VF3-MA;windings_sensor_alarm;213;;;;
RV-VENT-VF3-MA;fan_switch;214;;;;
RV-VENT-VF3-MA;fan_gear;215;;;;
RV-VENT-VF3-MA;vibration_sensor_alarm;216;;;;
RV-VENT-VF3-MA;front_motor_bearing_sensor_alarm;217;;;;
RV-VENT-VF3-MA;back_motor_bearing_sensor_alarm;218;;;;
RV-VENT-VF4-MA;windings_temperature_alarm;219;;;;
RV-VENT-VF4-MA;windings_sensor_alarm;220;;;;
RV-VENT-VF4-MA;fan_switch;221;;;;
RV-VENT-VF4-MA;fan_gear;222;;;;
RV-VENT-VF4-MA;vibration_sensor_alarm;223;;;;
RV-VENT-VF4-MA;front_motor_bearing_sensor_alarm;224;;;;
RV-VENT-VF4-MA;back_motor_bearing_sensor_alarm;225;;;;
RV-VENT-VF5-MA;windings_temperature_alarm;226;;;;
RV-VENT-VF5-MA;windings_sensor_alarm;227;;;;
RV-VENT-VF5-MA;fan_switch;228;;;;
RV-VENT-VF5-MA;fan_gear;229;;;;
RV-VENT-VF5-MA;vibration_sensor_alarm;230;;;;
RV-VENT-VF5-MA;front_motor_bearing_sensor_alarm;231;;;;
RV-VENT-VF5-MA;back_motor_bearing_sensor_alarm;232;;;;
RV-VENT-VF6-MA;windings_temperature_alarm;233;;;;
RV-VENT-VF6-MA;windings_sensor_alarm;234;;;;
RV-VENT-VF6-MA;fan_switch;235;;;;
RV-VENT-VF6-MA;fan_gear;236;;;;
RV-VENT-VF6-MA;vibration_sensor_alarm;237;;;;
RV-VENT-VF6-MA;front_motor_bearing_sensor_alarm;238;;;;
RV-VENT-VF6-MA;back_motor_bearing_sensor_alarm;239;;;;
MM-VENT-VF1-CA;windings_temperature_alarm;240;;;;
MM-VENT-VF1-CA;windings_sensor_alarm;241;;;;
MM-VENT-VF1-CA;fan_switch;242;;;;
MM-VENT-VF1-CA;fan_gear;243;;;;
MM-VENT-VF1-CA;vibration_sensor_alarm;244;;;;
MM-VENT-VF1-CA;front_motor_bearing_sensor_alarm;245;;;;
MM-VENT-VF1-CA;back_motor_bearing_sensor_alarm;246;;;;
MM-VENT-VF2-CA;windings_temperature_alarm;247;;;;
MM-VENT-VF2-CA;windings_sensor_alarm;248;;;;
MM-VENT-VF2-CA;fan_switch;249;;;;
MM-VENT-VF2-CA;fan_gear;250;;;;
MM-VENT-VF2-CA;vibration_sensor_alarm;251;;;;
MM-VENT-VF2-CA;front_motor_bearing_sensor_alarm;252;;;;
MM-VENT-VF2-CA;back_motor_bearing_sensor_alarm;253;;;;
MM-VENT-VF3-CA;windings_temperature_alarm;254;;;;
MM-VENT-VF3-CA;windings_sensor_alarm;255;;;;
MM-VENT-VF3-CA;fan_switch;256;;;;
MM-VENT-VF3-CA;fan_gear;257;;;;
MM-VENT-VF3-CA;vibration_sensor_alarm;258;;;;
MM-VENT-VF3-CA;front_motor_bearing_sensor_alarm;259;;;;
MM-VENT-VF3-CA;back_motor_bearing_sensor_alarm;260;;;;
MM-VENT-VF4-CA;windings_temperature_alarm;261;;;;
MM-VENT-VF4-CA;windings_sensor_alarm;262;;;;
MM-VENT-VF4-CA;fan_switch;263;;;;
MM-VENT-VF4-CA;fan_gear;264;;;;
MM-VENT-VF4-CA;vibration_sensor_alarm;265;;;;
MM-VENT-VF4-CA;front_motor_bearing_sensor_alarm;266;;;;
MM-VENT-VF4-CA;back_motor_bearing_sensor_alarm;267;;;;
MM-VENT-VF5-CA;windings_temperature_alarm;268;;;;
MM-VENT-VF5-CA;windings_sensor_alarm;269;;;;
MM-VENT-VF5-CA;fan_switch;270;;;;
MM-VENT-VF5-CA;fan_gear;271;;;;
MM-VENT-VF5-CA;vibration_sensor_alarm;272;;;;
MM-VENT-VF5-CA;front_motor_bearing_sensor_alarm;273;;;;
MM-VENT-VF5-CA;back_motor_bearing_sensor_alarm;274;;;;
MM-VENT-VF6-CA;windings_temperature_alarm;275;;;;
MM-VENT-VF6-CA;windings_sensor_alarm;276;;;;
MM-VENT-VF6-CA;fan_switch;277;;;;
MM-VENT-VF6-CA;fan_gear;278;;;;
MM-VENT-VF6-CA;vibration_sensor_alarm;279;;;;
MM-VENT-VF6-CA;front_motor_bearing_sensor_alarm;280;;;;
MM-VENT-VF6-CA;back_motor_bearing_sensor_alarm;281;;;;
MM-VENT-VF7-CA;windings_temperature_alarm;282;;;;
MM-VENT-VF7-CA;windings_sensor_alarm;283;;;;
MM-VENT-VF7-CA;fan_switch;284;;;;
MM-VENT-VF7-CA;fan_gear;285;;;;
MM-VENT-VF7-CA;vibration_sensor_alarm;286;;;;
MM-VENT-VF7-CA;front_motor_bearing_sensor_alarm;287;;;;
MM-VENT-VF7-CA;back_motor_bearing_sensor_alarm;288;;;;
MM-VENT-VF8-CA;windings_temperature_alarm;289;;;;
MM-VENT-VF8-CA;windings_sensor_alarm;290;;;;
MM-VENT-VF8-CA;fan_switch;291;;;;
MM-VENT-VF8-CA;fan_gear;292;;;;
MM-VENT-VF8-CA;vibration_sensor_alarm;293;;;;
MM-VENT-VF8-CA;front_motor_bearing_sensor_alarm;294;;;;
MM-VENT-VF8-CA;back_motor_bearing_sensor_alarm;295;;;;
MM-VENT-VF1-MA;windings_temperature_alarm;296;;;;
MM-VENT-VF1-MA;windings_sensor_alarm;297;;;;
MM-VENT-VF1-MA;fan_switch;298;;;;
MM-VENT-VF1-MA;fan_gear;299;;;;
MM-VENT-VF1-MA;vibration_sensor_alarm;300;;;;
MM-VENT-VF1-MA;front_motor_bearing_sensor_alarm;301;;;;
MM-VENT-VF1-MA;back_motor_bearing_sensor_alarm;302;;;;
MM-VENT-VF2-MA;windings_temperature_alarm;303;;;;
MM-VENT-VF2-MA;windings_sensor_alarm;304;;;;
MM-VENT-VF2-MA;fan_switch;305;;;;
MM-VENT-VF2-MA;fan_gear;306;;;;
MM-VENT-VF2-MA;vibration_sensor_alarm;307;;;;
