item;alias;description;sessionuid;road;stretchs;pk;dm;sentido
1;BAL_A;Baliza de iluminación amarilla;BAL_A;A-7056;;;;
2;BAL_V;Baliza de iluminación verde;BAL_V;A-7056;;;;
