item;alias;description;sessionuid;road;stretchs;pk;sentido;param1_brand;param2_model
1;SWP-1-01-DP;SWP-1-01-DP;SWP-1-01-DP;Autovía A-4;Despeñaperros;;Madrid;Equitel;N950
2;SWP-1-02-DP;SWP-1-02-DP;SWP-1-02-DP;Autovía A-4;Despeñaperros;;Madrid;Equitel;N950
3;SWP-1-03-DP;SWP-1-03-DP;SWP-1-03-DP;Autovía A-4;Despeñaperros;;Madrid;Equitel;N950
4;SWP-1-04-DP;SWP-1-04-DP;SWP-1-04-DP;Autovía A-4;Despeñaperros;;Madrid;Equitel;N950
5;SWP-1-05-DP;SWP-1-05-DP;SWP-1-05-DP;Autovía A-4;Despeñaperros;;Madrid;Equitel;N950
6;SWP-1-06-DP;SWP-1-06-DP;SWP-1-06-DP;Autovía A-4;Despeñaperros;;Madrid;Equitel;N950
7;SWP-1-07-DP;SWP-1-07-DP;SWP-1-07-DP;Autovía A-4;Despeñaperros;;Madrid;Equitel;N950
8;SWP-1-08-DP;SWP-1-08-DP;SWP-1-08-DP;Autovía A-4;Despeñaperros;;Madrid;Equitel;N950
9;SWP-1-09-DP;SWP-1-09-DP;SWP-1-09-DP;Autovía A-4;Despeñaperros;;Madrid;Equitel;N950
10;SWP-1-10-DP;SWP-1-10-DP;SWP-1-10-DP;Autovía A-4;Despeñaperros;;Madrid;Equitel;N950
11;SWP-1-11-DP;SWP-1-11-DP;SWP-1-11-DP;Autovía A-4;Despeñaperros;;Madrid;Equitel;N950
12;SWP-1-12-DP;SWP-1-12-DP;SWP-1-12-DP;Autovía A-4;Despeñaperros;;Madrid;Equitel;N950
13;SWP-1-13-DP;SWP-1-13-DP;SWP-1-13-DP;Autovía A-4;Despeñaperros;;Madrid;Equitel;N950
14;SWP-1-14-DP;SWP-1-14-DP;SWP-1-14-DP;Autovía A-4;Despeñaperros;;Madrid;Equitel;N950
15;SWP-1-15-DP;SWP-1-15-DP;SWP-1-15-DP;Autovía A-4;Despeñaperros;;;Cisco;SGE 2000
16;SWP-1-16-DP;SWP-1-16-DP;SWP-1-16-DP;Autovía A-4;Despeñaperros;;;Cisco;SGE 2000
17;SWP-1-17-DP;SWP-1-17-DP;SWP-1-17-DP;Autovía A-4;Despeñaperros;;;Cisco;SGE 2000
18;SWP-1-18-DP;SWP-1-18-DP;SWP-1-18-DP;Autovía A-4;Despeñaperros;;;Cisco;SGE 2000
19;SWP-2-01-DP;SWP-2-01-DP;SWP-2-01-DP;Autovía A-4;Despeñaperros;;;Cisco;SGE 2000
20;SWP-2-02-DP;SWP-2-02-DP;SWP-2-02-DP;Autovía A-4;Despeñaperros;;Córdoba;Equitel;N950
21;SWP-2-03-DP;SWP-2-03-DP;SWP-2-03-DP;Autovía A-4;Despeñaperros;;Córdoba;Equitel;N950
22;SWP-2-04-DP;SWP-2-04-DP;SWP-2-04-DP;Autovía A-4;Despeñaperros;;Córdoba;Equitel;N950
23;SWP-2-05-DP;SWP-2-05-DP;SWP-2-05-DP;Autovía A-4;Despeñaperros;;Córdoba;Equitel;N950
24;SWP-2-06-DP;SWP-2-06-DP;SWP-2-06-DP;Autovía A-4;Despeñaperros;;Córdoba;Equitel;N950
