item;alias;sessionuid;road;stretchs;secc;pk;sentido;on_change_measure;param1_brand;param2_model
1;ASDKD01-8+007;ASDKD01;R7;R7_2:Ketelec-Dunajská Lužná;;8+007;P;EtdParamsAdapterATC.groovy;KINEO;HI-TRAC EMU3
2;ASDDH01-14+942;ASDDH01;R7;R7_3:Dunajská Lužná-Šamorín;;14+942;P;EtdParamsAdapterATC.groovy;KINEO;HI-TRAC EMU3
3;ASDDH02-29+739;ASDDH02;R7;R7_4:Šamorín-Holice;;29+739;P;EtdParamsAdapterATC.groovy;KINEO;HI-TRAC EMU3
4;ASDJS03-10+086;ASDJS03;D4;D4_3:Ketelec-Rovinca;;10+086;P;EtdParamsAdapterATC.groovy;KINEO;HI-TRAC EMU3
5;ASDJS04-14+178;ASDJS04;D4;D4_4:Rovinka-Pod.Biskupice;;14+178;P;EtdParamsAdapterATC.groovy;KINEO;HI-TRAC EMU3
6;ASDJS05-18+695;ASDJS05;D4;D4_5:Pod.Biskupice-Ivanka západ;;18+695;P;EtdParamsAdapterATC.groovy;KINEO;HI-TRAC EMU3
7;ASDJS06-24+304;ASDJS06;D4;D4_6:Ivanka západ-Ivanka sever;;24+304;P;EtdParamsAdapterATC.groovy;KINEO;HI-TRAC EMU3
8;ASDJS07-24+304;ASDJS07;D4;D4_6:Ivanka západ-Ivanka sever;;24+304;P;EtdParamsAdapterATC.groovy;KINEO;HI-TRAC EMU3
9;ASDJS01P-3+534;ASDJS01P;D4;D4_1:Jarovce-Rusovce;;3+534;P;EtdParamsAdapterATC.groovy;KINEO;HI-TRAC EMU3
10;ASDJS02P-7+788;ASDJS02P;D4;D4_2:Rusovce-Ketelec;;7+788;P;EtdParamsAdapterATC.groovy;KINEO;HI-TRAC EMU3
11;ASDSR01P-25+728;ASDSR01P;D4;D4_7:Ivanka sever-Cierna voda;;25+728;P;EtdParamsAdapterATC.groovy;KINEO;HI-TRAC EMU3
12;ASDSR02P-28+013;ASDSR02P;D4;D4_8:Cierna voda-Raca;;28+013;P;EtdParamsAdapterATC.groovy;KINEO;HI-TRAC EMU3
13;ASDPK01L-1+000;ASDPK01L;R7;R7_1:Prievoz-Ketelec;;1+000;L;EtdParamsAdapterATC.groovy;KINEO;HI-TRAC EMU3
14;ASDPK02L-3+715;ASDPK02L;R7;R7_1:Prievoz-Ketelec;;3+715;L;EtdParamsAdapterATC.groovy;KINEO;HI-TRAC EMU3
