item;alias;description;sessionuid;road;stretchs;pk;dm;sentido
1;IPL-2500;Controlador de baliza;IPL-2500;A-7056;;61+000;;
2;IPL-1200;Controlador de baliza;IPL-1200;A-357;;61+000;;
