item;alias;description;sessionuid;road;stretchs;pk;param1_brand;param2_model;param3_stream_mjpeg;param7_PTZ;param12_PTZ
1;PTZ PAN 1;PTZ PAN 1;PTZ PAN 1;UF 1;UF 1;0+010;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi;PTZ;"[{""id"":1,""label"":""LBL_X0"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""1""},{""name"":""down"",""value"":""1""},{""name"":""left"",""value"":""1""},{""name"":""right"",""value"":""1""},{""name"":""tele"",""value"":""1""},{""name"":""wide"",""value"":""1""}]},{""id"":2,""label"":""LBL_X1"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""2""},{""name"":""down"",""value"":""2""},{""name"":""left"",""value"":""2""},{""name"":""right"",""value"":""2""},{""name"":""tele"",""value"":""2""},{""name"":""wide"",""value"":""2""}]}]"
2;PTZ PAN 2;PTZ PAN 2;PTZ PAN 2;UF 1;UF 1;0+020;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi;PTZ;"[{""id"":1,""label"":""LBL_X0"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""1""},{""name"":""down"",""value"":""1""},{""name"":""left"",""value"":""1""},{""name"":""right"",""value"":""1""},{""name"":""tele"",""value"":""1""},{""name"":""wide"",""value"":""1""}]},{""id"":2,""label"":""LBL_X1"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""2""},{""name"":""down"",""value"":""2""},{""name"":""left"",""value"":""2""},{""name"":""right"",""value"":""2""},{""name"":""tele"",""value"":""2""},{""name"":""wide"",""value"":""2""}]}]"
3;PTZ PAN 3;PTZ PAN 3;PTZ PAN 3;UF 1;UF 1;0+030;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi;PTZ;"[{""id"":1,""label"":""LBL_X0"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""1""},{""name"":""down"",""value"":""1""},{""name"":""left"",""value"":""1""},{""name"":""right"",""value"":""1""},{""name"":""tele"",""value"":""1""},{""name"":""wide"",""value"":""1""}]},{""id"":2,""label"":""LBL_X1"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""2""},{""name"":""down"",""value"":""2""},{""name"":""left"",""value"":""2""},{""name"":""right"",""value"":""2""},{""name"":""tele"",""value"":""2""},{""name"":""wide"",""value"":""2""}]}]"
4;PTZ PAN 4;PTZ PAN 4;PTZ PAN 4;UF 1;UF 1;0+040;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi;PTZ;"[{""id"":1,""label"":""LBL_X0"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""1""},{""name"":""down"",""value"":""1""},{""name"":""left"",""value"":""1""},{""name"":""right"",""value"":""1""},{""name"":""tele"",""value"":""1""},{""name"":""wide"",""value"":""1""}]},{""id"":2,""label"":""LBL_X1"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""2""},{""name"":""down"",""value"":""2""},{""name"":""left"",""value"":""2""},{""name"":""right"",""value"":""2""},{""name"":""tele"",""value"":""2""},{""name"":""wide"",""value"":""2""}]}]"
5;PTZ PAN 5;PTZ PAN 5;PTZ PAN 5;UF 1;UF 1;0+050;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi;PTZ;"[{""id"":1,""label"":""LBL_X0"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""1""},{""name"":""down"",""value"":""1""},{""name"":""left"",""value"":""1""},{""name"":""right"",""value"":""1""},{""name"":""tele"",""value"":""1""},{""name"":""wide"",""value"":""1""}]},{""id"":2,""label"":""LBL_X1"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""2""},{""name"":""down"",""value"":""2""},{""name"":""left"",""value"":""2""},{""name"":""right"",""value"":""2""},{""name"":""tele"",""value"":""2""},{""name"":""wide"",""value"":""2""}]}]"
6;PTZ PAN 8;PTZ PAN 8;PTZ PAN 8;UF 1;UF 1;0+060;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi;PTZ;"[{""id"":1,""label"":""LBL_X0"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""1""},{""name"":""down"",""value"":""1""},{""name"":""left"",""value"":""1""},{""name"":""right"",""value"":""1""},{""name"":""tele"",""value"":""1""},{""name"":""wide"",""value"":""1""}]},{""id"":2,""label"":""LBL_X1"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""2""},{""name"":""down"",""value"":""2""},{""name"":""left"",""value"":""2""},{""name"":""right"",""value"":""2""},{""name"":""tele"",""value"":""2""},{""name"":""wide"",""value"":""2""}]}]"
7;PTZ PAN 9;PTZ PAN 9;PTZ PAN 9;UF 1;UF 1;0+070;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi;PTZ;"[{""id"":1,""label"":""LBL_X0"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""1""},{""name"":""down"",""value"":""1""},{""name"":""left"",""value"":""1""},{""name"":""right"",""value"":""1""},{""name"":""tele"",""value"":""1""},{""name"":""wide"",""value"":""1""}]},{""id"":2,""label"":""LBL_X1"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""2""},{""name"":""down"",""value"":""2""},{""name"":""left"",""value"":""2""},{""name"":""right"",""value"":""2""},{""name"":""tele"",""value"":""2""},{""name"":""wide"",""value"":""2""}]}]"
8;PTZ PAN 10;PTZ PAN 10;PTZ PAN 10;UF 1;UF 1;0+080;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi;PTZ;"[{""id"":1,""label"":""LBL_X0"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""1""},{""name"":""down"",""value"":""1""},{""name"":""left"",""value"":""1""},{""name"":""right"",""value"":""1""},{""name"":""tele"",""value"":""1""},{""name"":""wide"",""value"":""1""}]},{""id"":2,""label"":""LBL_X1"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""2""},{""name"":""down"",""value"":""2""},{""name"":""left"",""value"":""2""},{""name"":""right"",""value"":""2""},{""name"":""tele"",""value"":""2""},{""name"":""wide"",""value"":""2""}]}]"
9;AS PTZ 1;AS PTZ 1;AS PTZ 1;UF 1;UF 1;0+090;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi;PTZ;"[{""id"":1,""label"":""LBL_X0"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""1""},{""name"":""down"",""value"":""1""},{""name"":""left"",""value"":""1""},{""name"":""right"",""value"":""1""},{""name"":""tele"",""value"":""1""},{""name"":""wide"",""value"":""1""}]},{""id"":2,""label"":""LBL_X1"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""2""},{""name"":""down"",""value"":""2""},{""name"":""left"",""value"":""2""},{""name"":""right"",""value"":""2""},{""name"":""tele"",""value"":""2""},{""name"":""wide"",""value"":""2""}]}]"
10;AS PTZ 2;AS PTZ 2;AS PTZ 2;UF 1;UF 1;0+100;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi;PTZ;"[{""id"":1,""label"":""LBL_X0"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""1""},{""name"":""down"",""value"":""1""},{""name"":""left"",""value"":""1""},{""name"":""right"",""value"":""1""},{""name"":""tele"",""value"":""1""},{""name"":""wide"",""value"":""1""}]},{""id"":2,""label"":""LBL_X1"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""2""},{""name"":""down"",""value"":""2""},{""name"":""left"",""value"":""2""},{""name"":""right"",""value"":""2""},{""name"":""tele"",""value"":""2""},{""name"":""wide"",""value"":""2""}]}]"
