item;alias;description;sessionuid;road;stretchs;secc;pk;sentido;dm
1;S1TS-LUX-001;S1TS-LUX-001;S1TS-LUX-001;AVO;SCNO-ZON-001;Secc.01-10-01;36+99;;690
2;S1TS-LUX-002;S1TS-LUX-002;S1TS-LUX-002;AVO;S1TS-ZON-011;Secc.01-10-02;38+08;;1780
3;INKP-LUX-001;INKP-LUX-001;INKP-LUX-001;AVO;;Secc.02-29-04;0+55;;550
4;S2TN-LUX-001;S2TN-LUX-001;S2TN-LUX-001;AVO;;Secc.03-11-11;40+5;;4200
5;IPRO-LUX-001;IPRO-LUX-001;IPRO-LUX-001;AVO;;Secc.03-57-10;4+24;;4240
6;S2TS-LUX-001;S2TS-LUX-001;S2TS-LUX-001;AVO;S2TS-ZON-008;Secc.02-10-04;40+55;;4250
7;S2TS-LUX-002;S2TS-LUX-002;S2TS-LUX-002;AVO;S2TS-ZON-011;Secc.02-10-04;40+72;;4420
8;S2TS-LUX-003;S2TS-LUX-003;S2TS-LUX-003;AVO;S2TS-ZON-026;Secc.02-10-05;42+32;;6020
9;ICCP-LUX-001;ICCP-LUX-001;ICCP-LUX-001;AVO;;Secc.02-256-07;6+34;;6340
10;S2TN-LUX-002;S2TN-LUX-002;S2TN-LUX-002;AVO;;Secc.03-11-10;42+85;;6550
11;S2TN-LUX-003;S2TN-LUX-003;S2TN-LUX-003;AVO;;Secc.03-11-09;43+34;;7040
12;IBTO-LUX-001;IBTO-LUX-001;IBTO-LUX-001;AVO;;Secc.03-255-08;7+285;;7285
