item;alias;description;sessionuid;road;stretchs;secc;pk;sentido;dm
1;ICEO-SEM-001;ICEO-SEM-001;ICEO-SEM-001;AVO;ICEO_EXT;Secc.01-19-15;1+06;;1060
2;ICEP-SEM-001;ICEP-SEM-001;ICEP-SEM-001;AVO;ICEP_EXT;Secc.01-21-15;0+09;;85
3;IVEN-SEM-001;IVEN-SEM-001;IVEN-SEM-001;AVO;IVEN_EXT;Secc.01-09-15;35+60;;2240
4;S1TS-SEM-001;S1TS-SEM-001;S1TS-SEM-001;AVO;ICEP_EXT;Secc.01-10-14;36+75;;450
6;S1TS-SEM-003;S1TS-SEM-003;S1TS-SEM-003;AVO;ICEP_EXT;Secc.01-10-14;36+75;;450
7;INKP-SEM-002;INKP-SEM-002;INKP-SEM-002;AVO;INKP_EXT;Secc.02-29-04;0+28;;280
8;IVIP-SEM-001;IVIP-SEM-001;IVIP-SEM-001;AVO;IVIP_EXT;Secc.02-16-04;3+02;;3020
9;IPRO-SEM-001;IPRO-SEM-001;IPRO-SEM-001;AVO;IPRO_EXT;Secc.03-57-10;4+06;;4060
10;ICCO-SEM-001;ICCO-SEM-001;ICCO-SEM-001;AVO;ICCO_EXT;Secc.03-258-09;5+03;;5030
11;ICCP-SEM-001;ICCP-SEM-001;ICCP-SEM-001;AVO;ICCP_EXT;Secc.02-256-07;6+05;;6050
12;IBTO-SEM-001;IBTO-SEM-001;IBTO-SEM-001;AVO;IBTO_EXT;Secc.03-255-08;7+1;;7100
