device_name;session_uid;det_name;det_order;host;port(i);url_publisher;port_sim_publisher;ip
_RNRJS46P;_RNRJS46P;DET08-ADPJS54L;8;192.168.88.189;10026;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9046;192.168.88.189
_RNRJS46P;_RNRJS46P;DET01-ADPJS53P;1;192.168.88.189;10026;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9046;192.168.88.189
_RNRJS46P;_RNRJS46P;DET02-ADPJS53P;2;192.168.88.189;10026;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9046;192.168.88.189
_RNRJS46P;_RNRJS46P;DET03-ADPJS53P;3;192.168.88.189;10026;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9046;192.168.88.189
_RNRJS46P;_RNRJS46P;DET04-ADPJS53P;4;192.168.88.189;10026;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9046;192.168.88.189
_RNRJS47P;_RNRJS47P;DET01-ADPJS55L;1;192.168.88.189;10027;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9047;192.168.88.189
_RNRJS47P;_RNRJS47P;DET02-ADPJS55L;2;192.168.88.189;10027;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9047;192.168.88.189
_RNRJS47P;_RNRJS47P;DET03-ADPJS55L;3;192.168.88.189;10027;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9047;192.168.88.189
_RNRJS47P;_RNRJS47P;DET04-ADPJS55L;4;192.168.88.189;10027;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9047;192.168.88.189
_RNRJS47P;_RNRJS47P;DET05-ADPJS55L;5;192.168.88.189;10027;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9047;192.168.88.189
_RNRJS48P;_RNRJS48P;DET05-ADPJS58L;5;192.168.88.189;10028;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9048;192.168.88.189
_RNRJS48P;_RNRJS48P;DET06-ADPJS58L;6;192.168.88.189;10028;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9048;192.168.88.189
