device_name;session_uid;host;plc_name;port(i);url_publisher;write_permission;offset_pump_on(i);bit_pump_on(i);offset_electric_pump(i);bit_electric_pump(i);offset_discharge_line_pressure_sensor(i);offset_pump_flow_sensor(i);bit_pump_flow_sensor(i);offset_discharge_butterfly_valve(i);bit_discharge_butterfly_valve(i);offset_butterfly_valve_test_line(i);bit_butterfly_valve_test_line(i);offset_pump_room_flood_sensor(i);offset_o&y_pump_valve(i);bit_o&y_pump_valve(i);offset_critical_pond_level(i);offset_medium_pond_level(i);offset_low_pond_level(i)
1ES2-BCI-001-BBA1;1ES2-BCI-001-BBA1;10.25.5.101;CT04_PLC1;502;http://10.133.50.38:3000/api/v2/generic/;monitor;21640;0;21641;1;21641;21641;4;21641;6;21641;7;21641;21641;12;21641;21641;21641
1ES2-BCI-001-BBA2;1ES2-BCI-001-BBA2;10.25.5.101;CT04_PLC1;502;http://10.133.50.38:3000/api/v2/generic/;monitor;21640;1;21641;2;21641;21641;5;21641;8;21641;9;21641;21641;11;21641;21641;21641
CT04-BCI-001-BBA1;CT04-BCI-001-BBA1;10.25.5.101;CT04_PLC1;502;http://10.133.50.38:3000/api/v2/generic/;monitor;21600;0;21601;1;21601;21601;4;21601;6;21601;7;21601;21601;12;21601;21601;21601
CT04-BCI-001-BBA2;CT04-BCI-001-BBA2;10.25.5.101;CT04_PLC1;502;http://10.133.50.38:3000/api/v2/generic/;monitor;21600;1;21601;2;21601;21601;5;21601;8;21601;9;21601;21601;11;21601;21601;21601
CT06-BCI-001-BBA1;CT06-BCI-001-BBA1;10.25.12.101;CT06_PLC1;502;http://10.133.50.38:3000/api/v2/generic/;monitor;21600;0;21601;1;21601;21601;4;21601;6;21601;7;21601;21601;12;21601;21601;21601
CT06-BCI-001-BBA2;CT06-BCI-001-BBA2;10.25.12.101;CT06_PLC1;502;http://10.133.50.38:3000/api/v2/generic/;monitor;21600;1;21601;2;21601;21601;5;21601;8;21601;9;21601;21601;11;21601;21601;21601
CT07-BCI-001-BBA1;CT07-BCI-001-BBA1;10.25.15.101;CT07_PLC1;502;http://10.133.50.38:3000/api/v2/generic/;monitor;21600;0;21601;1;21601;21601;4;21601;6;21601;7;21601;21601;12;21601;21601;21601
CT07-BCI-001-BBA2;CT07-BCI-001-BBA2;10.25.15.101;CT07_PLC1;502;http://10.133.50.38:3000/api/v2/generic/;monitor;21600;1;21601;2;21601;21601;5;21601;8;21601;9;21601;21601;11;21601;21601;21601
