device_name;session_uid;plc_name;host;port(i);url_publisher;offset_state(i);offset_cmd(i)
AL.SE2-S1;AL.SE2-S1;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22730;22735
AL.SE2-S2;AL.SE2-S2;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22730;22735
AL.SE2-P1;AL.SE2-P1;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE2-P2;AL.SE2-P2;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE2-P3;AL.SE2-P3;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE2-P4;AL.SE2-P4;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE2-P5;AL.SE2-P5;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE2-P6;AL.SE2-P6;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE2-P7;AL.SE2-P7;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE2-P8;AL.SE2-P8;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE2-P9;AL.SE2-P9;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
CT02-EMR-001;CT02-EMR-001;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22742;22747
