device_name;session_uid;plc_name;host;port(i);url_publisher;offset_state(i)
UF-2E27-CAB-001;UF-2E27-CAB-001;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22229
UF-2E27-CAB-002;UF-2E27-CAB-002;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22235
UF-S2TS-CAB-045;UF-S2TS-CAB-045;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22241
UF-SBTP-CAB-001;UF-SBTP-CAB-001;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22247
UF-SBTP-CAB-002;UF-SBTP-CAB-002;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22253
UF-SBTP-CAB-003;UF-SBTP-CAB-003;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22259
CC.22 ;CC.22 ;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22265
2E27-ELE-002.PEVPres;2E27-ELE-002.PEVPres;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22271
2E27-ELE-002.PEVPresb;2E27-ELE-002.PEVPresb;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22277
UF-2E28-CAB-001;UF-2E28-CAB-001;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22283
UF-2E28-CAB-002;UF-2E28-CAB-002;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22289
UF-S2TN-CAB-003;UF-S2TN-CAB-003;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22295
UF-S2TN-CAB-004;UF-S2TN-CAB-004;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22301
UF-S2TN-CAB-005;UF-S2TN-CAB-005;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22307
UF-S2TS-CAB-046;UF-S2TS-CAB-046;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22313
CC.37 ;CC.37 ;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22319
CC.38 ;CC.38 ;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22325
2E28-ELE-002.PEVPres;2E28-ELE-002.PEVPres;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22331
2E28-ELE-002.PEVPresb;2E28-ELE-002.PEVPresb;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22337
UF-2E29-CAB-001;UF-2E29-CAB-001;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22343
UF-2E29-CAB-002;UF-2E29-CAB-002;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22349
UF-S2TN-CAB-001;UF-S2TN-CAB-001;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22355
UF-S2TN-CAB-002;UF-S2TN-CAB-002;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22361
UF-S2TS-CAB-047;UF-S2TS-CAB-047;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22367
UF-S2TS-CAB-048;UF-S2TS-CAB-048;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22373
UF-S2TS-CAB-049;UF-S2TS-CAB-049;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22379
CC.23 ;CC.23 ;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22385
2E29-ELE-002.PEVPres;2E29-ELE-002.PEVPres;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22391
2E29-ELE-002.PEVPresb;2E29-ELE-002.PEVPresb;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22397
CT08-RACK-RAEIO.IntABIERTO;CT08-RACK-RAEIO.IntABIERTO;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22403
CT08-RACK-COM.IntABIERTO;CT08-RACK-COM.IntABIERTO;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22409
CT08-RACK-MEGAF.IntABIERTO;CT08-RACK-MEGAF.IntABIERTO;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22415
CT08-P101.IntABIERTO;CT08-P101.IntABIERTO;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22421
CT08-P211.IntABIERTO;CT08-P211.IntABIERTO;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22427
UF-ICCP-AIM-001;UF-ICCP-AIM-001;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22433
UF-IBTO-AIM-001;UF-IBTO-AIM-001;CT08_PLC_G;10.133.50.37;28056;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22439
