device_name;session_uid;plc_name;host;port(i);url_publisher;offset_state(i)
UF-SCNO-CAB-002;SCNO-CAB-002;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22001
UF-1ER1-CAB-001;1ER1-CAB-001;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22007
SCNO-CAB-003;SCNO-CAB-003;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22013
1ER1-ELE-001.PEVPres;1ER1-ELE-001.PEVPres;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22019
UF-SCNO-CAB-004;SCNO-CAB-004;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22025
UF-1ER2-CAB-001;1ER2-CAB-001;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22031
UF-SCNO-CAB-005;SCNO-CAB-005;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22037
UF-SCNO-CAB-006;SCNO-CAB-006;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22043
CC.06 ;CC.06 ;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22049
1ER2-ELE-001.PEVPres;1ER2-ELE-001.PEVPres;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22055
UF-S1TS-CAB-001;S1TS-CAB-001;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22061
UF-1E01-CAB-001;1E01-CAB-001;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22067
UF-S1TS-CAB-002;S1TS-CAB-002;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22073
CC.01 ;CC.01 ;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22079
1E01-ELE-001.PEVPres;1E01-ELE-001.PEVPres;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22085
UF-S1TS-CAB-003;S1TS-CAB-003;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22091
UF-1E02-CAB-001;1E02-CAB-001;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22097
UF-S1TS-CAB-004;S1TS-CAB-004;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22103
1E02-ELE-001.PEVPres;1E02-ELE-001.PEVPres;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22109
UF-S1TS-CAB-010;S1TS-CAB-010;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22115
UF-1E05-CAB-001;1E05-CAB-001;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22121
UF-S1TS-CAB-011;S1TS-CAB-011;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22127
UF-S1TS-CAB-012;S1TS-CAB-012;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22133
1E05-ELE-001.PEVPres;1E05-ELE-001.PEVPres;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22139
UF-S1TS-CAB-008;S1TS-CAB-008;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22145
UF-1E04-CAB-001;1E04-CAB-001;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22151
UF-S1TS-CAB-009;S1TS-CAB-009;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22157
1E04-ELE-001.PEVPres;1E04-ELE-001.PEVPres;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22163
UF-SCNO-CAB-001;SCNO-CAB-001;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22169
UF-S1TS-CAB-005;S1TS-CAB-005;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22175
UF-S1TS-CAB-006;S1TS-CAB-006;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22181
UF-1E03-CAB-001;1E03-CAB-001;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22187
UF-S1TS-CAB-007;S1TS-CAB-007;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22193
CC.02 ;CC.02 ;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22199
1E03-ELE-001.PEVPres;1E03-ELE-001.PEVPres;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22205
CT02-RACK-RAEIO.IntABIERTO;CT02-RACK-RAEIO.IntABIERTO;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22211
CT02-RACK-COM.IntABIERTO;CT02-RACK-COM.IntABIERTO;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22217
CT02-RACK-MEGAF.IntABIERTO;CT02-RACK-MEGAF.IntABIERTO;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22223
CC.03;CC.03;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22229
CT02-P203.IntABIERTO;CT02-P203.IntABIERTO;CT02_PLC_G;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22235
