device_name;session_uid;plc_name;host;port(i);url_publisher;offset_state(i)
UF-2E16-CAB-001;UF-2E16-CAB-001;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22001
UF-2E16-CAB-002;UF-2E16-CAB-002;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22007
UF-S2TN-CAB-022;UF-S2TN-CAB-022;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22013
UF-S2TN-CAB-023;UF-S2TN-CAB-023;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22019
UF-S2TS-CAB-027;UF-S2TS-CAB-027;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22025
UF-S2TS-CAB-028;UF-S2TS-CAB-028;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22031
CC.31 ;CC.31 ;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22037
2E16-ELE-002.PEVPres;2E16-ELE-002.PEVPres;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22043
2E16-ELE-002.PEVPresb;2E16-ELE-002.PEVPresb;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22049
UF-2E12-CAB-001;UF-2E12-CAB-001;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22055
UF-2E12-CAB-002;UF-2E12-CAB-002;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22061
UF-S2TN-CAB-030;UF-S2TN-CAB-030;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22067
UF-S2TN-CAB-031;UF-S2TN-CAB-031;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22073
UF-S2TS-CAB-019;UF-S2TS-CAB-019;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22079
UF-S2TS-CAB-020;UF-S2TS-CAB-020;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22085
UF-S2TS-CAB-021;UF-S2TS-CAB-021;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22091
CC.29 ;CC.29 ;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22097
2E12-ELE-002.PEVPres;2E12-ELE-002.PEVPres;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22103
UF-2E13-CAB-001;UF-2E13-CAB-001;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22109
UF-2E13-CAB-002;UF-2E13-CAB-002;CT06_PLC_G;10.133.50.37;28042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22115
